varid,var,flag
1,"Population, 2016",y
2,"Population, 2011",y
3,"Population percentage change, 2011 to 2016",y
4,Total private dwellings,y
5,Private dwellings occupied by usual residents,
6,Population density per square kilometre,
7,Land area in square kilometres,
8,Total - Age groups and average age of the population - 100% data,y
9,0 to 14 years,y
10,0 to 4 years,y
11,5 to 9 years,y
12,10 to 14 years,y
13,15 to 64 years,y
14,15 to 19 years,y
15,20 to 24 years,y
16,25 to 29 years,y
17,30 to 34 years,y
18,35 to 39 years,y
19,40 to 44 years,y
20,45 to 49 years,y
21,50 to 54 years,y
22,55 to 59 years,y
23,60 to 64 years,y
24,65 years and over,y
25,65 to 69 years,y
26,70 to 74 years,y
27,75 to 79 years,y
28,80 to 84 years,y
29,85 years and over,y
30,85 to 89 years,y
31,90 to 94 years,y
32,95 to 99 years,y
33,100 years and over,y
34,Total - Distribution (%) of the population by broad age groups - 100% data,
35,0 to 14 years,y
36,15 to 64 years,y
37,65 years and over,y
38,85 years and over,y
39,Average age of the population,y
40,Median age of the population,y
41,Total - Occupied private dwellings by structural type of dwelling - 100% data,y
42,Single-detached house,y
43,Apartment in a building that has five or more storeys,y
44,Other attached dwelling,y
45,Semi-detached house,y
46,Row house,y
47,Apartment or flat in a duplex,y
48,Apartment in a building that has fewer than five storeys,y
49,Other single-attached house,y
50,Movable dwelling,y
51,Total - Private households by household size - 100% data,y
52,1 person,y
53,2 persons,y
54,3 persons,y
55,4 persons,y
56,5 or more persons,y
57,Number of persons in private households,y
58,Average household size,y
59,Total - Marital status for the population aged 15 years and over - 100% data,
60,Married or living common law,
61,Married,
62,Living common law,
63,Not married and not living common law,
64,Never married,
65,Separated,
66,Divorced,
67,Widowed,
68,Total - Census families in private households by family size - 100% data,
69,2 persons,
70,3 persons,
71,4 persons,
72,5 or more persons,
73,Average size of census families,
74,Total number of census families in private households - 100% data,
75,Total couple families,
76,Married couples,
77,Common-law couples,
78,Total lone-parent families by sex of parent,
79,Female parent,
80,Male parent,
81,Total - Couple census families in private households - 100% data,
82,Couples without children,
83,Couples with children,
84,1 child,
85,2 children,
86,3 or more children,
87,Total - Lone-parent census families in private households - 100% data,
88,1 child,
89,2 children,
90,3 or more children,
91,Total - Persons not in census families in private households - 100% data,
92,Total - Private households by household type - 100% data,y
93,One-census-family households,y
94,Without children in a census family,y
95,With children in a census family,y
96,Multiple-census-family households,y
97,Non-census-family households,y
98,One-person households,y
99,Two-or-more person non-census-family households,y
100,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,y
101,English only,
102,French only,
103,English and French,
104,Neither English nor French,y
105,Total - First official language spoken for the total population excluding institutional residents - 100% data,
106,English,
107,French,
108,English and French,
109,Neither English nor French,
110,Official language minority (number),
111,Official language minority (percentage),
112,Total - Mother tongue for the total population excluding institutional residents - 100% data,
113,Single responses,
114,Official languages,
115,English,
116,French,
117,Non-official languages,
118,Aboriginal languages,
119,Algonquian languages,
120,Blackfoot,
121,Cree-Montagnais languages,
122,Atikamekw,
123,Montagnais (Innu),
124,Moose Cree,
125,Naskapi,
126,Northern East Cree,
127,Plains Cree,
128,Southern East Cree,
129,Swampy Cree,
130,Woods Cree,
131,"Cree, n.o.s.",
132,Eastern Algonquian languages,
133,Malecite,
134,Mi'kmaq,
135,Ojibway-Potawatomi languages,
136,Algonquin,
137,Ojibway,
