"CSDUID_SDRIDU","CSDNAME_SDRNOM","CSDTYPE_SDRGENRE","CMAPUID_RMRPIDU","CMANAME_RMRNOM","POPCTRRATYPE_CTRPOPRRGENRE","DACODE_ADCODE","DBCODE_IDCODE"
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090049,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090049,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090049,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090051,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090051,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090051,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090052,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090054,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090054,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090054,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090054,004
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090054,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090054,006
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090055,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090055,004
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090055,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090055,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090055,009
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090055,013
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090057,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090057,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090058,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090058,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090058,004
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090058,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090058,006
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090059,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090059,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090060,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090060,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090060,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090060,004
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090060,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090061,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090061,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090061,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090062,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090062,009
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090062,012
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090062,013
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090062,014
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090062,016
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090064,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090064,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090065,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090065,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090065,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090066,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090066,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090066,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090068,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,010
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,012
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,014
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,017
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,029
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,030
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090069,031
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090071,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090071,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090071,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090072,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090072,002
