"ref_date","geo","dguid","unit_type","value"
"2019-01","St. John's, Census metropolitan area (CMA)","001","Apartment - No bedroom",NA
"2019-01","St. John's, Census metropolitan area (CMA)","001","Apartment - 1 bedroom",800
"2019-01","St. John's, Census metropolitan area (CMA)","001","Apartment - 2 bedrooms",900
"2019-01","St. John's, Census metropolitan area (CMA)","001","Apartment - 3 or more bedrooms",1150
"2019-01","St. John's, Census metropolitan area (CMA)","001","Room",470
"2019-01","Halifax, Census metropolitan area (CMA)","205","Apartment - No bedroom",910
"2019-01","Halifax, Census metropolitan area (CMA)","205","Apartment - 1 bedroom",1040
"2019-01","Halifax, Census metropolitan area (CMA)","205","Apartment - 2 bedrooms",1290
"2019-01","Halifax, Census metropolitan area (CMA)","205","Apartment - 3 or more bedrooms",1480
"2019-01","Halifax, Census metropolitan area (CMA)","205","Room",590
"2019-01","Fredericton, Census metropolitan area (CMA)","320","Apartment - No bedroom",NA
"2019-01","Fredericton, Census metropolitan area (CMA)","320","Apartment - 1 bedroom",750
"2019-01","Fredericton, Census metropolitan area (CMA)","320","Apartment - 2 bedrooms",1010
"2019-01","Fredericton, Census metropolitan area (CMA)","320","Apartment - 3 or more bedrooms",1410
"2019-01","Fredericton, Census metropolitan area (CMA)","320","Room",450
"2019-01","Moncton, Census metropolitan area (CMA)","305","Apartment - No bedroom",NA
"2019-01","Moncton, Census metropolitan area (CMA)","305","Apartment - 1 bedroom",750
"2019-01","Moncton, Census metropolitan area (CMA)","305","Apartment - 2 bedrooms",860
"2019-01","Moncton, Census metropolitan area (CMA)","305","Apartment - 3 or more bedrooms",1150
"2019-01","Moncton, Census metropolitan area (CMA)","305","Room",450
"2019-01","Saint John, Census metropolitan area (CMA)","310","Apartment - No bedroom",NA
"2019-01","Saint John, Census metropolitan area (CMA)","310","Apartment - 1 bedroom",720
"2019-01","Saint John, Census metropolitan area (CMA)","310","Apartment - 2 bedrooms",930
"2019-01","Saint John, Census metropolitan area (CMA)","310","Apartment - 3 or more bedrooms",1000
"2019-01","Saint John, Census metropolitan area (CMA)","310","Room",450
"2019-01","Drummondville, Census metropolitan area (CMA)","447","Apartment - No bedroom",NA
"2019-01","Drummondville, Census metropolitan area (CMA)","447","Apartment - 1 bedroom",NA
"2019-01","Drummondville, Census metropolitan area (CMA)","447","Apartment - 2 bedrooms",600
"2019-01","Drummondville, Census metropolitan area (CMA)","447","Apartment - 3 or more bedrooms",NA
"2019-01","Drummondville, Census metropolitan area (CMA)","447","Room",360
"2019-01","Montréal, Census metropolitan area (CMA)","462","Apartment - No bedroom",860
"2019-01","Montréal, Census metropolitan area (CMA)","462","Apartment - 1 bedroom",980
"2019-01","Montréal, Census metropolitan area (CMA)","462","Apartment - 2 bedrooms",1130
"2019-01","Montréal, Census metropolitan area (CMA)","462","Apartment - 3 or more bedrooms",1610
"2019-01","Montréal, Census metropolitan area (CMA)","462","Room",510
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","505","Apartment - No bedroom",680
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","505","Apartment - 1 bedroom",830
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","505","Apartment - 2 bedrooms",980
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","505","Apartment - 3 or more bedrooms",1170
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","505","Room",510
"2019-01","Québec, Census metropolitan area (CMA)","421","Apartment - No bedroom",620
"2019-01","Québec, Census metropolitan area (CMA)","421","Apartment - 1 bedroom",710
"2019-01","Québec, Census metropolitan area (CMA)","421","Apartment - 2 bedrooms",840
"2019-01","Québec, Census metropolitan area (CMA)","421","Apartment - 3 or more bedrooms",NA
"2019-01","Québec, Census metropolitan area (CMA)","421","Room",400
"2019-01","Saguenay, Census metropolitan area (CMA)","408","Apartment - No bedroom",NA
"2019-01","Saguenay, Census metropolitan area (CMA)","408","Apartment - 1 bedroom",NA
"2019-01","Saguenay, Census metropolitan area (CMA)","408","Apartment - 2 bedrooms",NA
"2019-01","Saguenay, Census metropolitan area (CMA)","408","Apartment - 3 or more bedrooms",NA
"2019-01","Saguenay, Census metropolitan area (CMA)","408","Room",340
"2019-01","Sherbrooke, Census metropolitan area (CMA)","433","Apartment - No bedroom",450
"2019-01","Sherbrooke, Census metropolitan area (CMA)","433","Apartment - 1 bedroom",540
"2019-01","Sherbrooke, Census metropolitan area (CMA)","433","Apartment - 2 bedrooms",660
"2019-01","Sherbrooke, Census metropolitan area (CMA)","433","Apartment - 3 or more bedrooms",830
"2019-01","Sherbrooke, Census metropolitan area (CMA)","433","Room",320
"2019-01","Trois-Rivières, Census metropolitan area (CMA)","442","Apartment - No bedroom",NA
"2019-01","Trois-Rivières, Census metropolitan area (CMA)","442","Apartment - 1 bedroom",480
"2019-01","Trois-Rivières, Census metropolitan area (CMA)","442","Apartment - 2 bedrooms",NA
"2019-01","Trois-Rivières, Census metropolitan area (CMA)","442","Apartment - 3 or more bedrooms",NA
"2019-01","Trois-Rivières, Census metropolitan area (CMA)","442","Room",310
"2019-01","Barrie, Census metropolitan area (CMA)","568","Apartment - No bedroom",NA
"2019-01","Barrie, Census metropolitan area (CMA)","568","Apartment - 1 bedroom",1260
"2019-01","Barrie, Census metropolitan area (CMA)","568","Apartment - 2 bedrooms",1470
"2019-01","Barrie, Census metropolitan area (CMA)","568","Apartment - 3 or more bedrooms",1720
"2019-01","Barrie, Census metropolitan area (CMA)","568","Room",560
"2019-01","Belleville - Quinte West, Census metropolitan area (CMA)","522","Apartment - No bedroom",NA
"2019-01","Belleville - Quinte West, Census metropolitan area (CMA)","522","Apartment - 1 bedroom",1140
"2019-01","Belleville - Quinte West, Census metropolitan area (CMA)","522","Apartment - 2 bedrooms",1250
"2019-01","Belleville - Quinte West, Census metropolitan area (CMA)","522","Apartment - 3 or more bedrooms",NA
"2019-01","Belleville - Quinte West, Census metropolitan area (CMA)","522","Room",540
"2019-01","Brantford, Census metropolitan area (CMA)","543","Apartment - No bedroom",NA
"2019-01","Brantford, Census metropolitan area (CMA)","543","Apartment - 1 bedroom",1110
"2019-01","Brantford, Census metropolitan area (CMA)","543","Apartment - 2 bedrooms",1260
"2019-01","Brantford, Census metropolitan area (CMA)","543","Apartment - 3 or more bedrooms",1460
"2019-01","Brantford, Census metropolitan area (CMA)","543","Room",540
"2019-01","Greater Sudbury, Census metropolitan area (CMA)","580","Apartment - No bedroom",NA
"2019-01","Greater Sudbury, Census metropolitan area (CMA)","580","Apartment - 1 bedroom",880
"2019-01","Greater Sudbury, Census metropolitan area (CMA)","580","Apartment - 2 bedrooms",1160
"2019-01","Greater Sudbury, Census metropolitan area (CMA)","580","Apartment - 3 or more bedrooms",1450
"2019-01","Greater Sudbury, Census metropolitan area (CMA)","580","Room",540
"2019-01","Guelph, Census metropolitan area (CMA)","550","Apartment - No bedroom",NA
"2019-01","Guelph, Census metropolitan area (CMA)","550","Apartment - 1 bedroom",1230
"2019-01","Guelph, Census metropolitan area (CMA)","550","Apartment - 2 bedrooms",1490
"2019-01","Guelph, Census metropolitan area (CMA)","550","Apartment - 3 or more bedrooms",1610
"2019-01","Guelph, Census metropolitan area (CMA)","550","Room",580
"2019-01","Hamilton, Census metropolitan area (CMA)","537","Apartment - No bedroom",1070
"2019-01","Hamilton, Census metropolitan area (CMA)","537","Apartment - 1 bedroom",1320
"2019-01","Hamilton, Census metropolitan area (CMA)","537","Apartment - 2 bedrooms",1570
