"csd","pr","q_instab_can","q_ethno_can","q_econ_can","q_vuln_can","q_instab_pr","q_ethno_pr","q_econ_pr","q_vuln_pr"
1001101,"10",3,1,5,5,4,1,3,5
1001105,"10",1,1,5,2,2,1,5,1
1001113,"10",2,2,5,4,4,3,5,4
1001120,"10",5,1,5,1,5,1,5,1
1001124,"10",2,3,4,2,3,4,2,1
1001126,"10",2,3,4,3,3,5,2,2
1001131,"10",2,2,5,3,3,2,3,2
1001136,"10",4,1,5,3,5,1,3,3
1001144,"10",1,1,5,1,2,1,5,1
1001149,"10",1,2,5,4,3,2,5,3
1001155,"10",4,1,5,1,5,2,4,1
1001169,"10",2,1,5,3,4,1,5,3
1001174,"10",1,2,5,4,1,3,5,3
1001178,"10",2,1,5,1,4,1,5,1
1001181,"10",1,2,5,2,3,3,4,1
1001186,"10",1,1,5,1,2,1,5,1
1001192,"10",4,2,5,3,5,2,5,3
1001197,"10",5,1,3,3,5,1,1,2
1001203,"10",3,1,5,2,4,1,3,2
1001207,"10",3,1,5,1,5,1,5,1
1001214,"10",1,1,4,1,2,1,2,1
1001219,"10",5,2,3,1,5,2,1,1
1001225,"10",1,1,3,2,1,1,1,1
1001228,"10",5,2,5,3,5,3,2,2
1001234,"10",3,1,3,3,4,1,1,3
1001240,"10",3,2,5,2,5,3,3,2
1001254,"10",4,1,4,4,5,1,1,4
1001259,"10",1,1,5,2,3,1,5,1
1001263,"10",3,1,5,1,4,1,3,1
1001267,"10",2,1,5,4,3,1,3,4
1001270,"10",3,2,4,3,5,2,2,2
1001274,"10",1,3,4,4,1,4,1,4
1001277,"10",1,3,5,1,2,4,3,1
1001281,"10",3,1,5,2,5,1,5,2
1001285,"10",2,2,5,2,3,3,3,2
1001289,"10",1,2,5,2,1,3,2,2
1001293,"10",1,1,4,2,2,2,2,1
1001298,"10",3,3,4,3,5,4,2,2
1001304,"10",1,3,5,3,3,4,3,2
1001308,"10",1,1,3,1,1,1,1,1
1001312,"10",3,3,5,3,4,4,3,3
1001316,"10",3,1,5,4,5,1,5,4
1001321,"10",1,2,5,2,2,3,4,1
1001325,"10",4,1,5,4,5,2,5,4
1001328,"10",5,1,5,2,5,1,5,1
1001332,"10",2,2,5,3,4,2,4,3
1001335,"10",1,3,5,4,1,4,4,3
1001339,"10",3,2,5,4,4,3,4,3
1001343,"10",2,2,4,2,3,3,2,1
1001347,"10",2,2,5,3,3,3,3,2
1001352,"10",4,1,5,3,5,1,3,2
1001357,"10",1,3,5,2,2,4,4,2
1001361,"10",3,3,5,3,4,4,2,2
1001365,"10",3,3,5,3,4,5,2,3
1001370,"10",4,3,5,3,5,4,2,2
1001374,"10",1,2,2,1,1,2,1,1
1001375,"10",1,4,5,3,1,5,4,3
1001379,"10",3,3,5,4,5,5,3,3
1001385,"10",1,4,5,3,2,5,3,2
1001394,"10",3,2,4,3,4,3,2,2
1001396,"10",2,3,5,3,3,5,2,3
1001409,"10",2,3,4,3,3,4,1,2
1001415,"10",2,3,5,4,3,4,3,3
1001421,"10",2,3,4,2,3,4,2,2
1001426,"10",3,3,5,2,4,4,3,1
1001429,"10",4,1,4,2,5,2,2,1
1001434,"10",2,2,3,3,3,2,1,2
1001437,"10",3,4,5,4,5,5,4,4
1001441,"10",2,3,2,4,4,5,1,3
1001446,"10",3,4,5,3,4,5,4,3
1001452,"10",3,3,5,3,5,4,3,2
1001456,"10",2,4,5,4,4,5,3,3
1001461,"10",3,3,5,3,5,5,3,2
1001464,"10",4,2,4,2,5,2,2,2
1001469,"10",3,2,4,2,4,3,2,1
1001472,"10",2,3,4,1,3,4,1,1
1001485,"10",2,3,1,1,3,4,1,1
1001490,"10",4,2,5,4,5,2,5,4
1001494,"10",5,3,5,5,5,5,5,5
1001504,"10",1,3,1,1,2,4,1,1
1001505,"10",2,2,2,2,3,3,1,1
1001507,"10",1,3,1,1,2,5,1,1
1001509,"10",1,3,1,1,2,4,1,1
1001511,"10",1,2,1,1,1,3,1,1
1001512,"10",3,1,2,2,4,2,1,1
1001517,"10",2,2,1,1,3,3,1,1
1001519,"10",5,4,2,2,5,5,1,1
1001542,"10",3,3,2,2,5,4,1,1
1001551,"10",2,1,1,2,4,2,1,1
1001557,"10",1,3,2,2,3,5,1,1
1001559,"10",1,3,2,1,1,4,1,1
1001565,"10",3,5,1,4,4,5,1,4
1002001,"10",2,2,5,1,4,3,5,1
1002002,"10",1,2,3,1,2,3,1,1
1002005,"10",2,2,4,3,3,3,2,2
1002006,"10",3,2,3,3,4,3,1,3
1002008,"10",3,2,4,4,4,3,2,3
1002011,"10",1,2,4,3,2,3,2,3
1002012,"10",1,1,5,4,2,2,2,4
1002013,"10",1,4,5,5,2,5,3,5
1002014,"10",4,1,5,5,5,1,5,5
1002015,"10",1,1,5,5,2,1,4,5
1002016,"10",4,1,5,1,5,1,3,1
1002017,"10",2,2,5,3,4,3,4,3
1002018,"10",3,2,5,4,4,2,4,3
1002019,"10",3,2,5,3,4,2,4,2
1002021,"10",1,2,5,2,1,2,3,1
1002022,"10",2,2,4,2,4,3,2,1
1002023,"10",1,2,2,1,2,3,1,1
1002024,"10",4,3,5,3,5,5,2,2
1002025,"10",2,2,4,3,3,2,2,2
1002026,"10",1,3,5,4,1,5,4,4
1002027,"10",4,1,5,4,5,1,5,3
1002030,"10",1,5,5,5,1,5,4,5
1002031,"10",1,2,5,4,2,2,4,3
1002033,"10",4,1,5,4,5,1,4,3
1002034,"10",2,2,5,4,3,4,4,4
1002036,"10",1,4,5,4,1,5,4,4
1002037,"10",1,1,5,2,2,1,2,1
1002039,"10",1,4,5,5,2,5,3,5
1002040,"10",1,3,4,3,2,4,2,2
1002041,"10",1,1,5,2,3,1,5,2
1002048,"10",1,1,5,3,2,2,4,2
1002055,"10",5,3,5,5,5,5,2,5
1003002,"10",3,3,5,3,4,4,3,2
1003003,"10",1,2,5,4,1,2,3,4
1003004,"10",4,3,5,5,5,5,3,5
1003005,"10",1,4,5,5,2,5,4,5
1003008,"10",2,3,3,4,3,4,1,3
1003009,"10",5,2,5,1,5,3,3,1
1003010,"10",1,1,4,4,1,2,2,3
1003011,"10",1,2,5,4,2,2,2,3
1003012,"10",3,1,5,5,4,1,5,5
1003014,"10",2,2,4,4,3,2,2,4
1003018,"10",1,1,5,3,2,2,4,2
1003019,"10",1,1,5,5,2,2,3,5
1003020,"10",3,1,4,3,5,1,2,2
1003021,"10",1,1,5,1,1,1,5,1
1003024,"10",1,2,5,4,1,3,3,4
1003026,"10",2,1,5,3,4,1,5,2
1003028,"10",1,1,5,4,2,2,4,4
1003031,"10",1,3,5,4,1,5,3,3
1003032,"10",1,2,5,4,3,3,5,3
1003033,"10",1,3,5,3,1,4,3,2
1003034,"10",3,2,5,3,4,3,3,2
1003038,"10",1,1,5,5,1,1,3,5
1003045,"10",1,2,5,4,1,2,4,3
1003801,"10",1,4,3,5,2,5,1,5
1004001,"10",3,1,5,3,4,2,4,2
1004006,"10",1,2,5,5,3,3,4,5
1004011,"10",4,1,5,5,5,1,5,5
1004013,"10",1,2,5,5,2,3,3,5
1004016,"10",3,2,5,5,5,2,3,5
1004017,"10",3,1,4,5,4,1,2,5
1004018,"10",3,3,5,5,5,4,3,5
1004019,"10",5,3,5,5,5,5,2,5
1004020,"10",1,1,3,4,1,2,1,4
1004021,"10",3,2,5,5,4,3,4,5
1004022,"10",2,3,5,5,3,4,4,5
1004033,"10",1,3,5,5,3,4,4,5
1004037,"10",2,3,5,5,4,4,3,5
1004042,"10",2,1,5,4,4,1,4,4
1005001,"10",1,2,5,5,3,3,2,5
