"csd","pr","score_cisr","q_cisr_can","q_score_pr"
1001101,"10",-0.93629,2,3
1001105,"10",-0.57845,3,4
1001113,"10",-1.22015735802469,1,2
1001120,"10",-0.89734,2,3
1001124,"10",-0.0881286453022578,4,5
1001126,"10",-0.50651,3,4
1001131,"10",-0.90578,2,3
1001136,"10",-0.85251,2,3
1001144,"10",-1.55524,1,1
1001149,"10",-1.1211,1,2
1001155,"10",-1.13217,1,2
1001169,"10",-0.95708,1,3
1001174,"10",-1.05576,1,2
1001178,"10",-0.87452,2,3
1001181,"10",-0.83258,2,3
1001186,"10",-1.25339,1,1
1001192,"10",-1.29519,1,1
1001197,"10",-0.51551,3,4
1001203,"10",-0.9066,2,3
1001207,"10",-0.67166,2,4
1001214,"10",-0.03772,5,5
1001219,"10",-0.38072,3,5
1001225,"10",-0.66564,2,4
1001228,"10",-1.23385,1,2
1001234,"10",-0.43003,3,5
1001240,"10",-0.512309109151718,3,4
1001254,"10",-1.08935,1,2
1001259,"10",-1.01662941807044,1,2
1001263,"10",-0.4828,3,5
1001267,"10",-1.02444,1,2
1001270,"10",-0.655083661825726,2,4
1001274,"10",-0.65088,2,4
1001277,"10",-0.9638,1,3
1001281,"10",-1.4489,1,1
1001285,"10",-0.64049,2,4
1001289,"10",-0.22484,4,5
1001293,"10",-0.385421164327003,3,5
1001298,"10",-0.680586890052356,2,4
1001304,"10",-0.806741576719577,2,3
1001308,"10",-0.1106,4,5
1001312,"10",-1.0159,1,2
1001316,"10",-1.21639,1,2
1001321,"10",-0.55315,3,4
1001325,"10",-1.57873,1,1
1001328,"10",-1.05457,1,2
1001332,"10",-0.8564,2,3
1001335,"10",-0.99088,1,3
1001339,"10",-0.840515044829647,2,3
1001343,"10",-0.36625,3,5
1001347,"10",-0.66471,2,4
1001352,"10",-0.76025,2,4
1001357,"10",-0.85798,2,3
1001361,"10",-0.84436,2,3
1001365,"10",-0.575237913148372,3,4
1001370,"10",-0.758198752129472,2,4
1001374,"10",0.06851,5,5
1001375,"10",-0.75477,2,4
1001379,"10",-0.690387024320458,2,4
1001385,"10",-0.668031677373305,2,4
