"csd","pr","score_cisv","q_cisv_can","q_score_pr"
1001101,"10",0.36648,4,3
1001105,"10",0.36501,4,2
1001113,"10",0.671734543209877,5,4
1001120,"10",0.69524,5,4
1001124,"10",-0.175400254916242,2,1
1001126,"10",0.0684,3,1
1001131,"10",0.77149,5,4
1001136,"10",0.27836,4,2
1001144,"10",0.88283,5,5
1001149,"10",0.59972,5,4
1001155,"10",0.56288,5,3
1001169,"10",0.64208,5,4
1001174,"10",0.65785,5,4
1001178,"10",0.6091,5,4
1001181,"10",0.58773,5,4
1001186,"10",0.29891,4,2
1001192,"10",1.17819,5,5
1001197,"10",0.19021,4,2
1001203,"10",0.49705,4,3
1001207,"10",0.38886,4,3
1001214,"10",0.32683,4,2
1001219,"10",-0.09366,2,1
1001225,"10",-0.17335,2,1
1001228,"10",0.58104,5,4
1001234,"10",0.31907,4,2
1001240,"10",0.238835269078747,4,2
1001254,"10",0.35087,4,2
1001259,"10",0.334824119448698,4,2
1001263,"10",0.09207,3,1
1001267,"10",0.40667,4,3
1001270,"10",0.224075840248963,4,2
1001274,"10",0.2485,4,2
1001277,"10",0.49642,4,3
1001281,"10",0.82116,5,4
1001285,"10",0.22084,4,2
1001289,"10",0.00108,3,1
1001293,"10",0.0516678695293146,3,1
1001298,"10",0.387932439790576,4,3
1001304,"10",0.3940149664903,4,3
1001308,"10",-0.36015,1,1
1001312,"10",0.68055,5,4
1001316,"10",0.91614,5,5
1001321,"10",0.19108,4,2
1001325,"10",1.00349,5,5
1001328,"10",1.23018,5,5
1001332,"10",0.42943,4,3
1001335,"10",0.58216,5,4
1001339,"10",0.467546658696952,4,3
1001343,"10",-0.0686,3,1
1001347,"10",0.14262,3,2
1001352,"10",0.4395,4,3
1001357,"10",0.30462,4,2
1001361,"10",0.33068,4,2
1001365,"10",0.373557732207479,4,3
1001370,"10",0.515880549403748,4,3
1001374,"10",-0.22025,2,1
1001375,"10",0.27844,4,2
1001379,"10",0.472446055078684,4,3
1001385,"10",0.505222997858672,4,3
1001394,"10",0.34063,4,2
1001396,"10",0.414878897338403,4,3
1001409,"10",0.104883039839304,3,1
1001415,"10",0.370678421052632,4,3
1001421,"10",0.151076113537118,3,2
1001426,"10",0.2338,4,2
1001429,"10",0.307820307142857,4,2
1001434,"10",-0.03187,3,1
1001437,"10",0.657851273247496,5,4
1001441,"10",0.17787,4,2
1001446,"10",0.442499227467811,4,3
1001452,"10",0.444782472858866,4,3
1001456,"10",0.34176,4,2
1001461,"10",0.521549006410256,4,3
