"DGUID","per65","lim","lim65","old","rep","per65_pct","lim_pct","lim65_pct","old_pct","rep_pct"
1001101,45.5,NA,NA,0,0,98.4,NA,NA,7,6.1
1001105,47.1,NA,NA,25,0,98.7,NA,NA,56.8,6.1
1001113,48.1,26,35,9.8,9.8,98.9,91.5,90.1,26.3,63.1
1001120,81.8,NA,NA,0,0,100,NA,NA,7,6.1
1001124,24.5,10.2,22,16.7,4,58,29.5,59.1,37.7,18.2
1001126,27.3,14.4,28,23.9,4.3,69.6,56.8,77.1,54.5,20.2
1001131,33.9,15.2,30,17.6,14.7,88.9,61.4,81.9,39.5,79.4
1001136,35.8,15,28,29.6,7.4,91.9,60.3,77.1,66.3,46.1
1001140,60,NA,NA,NA,NA,99.7,NA,NA,NA,NA
1001144,60,NA,NA,25,0,99.7,NA,NA,56.8,6.1
1001149,39.2,16,20,23.7,7.9,95.5,65.8,52,53.9,50.2
1001155,33,15.6,17,11.1,4.4,86.7,63.7,40.2,28.6,20.7
1001169,44.2,29,42,25,8.3,97.8,93.6,96.2,56.8,53.5
1001174,39.5,NA,NA,22.7,0,95.7,NA,NA,51.5,6.1
1001178,44.4,19,28,9.7,6.5,98,78.8,77.1,26.1,38.4
1001181,39.4,NA,NA,19,9.5,95.6,NA,NA,42.8,61.4
1001186,47.4,NA,NA,40,0,98.8,NA,NA,84.3,6.1
1001192,41.2,NA,NA,22.2,0,96.8,NA,NA,50.3,6.1
1001197,38.2,18.5,29,19,14.3,94.5,76.9,79.8,42.8,78.5
1001203,30.6,15,22,3.8,3.8,80.6,60.3,59.1,16.7,17.1
1001207,40,NA,NA,15.4,0,96.2,NA,NA,35.4,6.1
1001214,47.6,NA,NA,33.3,0,98.9,NA,NA,73.8,6.1
1001219,37.1,NA,NA,0,0,93.5,NA,NA,7,6.1
1001225,35.3,NA,NA,0,0,91,NA,NA,7,6.1
1001228,37.5,18,30,13.9,5.6,94,75.1,81.9,33,30.4
1001234,33.8,14.8,19,17.1,14.3,88.7,59.1,47.7,38.5,78.5
1001240,32.8,17.1,27.8,25.3,4.9,86.4,71.3,75.7,57.8,24.5
1001254,28.9,NA,NA,30.8,7.7,75.5,NA,NA,68.7,48.6
1001259,40.8,19.6,32.5,11.3,4.8,96.6,80.7,87.2,29,23.7
1001263,43.2,NA,NA,28.6,0,97.6,NA,NA,64.1,6.1
1001267,31.7,17.5,34,29.6,14.8,83.9,73.1,88.9,66.3,79.6
1001270,29,14.8,25,17.2,2.3,75.9,59.1,69.6,38.7,12.9
1001274,14.3,NA,NA,0,0,18,NA,NA,7,6.1
1001277,30.9,17,30,7.1,0,81.6,70.6,81.9,21.8,6.1
1001281,44.2,NA,NA,26.1,13,97.8,NA,NA,59.4,75
1001285,35.7,19.6,36,24.6,8.8,91.7,80.7,91.5,55.8,57.2
1001289,29.2,13.2,28,19,9.5,76.5,49.9,77.1,42.8,61.4
1001293,28.9,16.6,29.6,10.4,4.7,75.5,68.6,80.7,27.1,22.9
1001298,25.1,13.4,30,19,10.7,61.2,51,81.9,42.8,67.5
1001304,28.9,19.6,34.8,16.3,5.2,75.5,80.7,89.7,37.1,26.8
1001308,31.4,15.2,38,0,0,83.2,61.4,93.6,7,6.1
1001312,37.2,21.6,32,22.2,4.8,93.6,85.6,86,50.3,23.7
1001316,35.1,NA,NA,23.5,17.6,90.8,NA,NA,53.6,83
1001321,32.4,18.8,34,40,0,85.6,78,88.9,84.3,6.1
1001325,42.4,17.5,24,26.5,8.8,97.3,73.1,65.9,60.2,57.2
1001328,37.5,NA,NA,17.6,11.8,94,NA,NA,39.5,71.5
1001332,39.1,17.5,34,41.5,7.3,95.4,73.1,88.9,86,45.2
1001335,39.1,27.2,48,31.4,8.6,95.4,92.4,98.3,69.7,55.8
1001339,34.6,22.2,36,23.4,7.2,89.8,86.9,91.5,53.3,44.5
1001343,29.8,12.8,24,28.8,5.8,78.4,46.6,65.9,64.7,32.6
1001347,34.8,14.8,30,35.3,0,90.2,59.1,81.9,77.3,6.1
1001352,33.7,24,42,26.8,17.1,88.5,89.5,96.2,60.8,82.4
1001357,38.5,18.5,37,14.3,5.7,94.8,76.9,92.9,33.5,31.5
1001361,29.4,19.6,40,24.6,2.9,77.1,80.7,95.1,55.8,13.9
1001365,25.4,19.2,30.8,11.3,4.3,62.4,79.3,83.5,29,20.2
1001370,28.9,20.1,31,19.3,6.2,75.5,82.5,84,43.5,36.3
1001374,21.9,9.5,10,0,0,46.9,24.3,11.7,7,6.1
1001375,20.3,19.5,52,11.1,0,39.4,80,99.3,28.6,6.1
1001379,30.1,21.1,30.8,25.7,7.3,79.2,84.8,83.5,58.7,45.2
1001385,28.9,15.9,33,23.9,8.5,75.5,65,87.7,54.5,54.9
1001391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001394,34,18,38,26.1,8.7,89.1,75.1,93.6,59.4,56.5
1001396,23.4,18.8,30.2,15.8,7.7,53.2,78,83,36.2,48.6
1001405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001409,22.6,15.2,25.1,18.7,6,49.9,61.4,70.3,42.1,34.4
1001415,30.3,18.6,31.6,17.3,5.3,79.6,77.3,84.9,38.9,27.7
1001421,24,15.5,29.2,9.4,5.7,55.7,63,80.3,25.5,31.5
1001426,25,14.2,20,19.6,0,60.4,55.7,52,44.2,6.1
1001429,29.6,19.8,32.5,12.5,3.3,77.8,81.3,87.2,30.6,15.1
1001434,25.9,13,22,15.8,8.8,64.1,48.3,59.1,36.2,57.2
1001437,29.3,18.8,34,22.9,7.1,76.8,78,88.9,52,43.5
1001441,19.7,19,34,18.8,9.4,36.7,78.8,88.9,42.4,60.8
1001446,31.4,18.4,29,10.8,3.1,83.2,76.4,79.8,28,14.4
1001452,27.3,16.8,22,8.4,2.4,69.6,69.5,59.1,23.8,13.1
1001456,26.8,9.6,14,19.3,12.3,67.6,25.2,28,43.5,73.1
1001461,28.8,14.4,18,25.9,3.4,75.1,56.8,44,59,15.4
1001464,26.5,21.6,26,13.2,5.7,66.4,85.6,72.5,31.9,31.5
1001469,27.7,8.8,14.8,18.3,3.2,70.8,20.1,31.1,41.3,14.8
1001472,26.1,10.5,16.4,12.1,3,64.8,31.3,38.4,30.1,14.1
1001485,17.5,8.1,15.1,7.4,2.9,27.9,16,32.3,22.2,13.9
1001490,37.7,36.5,44,40,17.1,94.2,96.9,97,84.3,82.4
1001494,31.4,41.4,40.8,56.5,7.9,83.2,98.1,95.8,96.8,50.2
1001504,15.1,6.3,12.7,8.7,5.8,19.8,7.1,22.7,24.2,32.6
1001505,16.9,10.2,18,23,3.6,26,29.5,44,52.3,16.2
1001507,12.8,4.6,9.5,8.4,1.5,14.4,2.1,9.6,23.8,12.3
1001509,13.9,6.9,11.4,6.4,3.9,17,10.1,16.4,20.6,17.7
1001511,19,5.2,6.4,7.3,2.2,34,3.4,2.4,22.1,12.8
1001512,19.3,6,10,10.7,7.1,35.1,5.6,11.7,27.7,43.5
1001517,10.6,5.3,10.9,1.9,1.6,11.3,3.7,14.7,14.7,12.4
1001519,19.7,14.8,14.8,22.2,5,36.7,59.1,31.1,50.3,25.2
1001542,21.6,9.7,11,6.8,3.7,45.6,26,15.1,21.2,16.6
1001551,18.5,8.8,20,26.8,4.9,31.8,20.1,52,60.8,24.5
1001557,18.2,7.8,21,15,2.5,30.7,14.4,55.9,34.7,13.2
1001559,17.7,6.4,19.5,11.5,4.1,28.6,7.6,49,29.3,18.9
1001565,41.7,NA,NA,0,0,97,NA,NA,7,6.1
1002001,37.3,22,26,27.3,0,93.7,86.4,72.5,61.6,6.1
1002002,22.9,13.6,34,16.7,0,51.2,52.2,88.9,37.7,6.1
1002005,24.8,17.6,31.6,21.1,3.9,59.1,73.8,84.9,47.6,17.7
1002006,25,NA,NA,22.2,0,60.4,NA,NA,50.3,6.1
1002008,30.5,17.2,34,47.4,11.3,80.3,71.8,88.9,91.8,69.8
1002009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002011,23.9,14.6,39,16.3,10.2,55.3,58,94.2,37.1,65.5
1002012,34.1,NA,NA,34.8,0,89.3,NA,NA,76.5,6.1
1002013,29,NA,NA,36.8,21.1,75.9,NA,NA,79.8,85.9
1002014,35.3,32.5,60,34.8,13,91,95.5,99.7,76.5,75
1002015,38.5,NA,NA,33.3,0,94.8,NA,NA,73.8,6.1
1002016,47.5,NA,NA,15.8,0,98.8,NA,NA,36.2,6.1
1002017,43.8,NA,NA,21.4,14.3,97.7,NA,NA,48.5,78.5
1002018,32.3,21.8,44,22,5.7,85.3,85.9,97,49.7,31.5
1002019,37.8,22.2,36.4,35.9,4.9,94.3,86.9,92.4,78.3,24.5
1002021,31.2,16,34,22,4,82.5,65.8,88.9,49.7,18.2
1002022,29.3,NA,NA,16.7,0,76.8,NA,NA,37.7,6.1
1002023,20,12,28,6.5,0,38,41.4,77.1,20.8,6.1
1002024,26.2,20.3,29.2,12.4,4.1,65.2,82.9,80.3,30.4,18.9
1002025,27.5,18.5,34,19.2,0,70.3,76.9,88.9,43.3,6.1
1002026,40,NA,NA,42.9,0,96.2,NA,NA,87.6,6.1
