"csd","date","topic","total","studio","1bed","2bed","3+bed","<1960","1960-1979","1980-1999","2000+","3-5units","6-19units","20-49units","50-199units","200+units"
"10","1990-10-01","vacancy",2.9,4.5,3,2.9,1.5,4,2.8,2.2,NA,3.7,3.4,1.9,3,NA
"10","1991-10-01","vacancy",6.4,10.4,5.5,6.2,6,7.5,6.7,4.9,NA,4.9,4.8,5.2,7.9,NA
"10","1992-10-01","vacancy",6.4,8.6,5.5,6.4,7,4.5,6.1,8.7,NA,4.7,4.6,6.1,7.1,NA
"10","1993-10-01","vacancy",9.3,21,7.1,8.5,6.7,7,8.7,12.5,NA,5.2,5.5,9.1,11.7,NA
"10","1994-10-01","vacancy",7.3,9.9,7.2,7.3,5.6,7.3,7.5,6.9,NA,7,6.3,8.1,7.2,NA
"10","1995-10-01","vacancy",10,15.6,7.7,10.9,5.6,13.2,9.3,9.6,NA,7.2,6.2,11.7,10.9,NA
"10","1996-10-01","vacancy",14,17.9,9.4,15.6,13.4,15.3,13.5,14.4,NA,8.8,11.1,16.5,14.1,NA
"10","1997-10-01","vacancy",15,NA,10.3,17.6,10.6,15.5,15.5,13.7,NA,11.2,11.6,16.7,16.9,NA
"10","1998-10-01","vacancy",14.7,18.8,12.2,15.9,11,16.5,15.3,12.2,NA,9.4,10.1,18.4,15.8,NA
"10","1999-10-01","vacancy",10.6,7.8,11.1,11.5,7.1,13,12.4,5.3,NA,7.3,8.7,12.3,11.6,NA
"10","2000-10-01","vacancy",5.6,4.2,5.7,6.1,3.1,4.8,6.9,3.4,NA,4.5,7.3,4.5,6.1,NA
"10","2001-10-01","vacancy",3.3,8.5,3.3,2.5,1.6,4.7,3.5,1.5,NA,4.5,3.2,2.4,3.5,NA
"10","2002-10-01","vacancy",2.9,5.8,2.7,2.5,2.9,4.8,3,1.5,0,3.3,5.4,2.5,2.5,NA
"10","2003-10-01","vacancy",3.3,3.4,3.8,2.9,4.3,2.1,4.1,2.4,11.8,3.3,6.5,3.3,2.3,NA
"10","2004-10-01","vacancy",4.2,4.4,4.4,3.7,5.6,3.4,4.1,4.5,11.3,6.4,6,3.8,2.7,NA
"10","2005-10-01","vacancy",4.4,3.6,4.2,4.1,7.1,3.7,4.8,4,3.3,5.4,5.5,4.3,4.1,NA
"10","2006-10-01","vacancy",4,5.7,3.8,3.5,6.7,6.4,3.7,2.6,0.7,6.4,4.4,4.1,3,NA
"10","2007-10-01","vacancy",2.1,1.7,1.7,1.5,6.4,3,2,1.5,0,3.2,3.2,1.4,1.7,NA
"10","2008-10-01","vacancy",1.1,1.3,0.9,1.2,1.1,1.8,1.1,0.4,1.6,2,1.9,0.8,0.8,NA
"10","2009-10-01","vacancy",1,1.4,1.1,0.8,1.3,1.4,1,0.3,1.5,1.9,0.6,0.4,1.1,NA
"10","2010-10-01","vacancy",1,2.6,0.8,0.7,2.6,1.4,1,0.8,1.2,1.3,1.1,0.7,1,NA
"10","2011-10-01","vacancy",1.3,2,1.2,1.1,2.4,1.8,1.4,1.2,0,2.2,0.9,0.5,1.5,NA
"10","2012-10-01","vacancy",2.2,4.1,2,1.9,3,2.4,2.2,2.2,1.4,3.1,1.6,1.6,2.4,NA
"10","2013-10-01","vacancy",2.5,4.4,2,2.3,4.5,2.9,2.9,2.2,0.4,2.9,3.2,2.5,2.5,NA
"10","2014-10-01","vacancy",3.9,6.7,3.1,3.6,6.8,5.3,4.1,3.3,1.5,7.1,4.7,2.5,3.5,NA
"10","2015-10-01","vacancy",4.1,6,3.1,3.6,9.6,6.3,4.1,3.4,1.4,6.2,4.8,3.6,3.2,NA
