"csd","date","topic","t_total","t_single","t_semi","t_row","t_apt","h_total","h_single","h_semi","h_row","h_apt","r_total","r_single","r_semi","r_row","r_apt","co_total","co_single","co_semi","co_row","co_apt","cp_total","cp_single","cp_semi","cp_row","cp_apt"
"10","1990-07-01","starts",1884,1245,52,24,563,1648,1240,18,8,382,236,5,34,16,181,0,0,0,0,0,0,0,0,0,0
"10","1991-07-01","starts",1473,900,20,50,503,1382,894,4,0,484,73,6,16,32,19,0,0,0,0,0,18,0,0,18,0
"10","1992-07-01","starts",1314,750,32,24,508,1194,749,2,0,443,120,1,30,24,65,0,0,0,0,0,0,0,0,0,0
"10","1993-07-01","starts",1391,678,34,39,640,1276,676,16,0,584,115,2,18,39,56,0,0,0,0,0,0,0,0,0,0
"10","1994-07-01","starts",1474,764,20,58,632,1441,764,20,31,626,26,0,0,20,6,7,0,0,7,0,0,0,0,0,0
"10","1995-07-01","starts",986,461,66,40,419,950,461,66,40,383,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0
"10","1996-07-01","starts",1238,680,124,28,406,1176,680,124,16,356,62,0,0,12,50,0,0,0,0,0,0,0,0,0,0
"10","1997-07-01","starts",1144,680,154,14,296,1096,680,154,8,254,36,0,0,6,30,12,0,0,0,12,0,0,0,0,0
"10","1998-07-01","starts",931,580,154,20,177,824,580,154,20,70,67,0,0,0,67,40,0,0,0,40,0,0,0,0,0
"10","1999-07-01","starts",926,803,50,9,64,911,799,50,4,58,10,4,0,0,6,0,0,0,0,0,0,0,0,0,0
"10","2000-07-01","starts",1029,913,32,23,61,1009,908,20,23,58,0,0,0,0,0,15,0,12,0,3,0,0,0,0,0
"10","2001-07-01","starts",1180,1008,28,36,108,1124,1006,8,22,88,14,0,0,14,0,40,0,20,0,20,0,0,0,0,0
"10","2002-07-01","starts",1552,1277,20,38,217,1474,1272,16,16,170,40,0,0,0,40,34,1,4,22,7,0,0,0,0,0
"10","2003-07-01","starts",1863,1432,62,90,279,1785,1432,62,71,220,20,0,0,12,8,58,0,0,7,51,0,0,0,0,0
"10","2004-07-01","starts",2091,1489,262,51,289,2020,1489,258,37,236,33,0,0,4,29,38,0,4,10,24,0,0,0,0,0
"10","2005-07-01","starts",1761,1292,146,31,292,1705,1292,146,31,236,4,0,0,0,4,52,0,0,0,52,0,0,0,0,0
"10","2006-07-01","starts",1493,1169,104,24,196,1464,1169,104,19,172,24,0,0,0,24,5,0,0,5,0,0,0,0,0,0
"10","2007-07-01","starts",1825,1450,98,46,231,1740,1450,90,20,180,39,0,8,20,11,46,0,0,6,40,0,0,0,0,0
"10","2008-07-01","starts",2229,1781,104,85,259,2131,1781,102,38,210,47,0,0,25,22,51,0,2,22,27,0,0,0,0,0
"10","2009-07-01","starts",2022,1662,32,55,273,1884,1659,32,3,190,76,0,0,14,62,62,3,0,38,21,0,0,0,0,0
"10","2010-07-01","starts",2213,1764,40,93,316,2077,1746,26,17,288,90,0,12,54,24,46,18,2,22,4,0,0,0,0,0
"10","2011-07-01","starts",2322,1579,26,121,596,2112,1576,14,26,496,81,1,10,48,22,129,2,2,47,78,0,0,0,0,0
"10","2012-07-01","starts",2544,1547,34,80,883,2183,1547,26,35,575,94,0,6,0,88,267,0,2,45,220,0,0,0,0,0
"10","2013-07-01","starts",2024,1481,14,59,470,1523,1475,14,34,0,395,0,0,25,370,106,6,0,0,100,0,0,0,0,0
"10","2014-07-01","starts",1496,1081,29,87,299,1136,1081,29,26,0,255,0,0,35,220,92,0,0,20,72,0,0,0,0,0
"10","2015-07-01","starts",1202,875,28,19,280,904,875,24,1,4,146,0,4,10,132,152,0,0,8,144,0,0,0,0,0
"10","2016-07-01","starts",1000,761,96,48,95,901,761,96,44,0,87,0,0,4,83,12,0,0,0,12,0,0,0,0,0
"10","2017-07-01","starts",1051,615,132,202,102,797,603,96,92,6,188,12,36,68,72,66,0,0,42,24,0,0,0,0,0
"10","2018-07-01","starts",799,524,54,68,153,618,523,50,41,4,144,1,2,12,129,37,0,2,15,20,0,0,0,0,0
