"year","geo","dguid","age","type","value"
2021,"Canada","1","Total","total",657920
2021,"Canada","1","Total","health care and related",485320
2021,"Canada","1","Total","hospitals",11125
2021,"Canada","1","Total","nursing homes",184895
2021,"Canada","1","Total","senior residences",159750
2021,"Canada","1","Total","mix of nursing home and senior residences",67855
2021,"Canada","1","Total","residential care facilities",61705
2021,"Canada","1","Total","correctional facilities",32890
2021,"Canada","1","Total","shelters",12565
2021,"Canada","1","Total","service collective",68000
2021,"Canada","1","Total","lodging and rooming houses",16620
2021,"Canada","1","Total","hotels, motels, and temporary accommodation",22725
2021,"Canada","1","Total","other service collective",28660
2021,"Canada","1","Total","religious establishments",8640
2021,"Canada","1","Total","hutterite colonies",38350
2021,"Canada","1","Total","other",12150
2021,"Canada","1","0 to 14","total",18935
2021,"Canada","1","0 to 14","health care and related",2370
2021,"Canada","1","0 to 14","hospitals",105
2021,"Canada","1","0 to 14","nursing homes",0
2021,"Canada","1","0 to 14","senior residences",15
2021,"Canada","1","0 to 14","mix of nursing home and senior residences",30
2021,"Canada","1","0 to 14","residential care facilities",2215
2021,"Canada","1","0 to 14","correctional facilities",135
2021,"Canada","1","0 to 14","shelters",1540
2021,"Canada","1","0 to 14","service collective",2305
2021,"Canada","1","0 to 14","lodging and rooming houses",175
2021,"Canada","1","0 to 14","hotels, motels, and temporary accommodation",885
2021,"Canada","1","0 to 14","other service collective",1245
2021,"Canada","1","0 to 14","religious establishments",80
2021,"Canada","1","0 to 14","hutterite colonies",12175
2021,"Canada","1","0 to 14","other",340
2021,"Canada","1","15 to 19","total",14665
2021,"Canada","1","15 to 19","health care and related",2945
2021,"Canada","1","15 to 19","hospitals",70
2021,"Canada","1","15 to 19","nursing homes",35
2021,"Canada","1","15 to 19","senior residences",40
2021,"Canada","1","15 to 19","mix of nursing home and senior residences",20
2021,"Canada","1","15 to 19","residential care facilities",2785
2021,"Canada","1","15 to 19","correctional facilities",795
2021,"Canada","1","15 to 19","shelters",1230
2021,"Canada","1","15 to 19","service collective",5625
2021,"Canada","1","15 to 19","lodging and rooming houses",245
2021,"Canada","1","15 to 19","hotels, motels, and temporary accommodation",420
2021,"Canada","1","15 to 19","other service collective",4960
2021,"Canada","1","15 to 19","religious establishments",130
2021,"Canada","1","15 to 19","hutterite colonies",3480
2021,"Canada","1","15 to 19","other",460
2021,"Canada","1","15 to 17","total",7620
2021,"Canada","1","15 to 17","health care and related",2085
2021,"Canada","1","15 to 17","hospitals",45
2021,"Canada","1","15 to 17","nursing homes",15
2021,"Canada","1","15 to 17","senior residences",15
2021,"Canada","1","15 to 17","mix of nursing home and senior residences",15
2021,"Canada","1","15 to 17","residential care facilities",1990
2021,"Canada","1","15 to 17","correctional facilities",300
2021,"Canada","1","15 to 17","shelters",730
2021,"Canada","1","15 to 17","service collective",2155
2021,"Canada","1","15 to 17","lodging and rooming houses",45
2021,"Canada","1","15 to 17","hotels, motels, and temporary accommodation",205
2021,"Canada","1","15 to 17","other service collective",1910
2021,"Canada","1","15 to 17","religious establishments",60
2021,"Canada","1","15 to 17","hutterite colonies",2180
2021,"Canada","1","15 to 17","other",110
2021,"Canada","1","18 to 19","total",7045
2021,"Canada","1","18 to 19","health care and related",860
2021,"Canada","1","18 to 19","hospitals",20
2021,"Canada","1","18 to 19","nursing homes",20
2021,"Canada","1","18 to 19","senior residences",20
2021,"Canada","1","18 to 19","mix of nursing home and senior residences",5
2021,"Canada","1","18 to 19","residential care facilities",790
2021,"Canada","1","18 to 19","correctional facilities",490
2021,"Canada","1","18 to 19","shelters",500
2021,"Canada","1","18 to 19","service collective",3470
2021,"Canada","1","18 to 19","lodging and rooming houses",205
2021,"Canada","1","18 to 19","hotels, motels, and temporary accommodation",215
2021,"Canada","1","18 to 19","other service collective",3050
