"geo","dguid","component","age","row","2001/2002","2002/2003","2003/2004","2004/2005","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025"
"Canada",1,"Net emigration","Total",1,51980,52192,55303,53572,54259,45800,51107,47991,42074,42862,54886,51802,53501,54044,54897,56480,39865,34966,31669,25726,47253,61709,63452,65372
"Canada",1,"Net emigration","-1",2,296,299,312,364,464,443,530,487,382,409,462,387,360,382,371,266,188,149,120,123,277,309,322,331
"Canada",1,"Net emigration","0",3,582,594,628,715,890,843,1019,946,750,815,919,779,734,767,745,530,377,301,245,242,550,632,649,667
"Canada",1,"Net emigration","1",4,556,557,596,655,783,741,921,858,706,773,928,817,790,809,779,606,428,368,308,283,607,719,738,760
"Canada",1,"Net emigration","2",5,544,524,575,609,700,666,840,790,669,735,923,833,825,832,794,668,465,424,365,318,651,784,803,829
"Canada",1,"Net emigration","3",6,536,512,560,578,639,611,775,729,634,698,905,839,841,838,794,705,493,455,408,345,683,831,854,881
"Canada",1,"Net emigration","4",7,538,504,552,553,595,571,724,679,599,667,877,827,837,833,783,734,509,483,438,362,704,865,882,913
"Canada",1,"Net emigration","5",8,540,502,550,540,567,539,678,639,570,630,845,806,816,812,761,737,519,498,455,374,719,880,902,929
"Canada",1,"Net emigration","6",9,550,504,551,530,552,515,647,606,543,595,805,772,781,774,723,732,516,500,452,378,718,880,901,927
"Canada",1,"Net emigration","7",10,549,509,548,526,541,501,614,576,513,559,754,724,739,728,681,711,505,488,443,370,708,868,887,918
"Canada",1,"Net emigration","8",11,547,508,544,520,533,484,584,550,478,520,701,664,681,674,629,674,481,465,425,358,689,843,865,890
"Canada",1,"Net emigration","9",12,548,513,539,512,531,480,558,525,448,475,642,607,616,621,579,624,451,432,396,337,658,808,826,846
"Canada",1,"Net emigration","10",13,564,529,545,516,546,485,546,508,423,442,586,552,558,563,524,578,421,392,362,314,626,766,779,806
"Canada",1,"Net emigration","11",14,559,528,542,508,546,474,527,483,388,396,524,481,480,486,456,538,395,360,336,297,608,734,749,766
"Canada",1,"Net emigration","12",15,497,472,480,448,478,407,451,414,325,317,424,382,376,386,353,460,341,294,278,251,549,661,673,697
"Canada",1,"Net emigration","13",16,384,363,364,320,338,285,323,305,222,208,309,266,253,256,231,335,228,184,186,175,431,528,541,560
