"geo","dguid","component","age","row","2001/2002","2002/2003","2003/2004","2004/2005","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025"
"Canada",1,"Immigrants","Total",1,256405,199170,239101,244599,254381,238127,249632,245313,270635,259143,260043,263115,267936,240775,323188,272694,303369,313603,284153,226314,493236,468913,464344,435421
"Canada",1,"Immigrants","-1",2,800,676,738,789,742,727,739,577,754,612,560,568,604,541,1120,703,857,827,349,95,730,966,839,698
"Canada",1,"Immigrants","0",3,4175,3552,4352,4260,4280,3769,3691,3460,3688,3862,3469,3600,3232,2669,4498,3284,3376,3580,2925,1009,2480,4662,4226,3664
"Canada",1,"Immigrants","1",4,3724,3217,3387,3847,3726,3369,3596,3460,4059,4129,3867,3676,3637,3227,4951,3463,3852,4099,3405,1604,3372,4702,4996,4484
"Canada",1,"Immigrants","2",5,3886,2927,3191,3304,3387,3147,3498,3257,3958,4268,3761,3798,3364,3312,5560,3812,4128,4391,4006,1943,4076,5235,5141,5244
"Canada",1,"Immigrants","3",6,4178,3028,3581,3623,3290,3059,3404,3197,3957,4153,3931,3851,3597,3259,5570,3979,4413,4577,4017,2590,5227,5929,5872,5356
"Canada",1,"Immigrants","4",7,4047,3162,3477,3847,3410,3182,3349,3416,4028,4120,3910,4058,3820,3421,5594,4049,4353,4489,4157,2758,6003,6543,6459,5813
"Canada",1,"Immigrants","5",8,3960,3118,3602,3679,3667,3307,3347,3276,3883,4070,3880,3802,3813,3283,5565,3913,4288,4319,3928,2809,6275,6853,6791,6002
"Canada",1,"Immigrants","6",9,4016,2937,3585,3891,3669,3240,3511,3410,3903,3882,3734,3584,3692,3385,5224,4010,3972,4344,3883,2752,6372,6699,6854,6196
"Canada",1,"Immigrants","7",10,3925,2948,3470,3842,3748,3296,3483,3458,3748,3904,3694,3568,3439,3237,5120,3947,3943,3994,3714,2792,6104,6581,6694,6193
"Canada",1,"Immigrants","8",11,3868,2820,3293,3791,3782,3271,3441,3405,3824,3750,3605,3430,3437,3230,4816,3769,3760,3951,3574,2754,6223,6621,6679,6015
"Canada",1,"Immigrants","9",12,3737,2824,3280,3613,3717,3303,3498,3321,3787,3914,3427,3298,3176,3183,4577,3555,3469,3670,3325,2577,5903,6063,6286,5859
"Canada",1,"Immigrants","10",13,3894,2705,3395,3681,3595,3337,3571,3410,3718,3720,3503,3178,3092,3105,4304,3479,3423,3458,3130,2495,5480,6054,5969,5608
"Canada",1,"Immigrants","11",14,3830,2786,3203,3627,3534,3308,3397,3456,3669,3563,3512,3208,3001,3138,4158,3383,3145,3308,2973,2305,5324,5568,5578,5431
"Canada",1,"Immigrants","12",15,3725,2657,3250,3523,3464,3199,3374,3389,3506,3575,3252,3040,3156,2918,4053,3249,2931,3094,2744,2241,4979,5285,5357,5048
"Canada",1,"Immigrants","13",16,3580,2689,3320,3484,3588,3140,3412,3255,3485,3500,3242,2994,2996,3034,3832,3156,2867,2982,2534,2041,4687,5197,5100,4810
