"geo","dguid","component","age","row","2001/2002","2002/2003","2003/2004","2004/2005","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025"
"Canada",1,"Net non-permanent residents","Total",1,33510,36771,10348,9148,15978,27424,51478,71886,34243,14724,55400,49521,32867,-9841,35448,103776,162573,168833,75265,-51719,224715,671525,781075,-14954
"Canada",1,"Net non-permanent residents","-1",2,171,189,109,95,85,106,211,220,120,111,125,53,67,59,66,175,355,168,108,15,470,311,207,209
"Canada",1,"Net non-permanent residents","0",3,422,434,331,262,255,314,575,627,335,304,354,163,169,181,225,489,1142,649,532,58,1065,1569,1473,829
"Canada",1,"Net non-permanent residents","1",4,406,428,241,201,208,257,545,641,317,230,322,134,124,164,214,551,1237,771,681,65,1967,3133,4022,2898
"Canada",1,"Net non-permanent residents","2",5,213,329,89,91,75,126,396,498,117,42,163,55,37,136,154,493,1177,682,637,-46,2458,4142,5569,3642
"Canada",1,"Net non-permanent residents","3",6,288,336,14,93,94,201,480,552,165,3,109,101,38,151,277,650,1303,875,784,-198,2138,4733,6279,2880
"Canada",1,"Net non-permanent residents","4",7,535,458,112,144,107,214,551,675,310,18,287,170,194,341,379,817,1590,1211,1073,-19,2456,6367,8358,3659
"Canada",1,"Net non-permanent residents","5",8,799,610,272,256,237,334,728,856,481,107,335,209,282,405,553,984,1761,1490,1274,220,2239,6330,8174,2664
"Canada",1,"Net non-permanent residents","6",9,584,378,0,145,198,304,641,691,189,-63,281,210,228,299,416,754,1596,1252,1128,58,2339,6474,8102,2142
"Canada",1,"Net non-permanent residents","7",10,260,64,-114,-110,46,199,448,574,128,-286,33,2,-27,103,175,683,1416,1143,973,-332,1950,6177,7373,1071
"Canada",1,"Net non-permanent residents","8",11,262,88,-48,19,108,245,481,564,65,-399,134,49,-41,106,145,505,1160,980,787,-484,1382,5351,7025,621
"Canada",1,"Net non-permanent residents","9",12,366,175,-37,119,262,640,619,657,148,-293,104,10,112,45,51,574,1272,1037,800,-546,1292,5152,6455,28
"Canada",1,"Net non-permanent residents","10",13,261,252,93,165,373,712,417,533,-30,-386,53,9,-52,-12,180,435,1066,990,810,-547,1068,4573,5991,-32
"Canada",1,"Net non-permanent residents","11",14,353,290,-15,-37,-9,217,-174,26,-394,-634,-108,-165,-196,40,19,435,1037,848,753,-689,1325,4762,6714,1016
"Canada",1,"Net non-permanent residents","12",15,556,399,-27,-64,-94,94,-220,-22,-321,-515,3,-51,48,256,251,512,1224,1046,912,-598,978,3933,5344,2
"Canada",1,"Net non-permanent residents","13",16,675,622,388,277,368,565,396,528,206,-72,464,558,625,893,918,1414,1789,1830,1359,-419,1501,4414,6027,471
"Canada",1,"Net non-permanent residents","14",17,954,929,723,503,620,718,606,857,569,586,1270,1392,1804,2313,2673,2963,3768,3278,2875,164,2895,5863,8020,1853
"Canada",1,"Net non-permanent residents","15",18,1513,1465,1092,1103,1101,1404,1471,2013,1692,2004,2893,3064,3635,3975,4847,5524,5953,5825,4543,838,5921,7782,9890,3813
"Canada",1,"Net non-permanent residents","16",19,2178,1904,1574,1716,1997,2364,2508,2848,2594,3092,3705,3602,4371,4591,5257,6540,8081,6881,4528,139,6491,7250,9146,2715
"Canada",1,"Net non-permanent residents","17",20,3146,2844,2281,2343,2602,3140,3805,4411,4569,5429,6749,7064,8434,8782,10639,14495,19548,18564,14537,1737,16450,20743,23207,7384
"Canada",1,"Net non-permanent residents","18",21,6391,6069,4999,4923,5201,6430,7279,8257,8957,9392,10809,10900,12477,12785,16411,23561,30614,29924,27619,7027,38593,48806,54908,20408
"Canada",1,"Net non-permanent residents","19",22,4588,4782,3466,3296,3475,4315,4519,5911,6943,6542,7589,6599,7306,6358,9657,14001,18505,16989,13210,5309,39989,44623,52563,14542
"Canada",1,"Net non-permanent residents","20",23,3560,3583,2405,2331,2400,2971,3042,4470,5108,4649,4777,4454,5752,3412,7017,9398,12178,11115,3659,309,21873,32525,35362,2621
"Canada",1,"Net non-permanent residents","21",24,2720,2056,1504,984,1373,1592,1851,3540,4163,3697,4716,4337,4509,2004,4895,8567,11367,9915,2626,-2632,14730,27712,32266,378
"Canada",1,"Net non-permanent residents","22",25,1650,1467,915,278,364,622,1382,3789,4340,3601,4699,4785,4389,1667,5499,9299,12052,11749,6052,-1470,11977,27340,30347,-1477
"Canada",1,"Net non-permanent residents","23",26,1225,927,27,-449,-556,274,1296,3296,3505,2370,3272,3001,2754,543,4186,7392,9243,9841,3824,-2519,11177,27198,28474,-5815
"Canada",1,"Net non-permanent residents","24",27,91,502,-93,-354,-632,-369,529,2393,2362,619,1663,1320,1096,-1166,1646,4160,5252,5768,693,-5271,6889,27287,24443,-9201
"Canada",1,"Net non-permanent residents","25",28,199,266,-630,-829,-631,-249,78,1420,1094,-558,637,520,-447,-2981,-131,1655,2316,2817,-1878,-7428,1893,24511,23073,-10229
"Canada",1,"Net non-permanent residents","26",29,-240,269,-616,-555,-522,-403,497,1613,163,-1422,71,375,-1374,-3385,-1618,-264,-89,672,-3303,-7497,-2034,21783,19008,-13670
"Canada",1,"Net non-permanent residents","27",30,-123,362,-639,-462,-384,-158,840,1861,-111,-1122,79,-21,-1387,-3353,-1735,-886,-1537,303,-3610,-6573,-1449,20980,17962,-13279
"Canada",1,"Net non-permanent residents","28",31,18,595,-482,-228,-88,61,843,1919,-228,-1063,-301,-35,-1320,-3123,-1820,-749,-1282,-305,-3489,-5745,-1317,19371,16955,-12716
"Canada",1,"Net non-permanent residents","29",32,-89,574,-283,-475,23,39,762,1992,-147,-1065,198,-2,-1459,-3107,-1838,-156,-722,597,-2830,-4237,14,18793,17434,-9643
"Canada",1,"Net non-permanent residents","30",33,-110,426,-676,-532,-135,7,933,1614,-372,-1537,424,108,-1034,-3099,-1781,-100,-143,677,-2080,-3312,823,18432,17526,-7421
"Canada",1,"Net non-permanent residents","31",34,-10,315,-586,-783,-574,-110,723,1218,-658,-1227,470,159,-1536,-2867,-2304,-566,-403,702,-1692,-2695,1374,17429,16992,-5277
"Canada",1,"Net non-permanent residents","32",35,0,197,-395,-620,-102,-121,1106,1128,-695,-1343,27,-112,-1520,-3106,-2585,-762,149,723,-1366,-2021,1945,16875,16943,-3080
"Canada",1,"Net non-permanent residents","33",36,-97,384,-292,-362,15,248,1347,1076,-531,-1054,179,300,-889,-2639,-2058,-228,807,1416,-159,-1175,2328,15622,17350,-1736
"Canada",1,"Net non-permanent residents","34",37,97,204,-214,-346,-8,420,1106,1229,-717,-1124,273,461,-799,-2366,-1868,-178,1034,1700,68,-908,1981,14987,16381,-1207
