"geo","dguid","component","age","row","2001/2002","2002/2003","2003/2004","2004/2005","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021"
"Canada",1,"Residual deviation","Total",1,-7875,-7873,-7895,-7872,-10886,-31800,-31887,-31798,-31800,-30684,-24049,-23981,-23983,-23984,-19456,8245,8244,8246,8268,7091
"Canada",1,"Residual deviation","-1",2,623,540,934,202,-2691,79,-129,-970,-1376,-605,226,164,98,-57,56,656,509,659,855,1624
"Canada",1,"Residual deviation","0",3,715,1176,1080,1641,290,750,144,-343,-1827,-2494,315,419,296,163,-196,1470,1213,949,1233,263
"Canada",1,"Residual deviation","1",4,24,704,1163,1064,849,-90,751,161,-323,-2244,1136,307,419,299,512,1328,1452,1206,941,1320
"Canada",1,"Residual deviation","2",5,-798,9,690,1146,1324,-77,-87,761,182,-966,1059,1132,307,419,153,869,1319,1446,1189,788
"Canada",1,"Residual deviation","3",6,-1190,-812,-7,676,1529,-534,-84,-73,786,-256,1118,1053,1134,303,392,1161,853,1302,1430,977
"Canada",1,"Residual deviation","4",7,-1169,-1206,-832,-18,2003,-270,-532,-71,-56,2507,765,1109,1055,1127,908,951,1148,839,1297,715
"Canada",1,"Residual deviation","5",8,-852,-1183,-1225,-840,-1351,-270,-272,-520,-45,655,797,759,1108,1050,949,908,936,1139,831,1027
"Canada",1,"Residual deviation","6",9,-73,-865,-1200,-1238,-53,264,-273,-265,-495,-724,964,786,756,1108,831,1025,903,922,1121,793
"Canada",1,"Residual deviation","7",10,227,-84,-886,-1218,-506,224,268,-260,-236,444,1677,958,784,755,-53,1106,1009,887,909,765
"Canada",1,"Residual deviation","8",11,646,216,-110,-904,-543,948,220,274,-238,464,1568,1667,958,790,630,1085,1097,1002,872,483
"Canada",1,"Residual deviation","9",12,810,630,195,-118,-1576,1039,956,232,303,894,1891,1561,1669,956,1258,779,1079,1085,987,1718
"Canada",1,"Residual deviation","10",13,1667,788,607,181,-376,1959,1040,961,255,-387,2009,1882,1556,1666,1948,912,765,1061,1072,120
"Canada",1,"Residual deviation","11",14,2182,1651,777,598,1030,1991,1964,1056,983,1182,2462,1991,1883,1559,765,899,901,751,1052,662
"Canada",1,"Residual deviation","12",15,1873,2171,1634,759,854,1483,2000,1972,1076,1641,1511,2449,1996,1877,2106,967,888,891,739,-252
"Canada",1,"Residual deviation","13",16,661,1864,2155,1620,293,566,1493,2005,2000,1172,287,1503,2446,1992,1775,-171,957,876,874,646
"Canada",1,"Residual deviation","14",17,356,639,1843,2128,812,-394,573,1496,2033,790,-1191,277,1500,2450,1903,-2040,-179,946,863,1312
"Canada",1,"Residual deviation","15",18,122,345,628,1822,-97,-1471,-398,581,1532,629,-1952,-1193,283,1496,672,-3868,-2046,-192,930,1747
"Canada",1,"Residual deviation","16",19,250,105,324,612,1617,-1874,-1478,-381,611,1426,-2506,-1947,-1194,273,1990,-3119,-3881,-2064,-208,-60
"Canada",1,"Residual deviation","17",20,-437,239,84,308,1921,-2821,-1881,-1460,-353,218,-3406,-2500,-1947,-1201,351,-2521,-3122,-3895,-2078,576
"Canada",1,"Residual deviation","18",21,-804,-453,212,70,492,-2702,-2826,-1864,-1431,-613,-3256,-3402,-2504,-1953,-149,-767,-2528,-3135,-3916,-1376
"Canada",1,"Residual deviation","19",22,-692,-813,-474,203,-771,-2341,-2707,-2805,-1832,-2331,-2965,-3246,-3406,-2511,-2478,714,-782,-2549,-3162,-2678
"Canada",1,"Residual deviation","20",23,-434,-704,-838,-486,-448,-1640,-2345,-2687,-2773,-3878,-2396,-2959,-3255,-3411,-2774,1870,700,-795,-2569,-4043
"Canada",1,"Residual deviation","21",24,-1132,-443,-723,-853,-855,-1801,-1650,-2328,-2654,-2799,-1866,-2394,-2966,-3252,-2577,1669,1861,689,-818,-1529
"Canada",1,"Residual deviation","22",25,-1498,-1147,-468,-739,-675,-1642,-1808,-1629,-2299,-262,-1721,-1862,-2402,-2963,-2410,1311,1659,1846,665,-398
"Canada",1,"Residual deviation","23",26,-1424,-1508,-1170,-481,-89,-992,-1649,-1786,-1599,-1450,-1387,-1730,-1867,-2394,-2276,1365,1292,1647,1828,1539
"Canada",1,"Residual deviation","24",27,-1462,-1435,-1533,-1181,-1089,-1170,-994,-1627,-1757,-1652,-1202,-1387,-1728,-1868,-1992,1426,1351,1278,1628,1059
"Canada",1,"Residual deviation","25",28,-1327,-1476,-1463,-1545,-1668,-167,-1171,-972,-1595,-2620,-674,-1205,-1390,-1726,-3435,2038,1419,1338,1265,729
"Canada",1,"Residual deviation","26",29,-1054,-1342,-1503,-1467,-1124,-353,-168,-1154,-943,-1552,-1326,-674,-1206,-1386,-1068,1396,2022,1398,1317,1869
"Canada",1,"Residual deviation","27",30,-1686,-1073,-1366,-1508,-209,-589,-361,-151,-1128,-755,-1474,-1331,-680,-1209,665,162,1379,2007,1380,1054
"Canada",1,"Residual deviation","28",31,-1731,-1701,-1095,-1373,-1667,-814,-590,-345,-120,-796,-1926,-1476,-1330,-679,-448,-505,145,1367,1987,1371
"Canada",1,"Residual deviation","29",32,-2227,-1743,-1727,-1108,-1188,-778,-810,-574,-311,-1470,-1985,-1922,-1476,-1334,-1370,-650,-522,130,1345,1009
"Canada",1,"Residual deviation","30",33,-1552,-2242,-1772,-1737,-1999,-747,-780,-798,-544,-1003,-2331,-1980,-1924,-1477,-1836,-630,-661,-528,112,-1248
"Canada",1,"Residual deviation","31",34,-1566,-1567,-2263,-1776,-231,-600,-753,-763,-765,-141,-1949,-2332,-1982,-1926,-1220,-232,-644,-679,-556,349
"Canada",1,"Residual deviation","32",35,-1470,-1578,-1596,-2279,-1243,-1317,-606,-733,-729,-24,-1770,-1952,-2327,-1984,-2072,-488,-254,-661,-702,918
"Canada",1,"Residual deviation","33",36,-1304,-1488,-1608,-1607,-1145,-1429,-1323,-585,-706,-804,-1461,-1769,-1953,-2331,-947,-306,-507,-262,-683,272
"Canada",1,"Residual deviation","34",37,-749,-1322,-1513,-1618,-3273,-1500,-1427,-1304,-560,-670,-1043,-1462,-1769,-1953,-3418,-304,-322,-520,-292,-1850
"Canada",1,"Residual deviation","35",38,-141,-761,-1345,-1527,-2114,59,-1506,-1414,-1273,-1741,-725,-1050,-1461,-1769,-2133,532,-318,-327,-545,-534
"Canada",1,"Residual deviation","36",39,1020,-161,-788,-1361,-1070,-937,57,-1486,-1384,425,-317,-726,-1052,-1462,-1161,382,510,-334,-358,-618
"Canada",1,"Residual deviation","37",40,1028,1003,-184,-802,-510,-843,-933,77,-1459,-689,-147,-321,-730,-1054,-322,263,373,497,-355,-322
"Canada",1,"Residual deviation","38",41,876,1007,971,-199,1331,-1188,-844,-923,104,103,28,-148,-321,-727,-802,90,249,358,477,-181
"Canada",1,"Residual deviation","39",42,-176,851,981,958,694,-1740,-1198,-824,-886,-1765,170,24,-154,-325,-667,8,80,234,338,-38
"Canada",1,"Residual deviation","40",43,-70,-192,831,965,-1193,-1632,-1747,-1174,-793,-1191,628,168,15,-155,-1469,90,-4,62,217,-423
"Canada",1,"Residual deviation","41",44,-525,-92,-217,813,-770,-1403,-1644,-1727,-1145,-323,901,623,162,20,1329,714,80,-16,43,576
"Canada",1,"Residual deviation","42",45,-506,-549,-117,-233,-1298,-1828,-1405,-1618,-1695,315,608,901,618,159,744,1,695,69,-39,915
"Canada",1,"Residual deviation","43",46,-171,-528,-571,-133,1370,-1410,-1837,-1385,-1585,1029,651,596,894,623,1943,-88,-10,684,44,43
"Canada",1,"Residual deviation","44",47,413,-191,-550,-586,-1193,-1067,-1409,-1807,-1346,62,583,646,593,896,-2274,140,-101,-30,663,-17
"Canada",1,"Residual deviation","45",48,370,401,-215,-569,-1003,1018,-1069,-1388,-1774,-3291,946,572,642,592,855,1174,129,-116,-43,-366
"Canada",1,"Residual deviation","46",49,1010,354,378,-231,520,856,1019,-1039,-1346,-3105,1416,937,573,645,431,244,1151,110,-136,972
"Canada",1,"Residual deviation","47",50,879,998,328,359,-655,911,866,1040,-1009,-3298,1353,1407,936,570,1553,115,230,1142,96,771
"Canada",1,"Residual deviation","48",51,693,859,975,318,-167,1049,918,882,1074,1229,1410,1338,1403,936,3003,-217,96,218,1124,1320
"Canada",1,"Residual deviation","49",52,118,675,843,961,1647,493,1054,931,922,-211,446,1399,1337,1403,1717,-729,-221,86,199,-1132
"Canada",1,"Residual deviation","50",53,367,101,651,827,-602,141,497,1069,970,532,626,437,1396,1336,-996,-591,-739,-241,65,-516
"Canada",1,"Residual deviation","51",54,313,356,85,646,354,325,133,516,1107,1845,678,620,431,1397,-271,365,-606,-753,-260,286
"Canada",1,"Residual deviation","52",55,-57,299,331,70,1152,-201,328,156,552,632,554,670,617,433,-708,-62,347,-621,-781,773
"Canada",1,"Residual deviation","53",56,-71,-67,280,322,934,-375,-200,351,190,-120,803,551,663,618,2610,313,-78,336,-638,1816
"Canada",1,"Residual deviation","54",57,1621,-88,-89,275,129,-171,-370,-182,379,1611,749,796,545,665,-1364,-176,299,-93,313,211
"Canada",1,"Residual deviation","55",58,-230,1611,-102,-95,514,187,-168,-351,-150,-1218,565,746,793,545,336,859,-190,282,-116,-1789
"Canada",1,"Residual deviation","56",59,695,-241,1594,-116,826,212,186,-155,-323,-393,819,551,733,792,1265,634,847,-207,263,-1509
"Canada",1,"Residual deviation","57",60,1140,689,-252,1575,-191,366,217,206,-120,134,688,808,554,740,-76,126,620,831,-225,-1852
"Canada",1,"Residual deviation","58",61,899,1129,673,-260,-4383,825,364,223,232,1314,544,689,807,548,462,512,118,598,809,1713
"Canada",1,"Residual deviation","59",62,592,892,1119,661,3396,1957,833,382,264,93,406,545,682,809,1530,458,497,97,586,-588
"Canada",1,"Residual deviation","60",63,915,578,873,1105,2199,-401,1958,847,412,208,235,397,540,681,-957,-29,441,478,83,-74
"Canada",1,"Residual deviation","61",64,154,906,571,870,767,-620,-399,1971,873,1265,-106,227,395,536,408,212,-45,429,461,768
"Canada",1,"Residual deviation","62",65,150,141,898,559,-434,-351,-625,-381,1999,900,-328,-112,222,396,921,-96,202,-62,412,-394
