"ref_date","dguid","index","value"
2024,1001113,"Transportation",0.2041
2024,1001124,"Transportation",0.1387
2024,1001126,"Transportation",0.1645
2024,1001131,"Transportation",0.1633
2024,1001136,"Transportation",0.1843
2024,1001149,"Transportation",0.1781
2024,1001155,"Transportation",0.1781
2024,1001169,"Transportation",0.2327
2024,1001178,"Housing and transportation",0.263
2024,1001178,"Housing",0.0589
2024,1001178,"Transportation",0.2041
2024,1001197,"Transportation",0.1951
2024,1001203,"Transportation",0.1538
2024,1001228,"Transportation",0.1951
2024,1001234,"Transportation",0.1669
2024,1001240,"Housing and transportation",0.2792
2024,1001240,"Housing",0.1011
2024,1001240,"Transportation",0.1781
2024,1001259,"Transportation",0.1895
2024,1001267,"Transportation",0.1596
2024,1001270,"Housing and transportation",0.2381
2024,1001270,"Housing",0.0976
2024,1001270,"Transportation",0.1406
2024,1001277,"Transportation",0.1701
2024,1001285,"Transportation",0.169
2024,1001289,"Transportation",0.1769
2024,1001293,"Transportation",0.1527
2024,1001298,"Transportation",0.1516
2024,1001304,"Housing and transportation",0.2691
2024,1001304,"Housing",0.0911
2024,1001304,"Transportation",0.1781
2024,1001308,"Housing and transportation",0.2344
2024,1001308,"Housing",0.0828
2024,1001308,"Transportation",0.1516
2024,1001312,"Transportation",0.1965
2024,1001321,"Housing and transportation",0.2483
2024,1001321,"Housing",0.0614
2024,1001321,"Transportation",0.1869
2024,1001325,"Housing and transportation",0.3419
2024,1001325,"Housing",0.151
2024,1001325,"Transportation",0.1909
2024,1001332,"Housing and transportation",0.2354
2024,1001332,"Housing",0.0631
2024,1001332,"Transportation",0.1723
2024,1001335,"Transportation",0.1951
2024,1001339,"Transportation",0.198
2024,1001343,"Transportation",0.1454
2024,1001347,"Transportation",0.1757
2024,1001352,"Transportation",0.1965
2024,1001357,"Transportation",0.1843
2024,1001361,"Transportation",0.1734
2024,1001365,"Housing and transportation",0.3008
2024,1001365,"Housing",0.1273
2024,1001365,"Transportation",0.1734
2024,1001370,"Housing and transportation",0.329
2024,1001370,"Housing",0.1421
2024,1001370,"Transportation",0.1869
2024,1001374,"Housing and transportation",0.2559
2024,1001374,"Housing",0.1249
2024,1001374,"Transportation",0.131
2024,1001375,"Housing and transportation",0.2406
2024,1001375,"Housing",0.0921
2024,1001375,"Transportation",0.1484
2024,1001379,"Housing and transportation",0.2944
2024,1001379,"Housing",0.1102
2024,1001379,"Transportation",0.1843
2024,1001385,"Housing and transportation",0.258
2024,1001385,"Housing",0.0935
2024,1001385,"Transportation",0.1645
2024,1001394,"Transportation",0.1769
2024,1001396,"Housing and transportation",0.2975
2024,1001396,"Housing",0.1307
2024,1001396,"Transportation",0.1669
2024,1001409,"Housing and transportation",0.282
2024,1001409,"Housing",0.1356
2024,1001409,"Transportation",0.1464
2024,1001415,"Transportation",0.1633
2024,1001421,"Transportation",0.1425
2024,1001426,"Transportation",0.1538
2024,1001429,"Housing and transportation",0.3623
2024,1001429,"Housing",0.1877
2024,1001429,"Transportation",0.1746
2024,1001434,"Housing and transportation",0.2611
2024,1001434,"Housing",0.1157
2024,1001434,"Transportation",0.1454
2024,1001437,"Transportation",0.1734
2024,1001441,"Transportation",0.1608
2024,1001446,"Housing and transportation",0.2671
2024,1001446,"Housing",0.0959
2024,1001446,"Transportation",0.1712
2024,1001452,"Transportation",0.1584
2024,1001456,"Transportation",0.1505
2024,1001461,"Transportation",0.1596
2024,1001464,"Housing and transportation",0.3098
2024,1001464,"Housing",0.1242
2024,1001464,"Transportation",0.1855
2024,1001469,"Transportation",0.1361
2024,1001472,"Housing and transportation",0.2705
2024,1001472,"Housing",0.1485
2024,1001472,"Transportation",0.122
2024,1001485,"Housing and transportation",0.2793
2024,1001485,"Housing",0.1664
2024,1001485,"Transportation",0.1129
2024,1001490,"Transportation",0.2823
2024,1001494,"Housing and transportation",0.4384
2024,1001494,"Housing",0.1436
2024,1001494,"Transportation",0.2948
2024,1001504,"Housing and transportation",0.2425
2024,1001504,"Housing",0.1494
2024,1001504,"Transportation",0.0931
2024,1001505,"Housing and transportation",0.2784
2024,1001505,"Housing",0.1506
2024,1001505,"Transportation",0.1279
2024,1001507,"Transportation",0.0923
2024,1001509,"Housing and transportation",0.2466
2024,1001509,"Housing",0.1484
2024,1001509,"Transportation",0.0983
2024,1001511,"Housing and transportation",0.2036
2024,1001511,"Housing",0.1206
2024,1001511,"Transportation",0.0829
2024,1001512,"Transportation",0.1234
2024,1001517,"Housing and transportation",0.2664
2024,1001517,"Housing",0.1708
2024,1001517,"Transportation",0.0956
2024,1001519,"Housing and transportation",0.3132
2024,1001519,"Housing",0.1717
2024,1001519,"Transportation",0.1415
2024,1001542,"Housing and transportation",0.2932
2024,1001542,"Housing",0.1622
2024,1001542,"Transportation",0.131
2024,1001551,"Transportation",0.122
2024,1001557,"Housing and transportation",0.2692
2024,1001557,"Housing",0.163
2024,1001557,"Transportation",0.1061
2024,1001559,"Transportation",0.103
2024,1002001,"Transportation",0.1759
2024,1002002,"Transportation",0.1324
2024,1002005,"Housing and transportation",0.2459
2024,1002005,"Housing",0.0946
2024,1002005,"Transportation",0.1513
2024,1002008,"Transportation",0.1524
2024,1002011,"Transportation",0.1469
2024,1002014,"Transportation",0.2113
2024,1002018,"Housing and transportation",0.2704
2024,1002018,"Housing",0.092
2024,1002018,"Transportation",0.1784
2024,1002019,"Housing and transportation",0.2824
2024,1002019,"Housing",0.1002
2024,1002019,"Transportation",0.1822
2024,1002021,"Transportation",0.1378
2024,1002023,"Transportation",0.1227
2024,1002024,"Housing and transportation",0.3029
2024,1002024,"Housing",0.1353
2024,1002024,"Transportation",0.1677
2024,1002025,"Housing and transportation",0.2348
2024,1002025,"Housing",0.0486
2024,1002025,"Transportation",0.1863
2024,1002031,"Housing and transportation",0.2223
2024,1002031,"Housing",0.0579
2024,1002031,"Transportation",0.1644
2024,1002036,"Transportation",0.1524
2024,1002041,"Transportation",0.1849
