"year","geo","dguid","stir","chn","total","o","om","onm","r","rs","rns","other"
2021,"Canada","1","Total","Total",14745155,9807720,5881675,3926045,4936850,579190,4357660,585
2021,"Canada","1","Total","Household examined for core housing need",14355560,9630390,5745650,3884740,4725165,564345,4160825,0
2021,"Canada","1","Total","In core need",1451025,507855,305710,202145,943170,164100,779070,0
2021,"Canada","1","50% or more","Total",1130460,510560,429205,81355,619890,57175,562715,15
2021,"Canada","1","50% or more","Household examined for core housing need",798660,353525,303975,49550,445135,44895,400235,0
2021,"Canada","1","50% or more","In core need",559090,211920,167595,44320,347165,38105,309065,0
2021,"Newfoundland and Labrador","10","Total","Total",222275,168660,79880,88780,53615,10535,43080,0
2021,"Newfoundland and Labrador","10","Total","Household examined for core housing need",219505,167380,78985,88400,52125,10135,41990,0
2021,"Newfoundland and Labrador","10","Total","In core need",17525,6685,2740,3945,10840,3220,7620,0
2021,"Newfoundland and Labrador","10","50% or more","Total",11070,4590,3525,1065,6480,1730,4750,0
2021,"Newfoundland and Labrador","10","50% or more","Household examined for core housing need",8745,3525,2740,790,5215,1350,3870,0
2021,"Newfoundland and Labrador","10","50% or more","In core need",6435,2090,1385,705,4350,1280,3070,0
2021,"Division No.  1","1001","Total","Total",117120,85825,47985,37835,31300,5835,25460,0
2021,"Division No.  1","1001","Total","Household examined for core housing need",115240,85005,47370,37635,30235,5570,24665,0
2021,"Division No.  1","1001","Total","In core need",9715,3130,1570,1560,6580,1910,4670,0
2021,"Division No.  1","1001","50% or more","Total",7060,3005,2435,570,4050,985,3065,0
2021,"Division No.  1","1001","50% or more","Household examined for core housing need",5465,2305,1890,415,3160,730,2430,0
2021,"Division No.  1","1001","50% or more","In core need",3925,1285,925,365,2645,705,1945,0
2021,"Division No.  1, Subd. V","1001101","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. V","1001101","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. V","1001101","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. V","1001101","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. V","1001101","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. V","1001101","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Portugal Cove South","1001105","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Portugal Cove South","1001105","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Portugal Cove South","1001105","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Portugal Cove South","1001105","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Portugal Cove South","1001105","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Portugal Cove South","1001105","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Trepassey","1001113","Total","Total",205,195,20,175,0,0,0,0
2021,"Trepassey","1001113","Total","Household examined for core housing need",205,195,20,175,0,0,0,0
2021,"Trepassey","1001113","Total","In core need",20,20,0,20,0,0,0,0
2021,"Trepassey","1001113","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Trepassey","1001113","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Trepassey","1001113","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"St. Shott's","1001120","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Shott's","1001120","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Shott's","1001120","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Shott's","1001120","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Shott's","1001120","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Shott's","1001120","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. U","1001124","Total","Total",625,610,250,355,20,0,20,0
2021,"Division No.  1, Subd. U","1001124","Total","Household examined for core housing need",625,605,245,355,20,0,20,0
2021,"Division No.  1, Subd. U","1001124","Total","In core need",25,25,0,0,0,0,0,0
2021,"Division No.  1, Subd. U","1001124","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. U","1001124","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. U","1001124","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"Cape Broyle","1001126","Total","Total",230,215,50,170,15,0,15,0
2021,"Cape Broyle","1001126","Total","Household examined for core housing need",230,215,50,170,0,0,0,0
2021,"Cape Broyle","1001126","Total","In core need",0,0,0,0,0,0,0,0
2021,"Cape Broyle","1001126","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Cape Broyle","1001126","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Cape Broyle","1001126","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"Renews-Cappahayden","1001131","Total","Total",170,160,30,130,0,0,0,0
2021,"Renews-Cappahayden","1001131","Total","Household examined for core housing need",170,160,30,130,0,0,0,0
2021,"Renews-Cappahayden","1001131","Total","In core need",25,25,0,0,0,0,0,0
2021,"Renews-Cappahayden","1001131","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Renews-Cappahayden","1001131","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Renews-Cappahayden","1001131","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"Fermeuse","1001136","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Fermeuse","1001136","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Fermeuse","1001136","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Fermeuse","1001136","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Fermeuse","1001136","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Fermeuse","1001136","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Port Kirwan","1001140","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Port Kirwan","1001140","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Port Kirwan","1001140","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Port Kirwan","1001140","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Port Kirwan","1001140","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Port Kirwan","1001140","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Aquaforte","1001144","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Aquaforte","1001144","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Aquaforte","1001144","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Aquaforte","1001144","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Aquaforte","1001144","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Aquaforte","1001144","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Ferryland","1001149","Total","Total",190,180,45,135,0,0,0,0
2021,"Ferryland","1001149","Total","Household examined for core housing need",190,180,45,135,0,0,0,0
2021,"Ferryland","1001149","Total","In core need",20,0,0,0,0,0,0,0
2021,"Ferryland","1001149","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Ferryland","1001149","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Ferryland","1001149","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. W","1001155","Total","Total",225,210,80,130,0,0,0,0
2021,"Division No.  1, Subd. W","1001155","Total","Household examined for core housing need",220,205,75,130,0,0,0,0
2021,"Division No.  1, Subd. W","1001155","Total","In core need",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. W","1001155","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. W","1001155","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. W","1001155","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"St. Vincent's-St. Stephen's-Peter's River","1001169","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Vincent's-St. Stephen's-Peter's River","1001169","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Vincent's-St. Stephen's-Peter's River","1001169","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Vincent's-St. Stephen's-Peter's River","1001169","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Vincent's-St. Stephen's-Peter's River","1001169","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Vincent's-St. Stephen's-Peter's River","1001169","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Gaskiers-Point La Haye","1001174","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Gaskiers-Point La Haye","1001174","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Gaskiers-Point La Haye","1001174","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Gaskiers-Point La Haye","1001174","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Gaskiers-Point La Haye","1001174","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Gaskiers-Point La Haye","1001174","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Mary's","1001178","Total","Total",155,150,0,135,0,0,0,0
2021,"St. Mary's","1001178","Total","Household examined for core housing need",155,150,0,135,0,0,0,0
2021,"St. Mary's","1001178","Total","In core need",0,0,0,0,0,0,0,0
2021,"St. Mary's","1001178","50% or more","Total",0,0,0,0,0,0,0,0
2021,"St. Mary's","1001178","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"St. Mary's","1001178","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"Riverhead","1001181","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Riverhead","1001181","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Riverhead","1001181","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Riverhead","1001181","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Riverhead","1001181","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Riverhead","1001181","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Admirals Beach","1001186","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Admirals Beach","1001186","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Admirals Beach","1001186","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Admirals Beach","1001186","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Admirals Beach","1001186","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Admirals Beach","1001186","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Joseph's","1001192","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Joseph's","1001192","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Joseph's","1001192","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Joseph's","1001192","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Joseph's","1001192","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Joseph's","1001192","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Mount Carmel-Mitchells Brook-St. Catherine's","1001197","Total","Total",210,200,70,135,10,0,0,0
2021,"Mount Carmel-Mitchells Brook-St. Catherine's","1001197","Total","Household examined for core housing need",205,195,70,130,10,0,0,0
2021,"Mount Carmel-Mitchells Brook-St. Catherine's","1001197","Total","In core need",25,25,25,0,0,0,0,0
2021,"Mount Carmel-Mitchells Brook-St. Catherine's","1001197","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Mount Carmel-Mitchells Brook-St. Catherine's","1001197","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Mount Carmel-Mitchells Brook-St. Catherine's","1001197","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. X","1001203","Total","Total",265,230,65,160,35,0,35,0
2021,"Division No.  1, Subd. X","1001203","Total","Household examined for core housing need",265,230,65,160,35,0,35,0
2021,"Division No.  1, Subd. X","1001203","Total","In core need",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. X","1001203","50% or more","Total",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. X","1001203","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
2021,"Division No.  1, Subd. X","1001203","50% or more","In core need",0,0,0,0,0,0,0,0
2021,"Colinet","1001207","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Colinet","1001207","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Colinet","1001207","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Colinet","1001207","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Colinet","1001207","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Colinet","1001207","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. C","1001214","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. C","1001214","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. C","1001214","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. C","1001214","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. C","1001214","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Division No.  1, Subd. C","1001214","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Branch","1001219","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Branch","1001219","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Branch","1001219","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Branch","1001219","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Branch","1001219","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Branch","1001219","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Point Lance","1001225","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Point Lance","1001225","Total","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Point Lance","1001225","Total","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Point Lance","1001225","50% or more","Total",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Point Lance","1001225","50% or more","Household examined for core housing need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"Point Lance","1001225","50% or more","In core need",NA,NA,NA,NA,NA,NA,NA,NA
2021,"St. Bride's","1001228","Total","Total",175,150,0,140,20,0,0,0
2021,"St. Bride's","1001228","Total","Household examined for core housing need",175,150,0,140,20,0,0,0
2021,"St. Bride's","1001228","Total","In core need",0,0,0,0,0,0,0,0
2021,"St. Bride's","1001228","50% or more","Total",0,0,0,0,0,0,0,0
2021,"St. Bride's","1001228","50% or more","Household examined for core housing need",0,0,0,0,0,0,0,0
