"DGUID","mean_fsi","median_fsi","parcels_low","parcels_mod","parcels_high","dwell_low","dwell_mod","dwell_high","pop_low","pop_mod","pop_high","n_parcels","pct_high","mean_fsi_pctile_national","pct_high_pctile_national"
"1001124",8.81848739495798,5,2872,93,10,1241,41,11,1288,52,8,2975,0.3,35.5,46.2
"1001126",12.9028400597907,10,644,22,3,303,10,1,481,16,2,669,0.4,49.2,48.2
"1001136",16.4131578947368,16,367,8,5,165,3,2,257,5,3,381,1.3,54.9,56.1
"1001140",17.8601398601399,16,134,9,0,50,3,0,47,2,0,143,0,57.5,19.2
"1001144",16.2571428571429,13,163,3,9,61,0,1,71,1,2,175,5.1,54.6,66.9
"1001149",12.8847457627119,10,581,7,2,248,3,1,366,4,1,590,0.3,49.1,46.2
"1001214",63.2553191489362,83,11,5,31,14,8,36,8,6,21,47,66,87.7,90.8
"1001234",45.0932721712538,35.5,316,104,234,228,49,106,175,37,144,654,35.8,80.3,83.8
"1001240",63.3487488121634,77,655,673,1829,314,355,1157,536,640,2113,3157,57.9,87.8,88.8
"1001254",84.4716981132076,88,4,10,251,2,5,129,3,9,214,265,94.7,96.2,96.2
"1001259",38.4761904761905,26,41,9,13,0,0,1,0,0,0,63,20.6,76.9,78.3
"1001263",80.765306122449,87,8,44,340,4,17,146,3,20,162,392,86.7,94.9,94.7
"1001304",29.7897091722595,9,288,39,120,123,20,50,219,36,86,447,26.8,70.8,80.9
"1001308",35.6954436450839,24,227,73,117,95,25,54,215,54,82,417,28.1,75.1,81.4
"1001312",50.1048034934498,60,289,273,354,139,124,163,228,186,232,916,38.6,82.6,84.7
"1001316",52.4221453287197,61,91,74,124,44,31,46,72,45,66,289,42.9,83.6,85.5
"1001321",12.7027027027027,11,254,2,3,169,1,1,225,2,2,259,1.2,48.4,55.7
"1001325",21.6706827309237,20,447,44,7,201,20,3,295,30,5,498,1.4,63.1,56.5
"1001328",29.2592592592593,25,271,53,27,135,24,14,153,32,15,351,7.7,70.4,70.7
"1001332",23.2693661971831,24,410,154,4,207,79,2,312,121,3,568,0.7,64.9,51.7
"1001335",17.8558352402746,18,421,10,6,209,5,3,307,7,4,437,1.4,57.4,56.5
"1001339",9.21212121212121,8,66,0,0,187,0,0,258,0,0,66,0,37.2,19.2
"1001357",10.7387820512821,9,610,14,0,228,5,0,282,6,0,624,0,42.7,19.2
"1001361",20.4246987951807,21,596,64,4,351,39,2,689,70,4,664,0.6,61.4,50.6
"1001365",4.14113389626055,4,1654,3,1,820,2,1,1655,2,1,1658,0.1,14.1,40.3
"1001370",11.0566037735849,9,3414,29,2,2265,20,1,4658,35,2,3445,0.1,43.9,40.3
"1001374",10.1974522292994,6,447,23,1,163,9,1,310,10,1,471,0.2,41.2,43.7
"1001375",12.0439882697947,10,337,4,0,147,2,0,340,3,0,341,0,46.7,19.2
"1001379",13.4659222179438,13,2563,33,1,1453,24,0,2743,37,1,2597,0,50.1,19.2
"1001385",10.6104199066874,8,1262,24,0,660,9,0,1384,17,0,1286,0,42.3,19.2
"1001394",13.4016736401674,11,229,10,0,142,5,0,245,7,0,239,0,50,19.2
"1001396",12.6548314606742,9,2132,90,3,1191,47,1,2520,92,2,2225,0.1,48.2,40.3
"1001409",15.6206968495723,15,4659,126,8,2728,66,3,5839,120,5,4793,0.2,53.6,43.7
"1001415",19.4171428571429,18,916,132,2,409,54,1,786,87,1,1050,0.2,59.9,43.7
"1001421",5.1759410801964,3,1209,13,0,961,6,0,988,7,0,1222,0,20.8,19.2
"1001426",14.8881685575365,14,604,3,10,305,2,5,553,3,9,617,1.6,52.5,57.5
"1001429",17.2322314049587,17,1178,24,8,661,13,4,1365,26,9,1210,0.7,56.5,51.7
"1001434",11.994301994302,12,700,1,1,349,0,0,672,1,1,702,0.1,46.5,40.3
"1001437",11.1417410714286,8.5,883,13,0,421,6,0,691,8,0,896,0,44.2,19.2
"1001441",6.30871212121212,5,514,14,0,271,9,0,347,4,0,528,0,25.9,19.2
"1001446",19.9795918367347,17,740,191,0,396,110,0,587,112,0,931,0,61,19.2
