"geo_level","DGUID","total_parcels","flood_parcels","pct_parcels","total_dwellings","flood_dwellings","pct_dwellings","total_pop","flood_pop","pct_pop"
"CSD","1101002",191,13,6.8,186,13,7,282,17,6
"CSD","1101003",602,23,3.8,364,13,3.6,628,19,3
"CSD","1101004",228,6,2.6,182,5,2.7,337,8,2.4
"CSD","1101005",1189,22,1.9,700,10,1.4,1422,16,1.1
"CSD","1101020",90,0,0,54,0,0,125,0,0
"CSD","1101025",110,0,0,56,0,0,135,0,0
"CSD","1101027",356,7,2,175,4,2.3,376,8,2.1
"CSD","1101030",279,19,6.8,169,13,7.7,223,10,4.5
"CSD","1101033",311,2,0.6,227,1,0.4,379,2,0.5
"CSD","1101035",1646,24,1.5,1030,16,1.6,1766,23,1.3
"CSD","1101036",527,11,2.1,533,8,1.5,1079,15,1.4
"CSD","1101037",787,20,2.5,426,3,0.7,686,7,1
"CSD","1101040",1122,63,5.6,499,6,1.2,687,6,0.9
"CSD","1101043",1239,17,1.4,829,12,1.4,1204,14,1.2
"CSD","1101044",197,0,0,130,0,0,231,0,0
"CSD","1101045",5163,85,1.6,3932,63,1.6,7878,81,1
"CSD","1101048",160,0,0,131,0,0,269,0,0
"CSD","1101050",9,0,0,9,0,0,25,0,0
"CSD","1101052",530,3,0.6,308,2,0.6,575,2,0.3
"CSD","1102002",1545,30,1.9,971,21,2.2,1687,22,1.3
"CSD","1102003",142,0,0,63,0,0,346,0,0
"CSD","1102005",94,0,0,40,0,0,74,0,0
"CSD","1102010",1014,11,1.1,757,9,1.2,1859,22,1.2
"CSD","1102011",141,0,0,91,0,0,220,0,0
"CSD","1102013",166,2,1.2,96,1,1,252,2,0.8
"CSD","1102015",218,2,0.9,172,2,1.2,371,3,0.8
"CSD","1102016",1781,3,0.2,969,1,0.1,2494,4,0.2
"CSD","1102017",3538,20,0.6,2105,11,0.5,4277,16,0.4
"CSD","1102018",1518,8,0.5,962,6,0.6,1559,5,0.3
"CSD","1102019",301,15,5,200,10,5,327,8,2.4
"CSD","1102020",106,0,0,73,0,0,176,0,0
"CSD","1102021",192,0,0,136,0,0,339,0,0
"CSD","1102022",600,0,0,412,0,0,1111,0,0
"CSD","1102030",21,1,4.8,18,1,5.6,47,2,4.3
"CSD","1102032",123,8,6.5,84,4,4.8,139,7,5
"CSD","1102034",178,0,0,158,0,0,361,0,0
"CSD","1102035",75,0,0,45,0,0,99,0,0
"CSD","1102037",369,0,0,271,0,0,614,0,0
"CSD","1102040",675,0,0,501,0,0,1196,0,0
"CSD","1102043",202,0,0,170,0,0,390,0,0
"CSD","1102045",1090,5,0.5,330,3,0.9,359,3,0.8
"CSD","1102046",413,24,5.8,386,14,3.6,648,22,3.4
"CSD","1102050",132,0,0,82,0,0,213,0,0
"CSD","1102051",139,0,0,74,0,0,170,0,0
"CSD","1102055",380,0,0,240,0,0,586,0,0
"CSD","1102057",79,0,0,74,0,0,225,0,0
"CSD","1102059",129,11,8.5,118,10,8.5,226,16,7.1
"CSD","1102061",239,0,0,163,0,0,387,0,0
"CSD","1102064",1792,7,0.4,1169,5,0.4,2307,7,0.3
"CSD","1102066",530,0,0,277,0,0,549,0,0
"CSD","1102067",1822,9,0.5,1358,6,0.4,2500,12,0.5
"CSD","1102068",2502,27,1.1,1774,22,1.2,3473,35,1
"CSD","1102069",189,0,0,135,0,0,337,0,0
"CSD","1102070",194,0,0,141,0,0,374,0,0
"CSD","1102071",1640,42,2.6,1134,27,2.4,1521,17,1.1
"CSD","1102072",103,0,0,66,0,0,157,0,0
"CSD","1102073",891,1,0.1,586,1,0.2,1475,2,0.1
"CSD","1102075",11256,112,1,18362,256,1.4,38804,385,1
"CSD","1102080",3597,1,0,4667,2,0,10927,5,0
"CSD","1102085",2204,3,0.1,2770,2,0.1,6574,6,0.1
"CSD","1103002",590,5,0.8,409,6,1.5,809,8,1
"CSD","1103003",1325,34,2.6,875,27,3.1,1280,16,1.2
