"geo","shelco","total","o","owm","onm","r","rs","rns","x1","x2","x3","x4","x5plus","varid"
1001,"Total",112400,83320,47930,35390,29080,6055,23025,28610,42560,19840,15855,5535,11
1001,"0.5% or under",15550,11680,165,11520,3875,1995,1880,5575,6630,2000,995,350,12
1001,"0.6% to 1.25%",38315,26170,5150,21025,12145,3065,9080,12795,16125,5450,2950,990,13
1001,"1.26% to 2%",33935,23360,20835,2525,10575,845,9725,7265,12355,6850,5575,1885,14
1001,"2.1% to 3%",18535,16395,16110,285,2140,115,2025,2440,5840,4280,4470,1500,15
1001,"3.1% or over",6065,5715,5680,35,350,35,310,540,1610,1255,1865,795,16
1002,"Total",8730,7530,2425,5100,1205,345,860,2030,3835,1530,985,360,11
1002,"0.5% or under",2665,2470,25,2445,195,135,55,810,1255,370,130,90,12
1002,"0.6% to 1.25%",3730,3100,535,2565,630,160,460,905,1765,585,370,105,13
1002,"1.26% to 2%",1605,1245,1175,70,355,45,305,240,585,425,265,90,14
1002,"2.1% to 3%",590,565,550,15,25,0,25,60,195,110,170,45,15
1002,"3.1% or over",155,150,150,0,0,0,0,0,35,50,45,25,16
1003,"Total",6445,5625,1535,4090,815,170,640,1460,3005,1125,645,210,11
1003,"0.5% or under",1880,1820,0,1815,60,0,50,475,1030,225,105,40,12
1003,"0.6% to 1.25%",2855,2435,260,2170,420,130,295,730,1450,405,180,90,13
1003,"1.26% to 2%",1165,855,755,95,310,30,280,210,350,345,200,55,14
1003,"2.1% to 3%",380,350,345,0,30,0,30,25,125,90,125,20,15
1003,"3.1% or over",165,165,165,0,0,0,0,25,50,65,30,0,16
1004,"Total",9320,6860,2695,4170,2460,600,1860,2895,3790,1430,925,285,11
1004,"0.5% or under",975,850,0,850,125,40,80,360,440,120,50,0,12
1004,"0.6% to 1.25%",3185,2720,125,2595,470,265,205,1085,1440,385,190,80,13
1004,"1.26% to 2%",2995,1530,870,660,1465,230,1235,1055,1155,500,215,65,14
1004,"2.1% to 3%",1385,1030,980,50,355,55,300,320,510,220,250,80,15
1004,"3.1% or over",790,740,715,20,50,0,40,80,245,200,220,45,16
1005,"Total",17870,13210,6675,6530,4660,1170,3490,4545,7320,3035,2170,795,11
1005,"0.5% or under",2605,2110,20,2090,500,245,260,850,1285,285,130,55,12
