"dguid","char","period","total","o","om","onm","r","rs","rns"
1001,"Total","Total",116835,85715,47920,37795,31125,5825,25300
1001,"Total","Before 2016",111005,81625,44680,36945,29380,5675,23705
1001,"Total","2016 to 2021",5830,4085,3235,850,1745,145,1600
1001,"1+ person with limitation","Total",14120,9955,7675,2285,4165,515,3645
1001,"1+ person with limitation","Before 2016",13325,9370,7145,2230,3945,515,3430
1001,"1+ person with limitation","2016 to 2021",795,580,530,50,220,0,220
1001,"Veteran in household","Total",5205,4200,2570,1635,1000,145,860
1001,"Veteran in household","Before 2016",4930,3970,2370,1600,965,140,820
1001,"Veteran in household","2016 to 2021",275,235,200,35,40,0,35
1001,"0.5% or under","Total",20370,16580,160,16415,3795,2015,1785
1001,"0.5% or under","Before 2016",19840,16140,145,16000,3700,2000,1700
1001,"0.5% or under","2016 to 2021",530,435,0,420,95,0,80
1001,"0.6% to 1.25%","Total",38285,24090,4750,19345,14195,3120,11075
1001,"0.6% to 1.25%","Before 2016",37100,23580,4595,18990,13525,2995,10535
1001,"0.6% to 1.25%","2016 to 2021",1185,515,150,360,670,130,540
1001,"1.26% to 2%","Total",30910,19890,18095,1800,11015,630,10385
1001,"1.26% to 2%","Before 2016",29190,18940,17200,1735,10255,630,9620
1001,"1.26% to 2%","2016 to 2021",1720,955,890,60,760,0,760
1001,"2.1% to 3%","Total",19950,18165,17980,185,1780,20,1760
1001,"2.1% to 3%","Before 2016",18365,16795,16615,175,1575,20,1555
1001,"2.1% to 3%","2016 to 2021",1580,1375,1370,0,210,0,210
1001,"3.1% or over","Total",7320,6980,6930,50,340,30,310
1001,"3.1% or over","Before 2016",6500,6170,6125,50,330,35,295
1001,"3.1% or over","2016 to 2021",815,805,805,0,10,0,0
1002,"Total","Total",8875,7500,2290,5210,1375,375,1000
1002,"Total","Before 2016",8635,7325,2210,5115,1315,370,945
1002,"Total","2016 to 2021",240,180,80,95,65,0,55
1002,"1+ person with limitation","Total",705,575,280,290,130,25,110
1002,"1+ person with limitation","Before 2016",685,560,280,275,130,25,100
1002,"1+ person with limitation","2016 to 2021",20,20,0,20,0,0,0
1002,"Veteran in household","Total",255,240,80,160,0,0,0
1002,"Veteran in household","Before 2016",235,230,75,155,0,0,0
1002,"Veteran in household","2016 to 2021",15,0,0,0,0,0,0
1002,"0.5% or under","Total",2450,2300,0,2290,155,70,80
1002,"0.5% or under","Before 2016",2400,2245,0,2240,155,70,80
1002,"0.5% or under","2016 to 2021",50,50,0,50,0,0,0
