"geo","dguid","age","disability","value","rate"
"Newfoundland and Labrador",10,"Total","Total population",423010,1
"Newfoundland and Labrador",10,"Total","Total with disability",130690,0.308952507032931
"Newfoundland and Labrador",10,"Total","Mild",48020,0.113519774946219
"Newfoundland and Labrador",10,"Total","Moderate",26420,0.0624571523131841
"Newfoundland and Labrador",10,"Total","Severe",24590,0.0581310134512186
"Newfoundland and Labrador",10,"Total","Very severe",31650,0.0748209262192383
"Newfoundland and Labrador",10,"15-24","Total population",50690,1
"Newfoundland and Labrador",10,"15-24","Total with disability",12970,0.255869007693825
"Newfoundland and Labrador",10,"15-24","Mild",6210,0.122509370684553
"Newfoundland and Labrador",10,"15-24","Moderate",2600,0.0512921680804892
"Newfoundland and Labrador",10,"15-24","Severe",2710,0.053462221345433
"Newfoundland and Labrador",10,"15-24","Very severe",1450,0.0286052475833498
"Newfoundland and Labrador",10,"25-64","Total population",264480,1
"Newfoundland and Labrador",10,"25-64","Total with disability",75820,0.28667574107683
"Newfoundland and Labrador",10,"25-64","Mild",30300,0.11456442831216
"Newfoundland and Labrador",10,"25-64","Moderate",15010,0.0567528735632184
"Newfoundland and Labrador",10,"25-64","Severe",12220,0.0462038717483364
"Newfoundland and Labrador",10,"25-64","Very severe",18290,0.0691545674531155
"Newfoundland and Labrador",10,"25-44","Total population",110330,1
"Newfoundland and Labrador",10,"25-44","Total with disability",28020,0.25396537659748
"Newfoundland and Labrador",10,"25-44","Mild",13670,0.123901024200127
"Newfoundland and Labrador",10,"25-44","Moderate",6530,0.0591860781292486
"Newfoundland and Labrador",10,"25-44","Severe",4200,0.0380676153358107
"Newfoundland and Labrador",10,"25-44","Very severe",3620,0.032810658932294
"Newfoundland and Labrador",10,"45-64","Total population",154150,1
"Newfoundland and Labrador",10,"45-64","Total with disability",47810,0.310152448913396
"Newfoundland and Labrador",10,"45-64","Mild",16640,0.107946805060006
"Newfoundland and Labrador",10,"45-64","Moderate",8470,0.0549464807006163
"Newfoundland and Labrador",10,"45-64","Severe",8020,0.0520272461887772
"Newfoundland and Labrador",10,"45-64","Very severe",14680,0.0952319169639961
"Newfoundland and Labrador",10,"65+","Total population",107850,1
"Newfoundland and Labrador",10,"65+","Total with disability",41900,0.388502549837738
"Newfoundland and Labrador",10,"65+","Mild",11510,0.106722299490032
"Newfoundland and Labrador",10,"65+","Moderate",8810,0.0816875289754288
"Newfoundland and Labrador",10,"65+","Severe",9660,0.0895688456189152
"Newfoundland and Labrador",10,"65+","Very severe",11910,0.110431154381085
"Prince Edward Island",11,"Total","Total population",124420,1
"Prince Edward Island",11,"Total","Total with disability",39550,0.317874939720302
"Prince Edward Island",11,"Total","Mild",15150,0.121764989551519
"Prince Edward Island",11,"Total","Moderate",8030,0.064539463108825
"Prince Edward Island",11,"Total","Severe",8480,0.0681562449766919
"Prince Edward Island",11,"Total","Very severe",7900,0.0634946150136634
"Prince Edward Island",11,"15-24","Total population",18470,1
"Prince Edward Island",11,"15-24","Total with disability",3960,0.214401732539253
"Prince Edward Island",11,"15-24","Mild",1990,0.10774228478614
