"CSDUID","CDUID","PRUID","area_km2","hx_extrapolated","hx30_2025","hx30_2050","hx35_2025","hx35_2050","hx40_2025","hx40_2050","hx30_2025_cd_mean","hx30_2050_cd_mean","hx35_2025_cd_mean","hx35_2050_cd_mean","hx40_2025_cd_mean","hx40_2050_cd_mean","hx30_2025_pr_mean","hx30_2050_pr_mean","hx35_2025_pr_mean","hx35_2050_pr_mean","hx40_2025_pr_mean","hx40_2050_pr_mean","hx30_2025_pctile_national","hx30_2050_pctile_national","hx35_2025_pctile_national","hx35_2050_pctile_national","hx40_2025_pctile_national","hx40_2050_pctile_national"
"1001437","1001","10",27.624432233877,FALSE,3.5,5.5,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,13.2,11.7,12.3,9.6,40.8,27.7
"1001456","1001","10",28.9255185011436,FALSE,5.5,8.5,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,16.5,15.5,12.3,9.6,40.8,27.7
"1001559","1001","10",41.8808798878236,FALSE,4,5.5,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,14.2,11.7,12.3,9.6,40.8,27.7
"1002013","1002","10",33.415166116863,FALSE,0,0,0,0,0,0,2.25518229201995,3.69469872631134,0,0,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,2.5,1.7,12.3,9.6,40.8,27.7
"1002014","1002","10",64.9065486340487,FALSE,0,0,0,0,0,0,2.25518229201995,3.69469872631134,0,0,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,2.5,1.7,12.3,9.6,40.8,27.7
"1001101","1001","10",1307.70556151968,FALSE,2.83333333333333,3.88888888888889,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,11.5,9.3,12.3,9.6,40.8,27.7
"1001105","1001","10",1.31714317242658,FALSE,0,1.5,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,2.5,5.7,12.3,9.6,40.8,27.7
"1001316","1001","10",28.0057688114116,FALSE,0,0,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,2.5,1.7,12.3,9.6,40.8,27.7
"1001113","1001","10",56.7489582370987,FALSE,2,3.5,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,9.7,8.9,12.3,9.6,40.8,27.7
"1001120","1001","10",1.23983737273885,TRUE,3.98936170212766,5.42553191489362,0,0,0,0,3.04069956770827,4.28394506814957,0.00013460707061111,4.50214003520059e-05,0,0,2.62811829584629,4.45098055276115,0.0632272151263735,0.100483587473088,0,0,13.9,11.4,12.3,9.6,40.8,27.7
