"year","geo","dguid","hhsize","hhtype","hh2021","hh2016","medINC2021","medINC2016"
2021,"Canada",1,"Total","Total",14978940,14072075,84000,76000
2021,"Canada",1,"Total","Without children",3837400,3627180,91000,86000
2021,"Canada",1,"Total","With children",3789795,3728380,134000,122000
2021,"Canada",1,"Total","Lone parent",1305500,1250190,68000,56400
2021,"Canada",1,"Total","Non-census",5059850,4552135,45200,41200
2021,"Canada",1,"1 person","Total",4396015,3969790,41600,38000
2021,"Canada",1,"1 person","Without children",0,0,0,0
2021,"Canada",1,"1 person","With children",0,0,0,0
2021,"Canada",1,"1 person","Lone parent",0,0,0,0
2021,"Canada",1,"1 person","Non-census",4396015,3969790,41600,38000
2021,"Canada",1,"2 persons","Total",5124800,4834605,85000,78500
2021,"Canada",1,"2 persons","Without children",3837400,3627180,91000,86000
2021,"Canada",1,"2 persons","With children",0,0,0,0
2021,"Canada",1,"2 persons","Lone parent",774515,744530,64000,55200
2021,"Canada",1,"2 persons","Non-census",512885,462885,72500,63200
2021,"Canada",1,"3 persons","Total",2194825,2140635,111000,100000
2021,"Canada",1,"3 persons","Without children",0,0,0,0
2021,"Canada",1,"3 persons","With children",1466900,1456315,123000,113000
2021,"Canada",1,"3 persons","Lone parent",380520,367225,73500,60400
2021,"Canada",1,"3 persons","Non-census",97290,84020,93000,78500
2021,"Canada",1,"4 persons","Total",2002455,1946280,138000,125000
2021,"Canada",1,"4 persons","Without children",0,0,0,0
2021,"Canada",1,"4 persons","With children",1610625,1589270,144000,131000
2021,"Canada",1,"4 persons","Lone parent",109690,102480,73000,56400
2021,"Canada",1,"4 persons","Non-census",32165,23505,108000,92000
2021,"Canada",1,"5+ persons","Total",1260850,1180770,144000,124000
2021,"Canada",1,"5+ persons","Without children",0,0,0,0
2021,"Canada",1,"5+ persons","With children",712265,682790,135000,120000
2021,"Canada",1,"5+ persons","Lone parent",40780,35945,73500,53200
2021,"Canada",1,"5+ persons","Non-census",21490,11930,138000,107000
2021,"Newfoundland and Labrador",10,"Total","Total",223250,218670,71500,73000
2021,"Newfoundland and Labrador",10,"Total","Without children",71880,70640,76500,75500
2021,"Newfoundland and Labrador",10,"Total","With children",50825,56415,130000,130000
2021,"Newfoundland and Labrador",10,"Total","Lone parent",19915,19230,56000,47200
2021,"Newfoundland and Labrador",10,"Total","Non-census",70405,61160,36400,33600
2021,"Newfoundland and Labrador",10,"1 person","Total",62290,53750,33200,29800
2021,"Newfoundland and Labrador",10,"1 person","Without children",0,0,0,0
2021,"Newfoundland and Labrador",10,"1 person","With children",0,0,0,0
2021,"Newfoundland and Labrador",10,"1 person","Lone parent",0,0,0,0
2021,"Newfoundland and Labrador",10,"1 person","Non-census",62290,53750,33200,29800
2021,"Newfoundland and Labrador",10,"2 persons","Total",90925,88720,72000,70000
2021,"Newfoundland and Labrador",10,"2 persons","Without children",71880,70640,76500,75500
2021,"Newfoundland and Labrador",10,"2 persons","With children",0,0,0,0
2021,"Newfoundland and Labrador",10,"2 persons","Lone parent",12540,12200,54400,47600
2021,"Newfoundland and Labrador",10,"2 persons","Non-census",6505,5875,67000,61600
2021,"Newfoundland and Labrador",10,"3 persons","Total",35080,37700,105000,105000
2021,"Newfoundland and Labrador",10,"3 persons","Without children",0,0,0,0
2021,"Newfoundland and Labrador",10,"3 persons","With children",24680,27400,119000,119000
2021,"Newfoundland and Labrador",10,"3 persons","Lone parent",5640,5375,58800,48400
2021,"Newfoundland and Labrador",10,"3 persons","Non-census",1120,1075,79500,75000
2021,"Newfoundland and Labrador",10,"4 persons","Total",25555,28270,137000,135000
2021,"Newfoundland and Labrador",10,"4 persons","Without children",0,0,0,0
2021,"Newfoundland and Labrador",10,"4 persons","With children",20555,23085,146000,143000
2021,"Newfoundland and Labrador",10,"4 persons","Lone parent",1400,1315,56000,43200
2021,"Newfoundland and Labrador",10,"4 persons","Non-census",350,335,95000,80000
2021,"Newfoundland and Labrador",10,"5+ persons","Total",9400,10235,138000,135000
2021,"Newfoundland and Labrador",10,"5+ persons","Without children",0,0,0,0
2021,"Newfoundland and Labrador",10,"5+ persons","With children",5585,5930,135000,135000
