"geo","hh","income"
2,14687335,84000
10,221830,72000
11,63475,73500
12,421920,71500
13,332185,70500
24,3706610,73000
35,5415420,91000
46,492925,81000
47,414315,84000
48,1588960,96000
59,1988210,86000
60,16475,102000
61,15110,127000
62,9910,118000
1001,116835,79000
1002,8880,60800
1003,5980,60800
1004,9160,51200
1005,17930,67500
1006,16465,67500
1007,14835,60000
1008,15375,57600
1009,6630,65000
1010,8965,118000
1011,780,77500
1101,7505,68000
1102,36650,77500
1103,19325,69500
1201,6450,63200
1202,11105,62800
1203,8040,55600
1204,4975,56800
1205,9710,56800
1206,22260,65500
1207,26860,68000
1208,17560,77500
1209,190355,81000
1210,22525,66000
1211,13945,58400
1212,19455,64000
1213,3555,56000
1214,8525,72500
1215,7375,67000
1216,3945,61200
1217,42230,62400
1218,3050,68500
1301,34480,64000
1302,11485,67500
1303,11145,85000
1304,5095,59600
1305,28230,86000
1306,12850,78000
1307,69625,74000
1308,13150,67500
1309,18955,64500
1310,44430,78000
1311,10780,67000
1312,7770,59600
1313,14615,62800
1314,13915,56800
1315,35670,61200
2401,5815,75500
2402,8300,59600
2403,8020,69500
2404,5390,52800
2405,8120,61600
2406,5985,60800
2407,8125,56800
2408,10290,56000
2409,8325,58000
2410,27025,66000
2411,4170,53200
2412,15935,66000
2413,9030,58000
2414,9145,63600
2415,7105,64500
2416,6105,68000
2417,7980,61200
2418,10635,58000
2419,15590,73500
2420,2895,91000
2421,12950,84000
2422,18270,109000
2423,280125,72000
2425,65530,84000
2426,15135,82000
2427,7955,68500
2428,7505,60800
2429,23790,66000
2430,10025,60800
2431,19895,58800
2432,10330,60800
2433,14315,74000
2434,24515,73000
2435,6405,54400
2436,25020,53600
2437,75000,61600
2438,9010,68000
2439,32640,65000
2440,6600,54400
2441,9575,65500
2442,13355,72000
2443,80130,62800
2444,7665,66500
2445,25410,71500
2446,28890,71500
2447,41195,67000
2448,6485,61600
2449,47845,64000
2450,9970,64500
2451,16915,61200
2452,19245,67000
2453,24600,63600
2454,39110,67500
2455,15390,78500
2456,52230,75500
2457,52535,1e+05
2458,186700,79500
2459,31705,98000
2460,51435,88000
2461,32155,64500
2462,25975,61600
2463,23655,74000
2464,65115,94000
2465,169240,85000
2466,902485,67000
2467,72450,92000
2468,11495,81000
2469,9380,62400
2470,30955,66500
2471,63105,93000
2472,41210,85000
2473,65185,91000
2474,24550,90000
2475,61275,73000
2476,16000,62800
2477,23465,73000
2478,24855,63200
2479,17675,56400
2480,11365,62800
2481,126075,82000
2482,20865,111000
2483,9245,59200
2484,6475,60800
2485,6765,66000
2486,19215,76000
2487,9105,67500
2488,10695,76000
2489,19175,74500
2490,5910,60400
2491,13340,65000
2492,10795,64500
2493,23285,69500
2494,77285,70500
2495,4870,60400
2496,12930,74500
2497,15330,87000
2498,3790,81000
2499,10475,88000
3501,47425,73000
3502,37705,96000
3506,404915,103000
3507,43860,82000
3509,31320,88000
3510,69345,82000
3511,17520,85000
3512,59290,75000
3513,11015,82000
3514,36385,84000
3515,60235,79000
3516,31795,82000
3518,241425,108000
3519,388830,112000
3520,1151800,85000
3521,448490,108000
3522,22805,109000
3523,89945,97000
3524,207675,121000
3525,221115,86000
3526,194175,79500
3528,44955,85000
3529,55385,85000
3530,220645,93000
3531,31040,83000
3532,46345,87000
3534,36295,82000
3536,42760,71000
3537,164320,82000
3538,52820,83000
3539,201310,80000
3540,23535,77500
3541,28945,87000
3542,40495,78000
3543,200540,93000
3544,28310,83000
3546,9640,74000
3547,43990,81000
3548,36225,73000
3549,20185,73500
3551,4105,69500
3552,9495,77000
3553,71160,85000
3554,13800,70500
3556,32625,79000
3557,50115,71000
3558,62990,80000
3559,7395,81000
3560,18940,89000
4601,8385,73500
4602,27740,87000
4603,19165,75500
4604,2950,67500
4605,4940,68500
4606,3165,75500
4607,27885,79500
4608,3380,68500
4609,8360,73500
4610,3880,127000
4611,301040,80000
4612,9080,102000
4613,19470,1e+05
4614,6765,95000
4615,7950,73000
4616,3215,66500
4617,8340,61200
4618,9295,66500
4619,1120,62800
4620,3770,61600
4621,6530,88000
4622,5415,95000
4623,1075,90000
4701,11145,89000
4702,8405,79500
4703,4185,67500
4704,3365,66000
4705,11450,77500
4706,108290,90000
4707,19070,75000
4708,11600,78500
4709,13885,68500
4710,5430,62800
4711,127070,88000
4712,7795,83000
4713,7210,82000
4714,12980,69500
4715,30590,80000
4716,12015,70500
4717,13895,84000
4718,5935,83000
4801,33075,80000
4802,64730,85000
4803,11315,76000
4804,2910,72500
4805,17910,82000
4806,599605,101000
4807,14210,81000
4808,80310,87000
4809,6865,83000
4810,35345,83000
4811,558715,96000
4812,22810,95000
4813,24780,84000
4814,11150,98000
4815,15000,95000
4816,26005,184000
4817,15765,92000
4818,4255,98000
4819,44205,102000
5901,27755,89000
5903,27605,68500
5905,14975,71500
5907,38585,70500
5909,112345,87000
5915,1033410,90000
5917,181670,85000
5919,35730,80000
5921,74490,76000
5923,13820,69000
5924,20530,75500
5926,31490,77500
5927,9660,63600
5929,14530,75000
5931,18735,102000
5933,55990,82000
5935,87355,87000
5937,36075,79000
5939,23830,77500
5941,26185,72500
5943,4330,69500
5945,675,62000
5947,6775,88000
5949,12775,91000
5951,13780,88000
5953,39785,90000
5955,23420,98000
5957,230,61600
5959,1680,83000
6001,16475,102000
6101,2285,1e+05
6102,815,113000
6103,715,116000
6104,1060,85000
6105,2500,118000
6106,7730,147000
6204,5520,123000
6205,2715,114000
6208,1675,104000
1001101,NA,NA
1001105,NA,NA
1001113,205,65000
1001120,NA,NA
1001124,630,76500
1001126,235,64500
1001131,165,55600
1001136,NA,NA
1001140,NA,NA
1001144,NA,NA
1001149,190,67500
1001155,225,48800
1001169,NA,NA
1001174,NA,NA
1001178,150,52400
1001181,NA,NA
1001186,NA,NA
1001192,NA,NA
1001197,210,56000
1001203,260,65000
1001207,NA,NA
1001214,NA,NA
1001219,NA,NA
1001225,NA,NA
1001228,175,71000
1001234,170,72500
1001240,1545,56800
1001254,NA,NA
1001259,315,57600
1001263,NA,NA
1001267,135,71500
1001270,430,71500
1001274,NA,NA
1001277,210,56000
1001281,NA,NA
1001285,285,65000
1001289,215,69000
1001293,535,68500
1001298,415,62000
1001304,1255,59600
1001308,135,92000
1001312,320,52800
1001316,NA,NA
1001321,230,53200
1001325,170,50800
1001328,NA,NA
1001332,210,58800
1001335,175,65000
1001339,830,56400
1001343,255,62800
1001347,165,62000
1001352,210,49200
1001357,170,64500
1001361,340,62400
1001365,705,60000
1001370,2075,54800
1001374,130,98000
1001375,140,71500
1001379,1300,60800
1001385,580,65500
1001391,NA,NA
1001394,NA,NA
1001396,1110,64000
1001405,NA,NA
1001409,2490,73000
1001415,370,71500
1001421,530,77000
1001426,260,62400
1001429,590,62000
1001434,285,87000
1001437,355,52400
1001441,165,81000
1001446,325,62800
1001452,410,62800
1001456,285,69500
1001461,290,63200
1001464,270,68000
1001469,470,77000
1001472,990,86000
1001485,10670,94000
1001490,170,34400
1001494,950,38000
1001504,3160,113000
1001505,820,83000
1001507,655,123000
1001509,2970,107000
1001511,895,129000
1001512,145,83000
1001517,8800,111000
1001519,49075,75500
1001542,9915,81000
1001551,410,76500
1001557,585,1e+05
1001559,610,106000
1001565,NA,NA
1002001,NA,NA
1002002,245,1e+05
1002005,1020,68500
1002006,NA,NA
1002008,485,59600
1002009,NA,NA
1002011,240,68000
1002012,NA,NA
1002013,NA,NA
1002014,NA,NA
1002015,NA,NA
1002016,NA,NA
1002017,NA,NA
1002018,620,56800
1002019,1020,56000
1002021,255,79000
1002022,NA,NA
1002023,155,86000
1002024,2325,59200
1002025,125,76500
1002026,NA,NA
1002027,NA,NA
1002029,NA,NA
1002030,NA,NA
1002031,230,55600
1002033,NA,NA
1002034,NA,NA
1002036,195,65000
1002037,NA,NA
1002039,NA,NA
1002040,NA,NA
1002041,215,48400
1002044,NA,NA
1002048,260,61600
1002055,NA,NA
1003001,NA,NA
1003002,NA,NA
1003003,270,60800
1003004,150,39600
1003005,NA,NA
1003006,NA,NA
1003008,630,69000
1003009,NA,NA
1003010,NA,NA
1003011,190,73500
1003012,NA,NA
1003014,NA,NA
1003018,345,57200
1003019,560,55600
1003020,NA,NA
1003021,NA,NA
1003024,NA,NA
1003026,205,36800
1003028,570,51200
1003031,255,76500
1003032,240,60000
1003033,215,83000
1003034,1680,61600
1003038,NA,NA
1003042,NA,NA
1003045,175,60400
1004001,740,54000
1004006,555,52400
1004011,320,40800
1004013,525,59600
1004016,590,49200
1004017,NA,NA
1004018,750,47600
1004019,3185,50000
1004020,760,83000
1004021,205,43600
1004022,705,39200
1004033,380,43600
1004037,220,47600
1004042,195,59200
1005001,130,73500
1005003,220,52800
1005004,2140,63200
1005005,145,64000
1005006,NA,NA
1005007,NA,NA
1005008,190,61600
1005009,235,73000
1005010,295,99000
1005011,175,94000
1005012,1495,84000
1005014,205,67000
1005015,215,84000
1005016,NA,NA
1005017,625,107000
1005018,8860,63600
1005019,NA,NA
1005020,690,68000
1005022,240,59200
1005023,300,52000
1005024,230,48000
1005025,215,68500
1005028,NA,NA
1005030,495,71500
1005033,275,85000
1005035,175,54400
1006001,280,71500
1006003,335,54000
1006008,NA,NA
1006009,5055,80000
1006011,275,78000
1006012,330,69000
1006014,135,84000
1006015,200,67000
1006017,6120,66000
1006019,1425,59600
1006021,275,51200
1006022,1250,53600
1006026,295,62000
1006028,NA,NA
1006029,NA,NA
1006031,330,42800
1007001,870,58000
1007006,525,63600
1007009,510,59600
1007013,2800,72500
1007014,285,51600
1007015,NA,NA
1007016,165,74000
1007018,NA,NA
1007020,165,61600
1007022,775,51600
1007023,1460,58000
1007024,155,43600
1007025,NA,NA
1007026,NA,NA
1007027,NA,NA
1007028,410,58000
