"DGUID","SOURCE","POP15","PERC","MEDIAN","VARID"
1,"Total income",29241810,96.4,41200,1
1,"Market income",26045500,85.9,35200,2
1,"Employment income",21127610,69.6,37200,3
1,"Wages, salaries and commissions",19389945,63.9,40000,4
1,"Net self-employment income",3236185,10.7,4480,5
1,"Investment income",9272280,30.6,624,6
1,"Private retirement income",4831555,15.9,18200,7
1,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",5949005,19.6,7650,10
1,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",7522055,24.8,8100,13
1,"Employment Insurance (EI) benefits",3185835,10.5,5720,17
1,"Child benefits",3884720,12.8,5840,20
1,"Other government transfers",22776595,75.1,1960,23
10,"Total income",420110,96.8,36800,1
10,"Market income",344460,79.4,30400,2
10,"Employment income",281445,64.9,31600,3
10,"Wages, salaries and commissions",265500,61.2,32800,4
10,"Net self-employment income",29050,6.7,6400,5
10,"Investment income",69950,16.1,488,6
10,"Private retirement income",74895,17.3,18800,7
10,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",111205,25.6,7700,10
10,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",150750,34.7,6800,13
10,"Employment Insurance (EI) benefits",94175,21.7,9000,17
10,"Child benefits",50235,11.6,4680,20
10,"Other government transfers",266250,61.4,2580,23
1001,"Total income",221700,96.7,40000,1
1001,"Market income",189175,82.5,34800,2
1001,"Employment income",155955,68,36400,3
1001,"Wages, salaries and commissions",148095,64.6,37600,4
1001,"Net self-employment income",15365,6.7,5600,5
1001,"Investment income",42305,18.5,552,6
1001,"Private retirement income",40525,17.7,21200,7
1001,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",50830,22.2,7650,10
1001,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",70445,30.7,7500,13
1001,"Employment Insurance (EI) benefits",38640,16.9,6900,17
1001,"Child benefits",27655,12.1,4240,20
1001,"Other government transfers",135725,59.2,2820,23
1001101,"Total income",NA,NA,NA,1
1001101,"Market income",NA,NA,NA,2
1001101,"Employment income",NA,NA,NA,3
1001101,"Wages, salaries and commissions",NA,NA,NA,4
1001101,"Net self-employment income",NA,NA,NA,5
1001101,"Investment income",NA,NA,NA,6
1001101,"Private retirement income",NA,NA,NA,7
1001101,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",NA,NA,NA,10
1001101,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",NA,NA,NA,13
1001101,"Employment Insurance (EI) benefits",NA,NA,NA,17
1001101,"Child benefits",NA,NA,NA,20
1001101,"Other government transfers",NA,NA,NA,23
1001105,"Total income",NA,NA,NA,1
1001105,"Market income",NA,NA,NA,2
1001105,"Employment income",NA,NA,NA,3
1001105,"Wages, salaries and commissions",NA,NA,NA,4
1001105,"Net self-employment income",NA,NA,NA,5
1001105,"Investment income",NA,NA,NA,6
1001105,"Private retirement income",NA,NA,NA,7
1001105,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",NA,NA,NA,10
1001105,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",NA,NA,NA,13
1001105,"Employment Insurance (EI) benefits",NA,NA,NA,17
1001105,"Child benefits",NA,NA,NA,20
1001105,"Other government transfers",NA,NA,NA,23
1001113,"Total income",380,100,29400,1
1001113,"Market income",270,71.1,23800,2
1001113,"Employment income",170,44.7,29600,3
1001113,"Wages, salaries and commissions",150,39.5,31200,4
1001113,"Net self-employment income",25,6.6,15000,5
1001113,"Investment income",80,21.1,340,6
1001113,"Private retirement income",110,28.9,13900,7
1001113,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",185,48.7,7700,10
1001113,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",245,64.5,6450,13
1001113,"Employment Insurance (EI) benefits",85,22.4,11900,17
1001113,"Child benefits",20,5.3,NA,20
1001113,"Other government transfers",265,69.7,2000,23
1001120,"Total income",NA,NA,NA,1
1001120,"Market income",NA,NA,NA,2
1001120,"Employment income",NA,NA,NA,3
1001120,"Wages, salaries and commissions",NA,NA,NA,4
1001120,"Net self-employment income",NA,NA,NA,5
1001120,"Investment income",NA,NA,NA,6
1001120,"Private retirement income",NA,NA,NA,7
1001120,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",NA,NA,NA,10
1001120,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",NA,NA,NA,13
1001120,"Employment Insurance (EI) benefits",NA,NA,NA,17
1001120,"Child benefits",NA,NA,NA,20
1001120,"Other government transfers",NA,NA,NA,23
1001124,"Total income",1195,98,37600,1
1001124,"Market income",985,80.7,30000,2
1001124,"Employment income",830,68,30800,3
1001124,"Wages, salaries and commissions",760,62.3,34000,4
1001124,"Net self-employment income",100,8.2,9300,5
1001124,"Investment income",175,14.3,400,6
1001124,"Private retirement income",215,17.6,19400,7
1001124,"Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS)",325,26.6,7700,10
