"geo","lower_bound","upper_bound","total","1per","2per","3per","4per","5per","geo_source"
1,NA,NA,14919695,4355860,5113305,2190195,2000125,1260210,NA
1,0,25000,1292835,1077185,149410,39375,18240,8625,NA
1,0,5000,105765,75135,19835,5950,3095,1750,NA
1,5000,9999,91855,67400,15985,4875,2410,1190,NA
1,10000,14999,176500,144280,21700,6440,2875,1200,NA
1,15000,19999,274430,224830,34255,9295,4185,1865,NA
1,20000,24999,644275,565535,57635,12815,5670,2625,NA
1,25000,49999,2683020,1535700,861770,175925,75555,34075,NA
1,25000,29999,504150,396930,76310,19905,7405,3600,NA
1,30000,34999,488375,308065,136900,28520,10460,4435,NA
1,35000,39999,559995,290945,213350,34795,14770,6135,NA
1,40000,44999,572430,279690,221790,42635,19755,8550,NA
1,45000,49999,558070,260070,213410,50075,23155,11360,NA
1,50000,74999,2637090,893400,1126195,329485,182010,105995,NA
1,50000,54999,554300,229795,223590,57465,28145,15300,NA
1,55000,59999,539850,200580,226750,61845,32525,18150,NA
1,60000,64999,527035,174575,228035,66650,36405,21370,NA
1,65000,69999,516650,154075,227720,69880,40660,24305,NA
1,70000,74999,499255,134375,220100,73640,44275,26865,NA
1,75000,99999,2254760,445440,990990,387650,267320,163365,NA
1,75000,79999,485575,117275,216395,75520,47455,28920,NA
1,80000,84999,469210,100860,207580,77605,51720,31445,NA
1,85000,89999,452625,87600,199990,78065,53885,33090,NA
1,90000,94999,430300,74465,188295,77865,55565,34110,NA
1,95000,99999,417050,65235,178725,78595,58695,35800,NA
1,1e+05,124999,1752810,193735,713255,358925,303160,183735,NA
1,1e+05,104999,393665,56265,165765,76005,59730,35895,NA
1,105000,109999,370190,44000,153440,75330,60625,36790,NA
1,110000,114999,351115,36745,143465,72375,61185,37340,NA
1,115000,119999,328950,30740,130650,69230,61255,37075,NA
1,120000,124999,308900,25985,119935,65980,60370,36630,NA
1,125000,149999,1280925,83745,455565,282655,284725,174225,NA
1,125000,129999,288500,22300,108220,61705,60130,36140,NA
1,130000,134999,272295,18900,99120,60215,58710,35355,NA
1,135000,139999,255160,16090,91060,56395,56515,35105,NA
1,140000,144999,240985,14085,82665,54155,55575,34505,NA
1,145000,149999,223985,12380,74500,50185,53795,33115,NA
1,150000,Inf,3018255,126655,816115,616180,869120,590185,NA
12,NA,NA,427935,131680,166385,61690,45685,22500,NA
12,0,25000,47900,40100,5565,1345,620,265,NA
12,0,5000,4355,3010,775,330,165,75,NA
12,5000,9999,2735,1955,540,135,65,30,NA
12,10000,14999,8635,7750,630,170,65,20,NA
12,15000,19999,7850,5860,1485,285,150,65,NA
12,20000,24999,24320,21520,2140,420,165,80,NA
12,25000,49999,93105,49810,33570,6340,2420,965,NA
12,25000,29999,16620,12830,2705,770,230,85,NA
12,30000,34999,17985,10325,6205,925,395,140,NA
12,35000,39999,19730,9480,8500,1190,450,120,NA
12,40000,44999,19865,8990,8415,1580,590,290,NA
12,45000,49999,18905,8185,7745,1890,750,330,NA
12,50000,74999,84655,24150,41580,10890,5255,2780,NA
12,50000,54999,18200,6685,8280,2015,835,395,NA
12,55000,59999,17290,5460,8245,2030,1035,520,NA
12,60000,64999,17015,4610,8585,2125,1065,630,NA
12,65000,69999,16450,4040,8485,2275,1090,565,NA
12,70000,74999,15700,3350,7990,2450,1230,675,NA
12,75000,99999,66595,10870,33225,12245,6905,3360,NA
12,75000,79999,14440,2900,7335,2440,1145,615,NA
12,80000,84999,14280,2680,7210,2440,1315,640,NA
12,85000,89999,13230,2120,6555,2575,1335,655,NA
12,90000,94999,12765,1665,6360,2600,1455,685,NA
12,95000,99999,11885,1505,5755,2195,1660,765,NA
12,1e+05,124999,46910,3580,21820,10480,7375,3650,NA
12,1e+05,104999,10955,1000,5405,2305,1540,710,NA
12,105000,109999,9545,870,4470,2000,1450,750,NA
12,110000,114999,9380,630,4350,2195,1515,695,NA
12,115000,119999,8650,565,3855,1975,1485,765,NA
12,120000,124999,8375,515,3740,2005,1380,730,NA
12,125000,149999,31720,1330,12710,7725,6920,3040,NA
12,125000,129999,7070,295,2985,1860,1295,635,NA
12,130000,134999,6685,330,2845,1430,1505,575,NA
12,135000,139999,6460,270,2590,1615,1325,660,NA
12,140000,144999,5845,195,2215,1405,1420,595,NA
12,145000,149999,5660,240,2075,1415,1365,565,NA
12,150000,Inf,57040,1845,17915,12655,16185,8445,NA
1201,NA,NA,6465,2110,2780,815,510,250,NA
1201,0,25000,855,745,75,20,0,0,NA
1201,0,5000,40,40,0,0,0,0,NA
1201,5000,9999,40,30,0,0,0,0,NA
1201,10000,14999,125,110,0,0,0,0,NA
1201,15000,19999,130,95,25,0,0,0,NA
1201,20000,24999,520,470,30,0,0,0,NA
1201,25000,49999,1700,815,750,110,20,0,NA
1201,25000,29999,260,175,70,0,0,0,NA
1201,30000,34999,345,165,165,15,0,0,NA
1201,35000,39999,365,150,195,10,0,0,NA
1201,40000,44999,415,180,190,40,0,0,NA
1201,45000,49999,320,145,140,25,0,0,NA
1201,50000,74999,1225,310,680,135,80,30,NA
1201,50000,54999,300,110,140,25,25,0,NA
1201,55000,59999,225,65,115,20,0,0,NA
1201,60000,64999,255,65,155,25,0,0,NA
1201,65000,69999,200,40,120,30,0,0,NA
1201,70000,74999,250,25,145,30,30,0,NA
1201,75000,99999,1080,150,635,175,75,45,NA
1201,75000,79999,265,40,185,30,0,0,NA
1201,80000,84999,170,30,95,30,0,0,NA
1201,85000,89999,250,40,125,50,0,30,NA
1201,90000,94999,235,20,140,40,25,0,NA
1201,95000,99999,165,25,90,30,20,0,NA
1201,1e+05,124999,740,45,345,165,125,60,NA
1201,1e+05,104999,155,0,75,40,20,0,NA
1201,105000,109999,125,15,60,15,15,15,NA
1201,110000,114999,175,0,85,40,35,0,NA
1201,115000,119999,165,0,85,40,25,0,NA
1201,120000,124999,115,0,45,25,30,0,NA
1201,125000,149999,405,40,135,85,110,35,NA
1201,125000,129999,85,0,40,20,20,0,NA
1201,130000,134999,105,0,45,20,15,20,NA
1201,135000,139999,95,0,20,30,25,0,NA
1201,140000,144999,75,0,20,0,35,0,NA
1201,145000,149999,50,0,0,0,15,0,NA
1201,150000,Inf,470,0,165,135,90,75,NA
1202,NA,NA,11210,3475,4525,1550,1140,520,NA
1202,0,25000,1490,1320,140,10,0,0,NA
1202,0,5000,65,55,10,0,0,0,NA
1202,5000,9999,60,45,0,0,0,0,NA
1202,10000,14999,220,205,0,0,0,0,NA
1202,15000,19999,265,195,60,0,0,0,NA
1202,20000,24999,885,825,55,0,0,0,NA
1202,25000,49999,2925,1395,1250,180,75,20,NA
1202,25000,29999,450,350,55,35,0,0,NA
1202,30000,34999,645,305,310,25,0,0,NA
1202,35000,39999,700,275,370,35,0,0,NA
1202,40000,44999,570,250,250,20,35,0,NA
1202,45000,49999,560,215,265,65,15,0,NA
1202,50000,74999,2265,475,1220,310,165,95,NA
1202,50000,54999,475,165,200,75,15,0,NA
1202,55000,59999,465,100,245,55,25,35,NA
1202,60000,64999,440,50,265,55,50,0,NA
1202,65000,69999,445,85,255,65,40,0,NA
1202,70000,74999,445,75,255,50,35,25,NA
1202,75000,99999,1655,160,890,340,190,80,NA
1202,75000,79999,320,35,205,50,25,0,NA
1202,80000,84999,330,40,190,40,40,20,NA
1202,85000,89999,325,30,125,100,65,0,NA
1202,90000,94999,345,40,190,60,40,15,NA
1202,95000,99999,335,20,180,90,30,20,NA
1202,1e+05,124999,1125,70,490,285,180,100,NA
1202,1e+05,104999,295,20,130,90,45,0,NA
1202,105000,109999,185,0,115,35,15,15,NA
1202,110000,114999,210,0,95,65,45,0,NA
1202,115000,119999,210,20,65,50,45,25,NA
1202,120000,124999,220,20,90,40,30,45,NA
1202,125000,149999,700,35,210,175,205,75,NA
1202,125000,129999,195,0,55,55,55,25,NA
1202,130000,134999,125,0,40,30,25,0,NA
1202,135000,139999,145,0,30,30,55,20,NA
1202,140000,144999,120,0,30,40,40,0,NA
1202,145000,149999,110,0,50,20,25,0,NA
1202,150000,Inf,1040,20,320,250,310,145,NA
1203,NA,NA,8115,2720,3460,1050,595,285,NA
1203,0,25000,1190,1070,80,20,0,0,NA
1203,0,5000,60,45,0,0,0,0,NA
1203,5000,9999,90,80,0,0,0,0,NA
1203,10000,14999,180,170,15,0,0,0,NA
1203,15000,19999,150,125,20,0,0,0,NA
1203,20000,24999,720,660,40,15,0,0,NA
1203,25000,49999,2440,1100,1115,155,60,10,NA
1203,25000,29999,430,335,75,20,0,0,NA
1203,30000,34999,565,240,280,25,15,0,NA
1203,35000,39999,515,180,290,40,0,0,NA
1203,40000,44999,545,190,290,45,15,0,NA
1203,45000,49999,385,150,180,35,15,0,NA
1203,50000,74999,1790,365,1000,275,95,65,NA
1203,50000,54999,350,105,190,35,10,0,NA
1203,55000,59999,410,110,210,70,0,0,NA
1203,60000,64999,405,70,240,45,35,20,NA
