"dguid","var","1per","2per","3per","4per","5per"
1001178,"mbm",22740,32160,39390,45480,50850
1001178,"living_income",41010,58000,71040,82030,91710
1001240,"mbm",24170,34180,41860,48330,54040
1001240,"living_income",43490,61500,75320,86970,97240
1001270,"mbm",23200,32800,40180,46390,51870
1001270,"living_income",42210,59700,73110,84420,94390
1001304,"mbm",23700,33510,41040,47390,52990
1001304,"living_income",42730,60430,74020,85470,95550
1001308,"mbm",22740,32150,39380,45470,50840
1001308,"living_income",41390,58540,71700,82790,92560
1001321,"mbm",22490,31800,38950,44980,50290
1001321,"living_income",40740,57610,70560,81470,91090
1001325,"mbm",26790,37890,46400,53580,59910
1001325,"living_income",47580,67290,82420,95170,106400
1001332,"mbm",22250,31470,38550,44510,49760
1001332,"living_income",40470,57240,70100,80940,90500
1001365,"mbm",25300,35780,43820,50600,56570
1001365,"living_income",45330,64100,78510,90660,101360
1001370,"mbm",26290,37170,45530,52570,58780
1001370,"living_income",46810,66190,81070,93610,104660
1001374,"mbm",24270,34330,42040,48550,54280
1001374,"living_income",44010,62230,76220,88010,98400
1001375,"mbm",23100,32670,40020,46210,51660
1001375,"living_income",42010,59410,72760,84020,93930
1001379,"mbm",24730,34970,42830,49460,55300
1001379,"living_income",44340,62700,76790,88670,99140
1001385,"mbm",23520,33260,40730,47030,52580
1001385,"living_income",42550,60170,73690,85090,95140
1001396,"mbm",25320,35810,43850,50640,56610
1001396,"living_income",45410,64220,78650,90820,101540
1001409,"mbm",25110,35510,43490,50220,56140
1001409,"living_income",45230,63960,78330,90450,101130
1001429,"mbm",28170,39830,48790,56330,62980
1001429,"living_income",49900,70570,86430,99810,111590
1001434,"mbm",24150,34150,41830,48300,54000
1001434,"living_income",43700,61800,75690,87400,97720
1001446,"mbm",23770,33620,41180,47550,53160
1001446,"living_income",42910,60680,74320,85820,95950
1001464,"mbm",25410,35940,44020,50830,56830
1001464,"living_income",45420,64240,78670,90840,101570
1001472,"mbm",25190,35620,43630,50380,56330
1001472,"living_income",45540,64400,78870,91070,101820
1001485,"mbm",25840,36540,44750,51670,57770
1001485,"living_income",46640,65960,80780,93280,104290
1001494,"mbm",28680,40560,49670,57360,64130
1001494,"living_income",49830,70470,86300,99660,111420
1001504,"mbm",24610,34800,42630,49220,55030
1001504,"living_income",44830,63390,77640,89650,100230
1001505,"mbm",25420,35940,44020,50830,56830
1001505,"living_income",45850,64850,79420,91710,102530
1001509,"mbm",24680,34900,42740,49350,55170
1001509,"living_income",44890,63480,77750,89780,100380
1001511,"mbm",23040,32580,39900,46070,51510
1001511,"living_income",42380,59940,73410,84770,94780
1001517,"mbm",25670,36300,44460,51340,57400
1001517,"living_income",46500,65760,80540,93000,103980
1001519,"mbm",26700,37760,46250,53400,59710
1001519,"living_income",47810,67610,82810,95620,106900
1001542,"mbm",26030,36810,45080,52060,58200
1001542,"living_income",46810,66200,81080,93620,104670
1001557,"mbm",25530,36100,44220,51060,57090
1001557,"living_income",46200,65330,80020,92400,103300
1002005,"mbm",23280,32930,40330,46570,52070
1002005,"living_income",42270,59780,73220,84550,94530
1002018,"mbm",23750,33580,41130,47490,53100
1002018,"living_income",42810,60540,74150,85620,95720
1002019,"mbm",24210,34240,41940,48430,54140
1002019,"living_income",43530,61560,75390,87060,97330
1002024,"mbm",25550,36140,44260,51100,57140
1002024,"living_income",45780,64740,79290,91550,102360
1002025,"mbm",21870,30930,37890,43750,48910
1002025,"living_income",39760,56230,68860,79520,88900
1002031,"mbm",21840,30890,37830,43680,48830
1002031,"living_income",39870,56380,69050,79740,89150
1003008,"mbm",21640,30610,37480,43280,48390
1003008,"living_income",40300,57000,69810,80610,90120
1003026,"mbm",21930,31010,37980,43860,49040
1003026,"living_income",40510,57290,70170,81020,90590
1003031,"mbm",19840,28060,34370,39680,44370
1003031,"living_income",37420,52920,64820,74850,83680
1003033,"mbm",19710,27870,34140,39420,44070
1003033,"living_income",37260,52690,64530,74520,83310
1003034,"mbm",22080,31220,38240,44160,49370
1003034,"living_income",40920,57880,70880,81850,91510
1003045,"mbm",21310,30140,36920,42630,47660
1003045,"living_income",39570,55960,68540,79150,88490
1004006,"mbm",23090,32660,40000,46190,51640
1004006,"living_income",41570,58790,72010,83150,92960
1004013,"mbm",23640,33430,40940,47280,52860
1004013,"living_income",42620,60280,73820,85240,95300
1004016,"mbm",25850,36560,44780,51700,57800
1004016,"living_income",45930,64950,79550,91860,102700
1004018,"mbm",26580,37590,46040,53160,59440
1004018,"living_income",47080,66590,81550,94170,105280
1004019,"mbm",28330,40070,49080,56670,63360
1004019,"living_income",49970,70670,86560,99950,111740
1004020,"mbm",25480,36040,44140,50970,56980
1004020,"living_income",46000,65050,79670,92000,102860
1004022,"mbm",24240,34280,41990,48480,54210
1004022,"living_income",43150,61020,74740,86300,96480
1005001,"mbm",21800,30820,37750,43590,48740
1005001,"living_income",39770,56240,68880,79540,88920
1005004,"mbm",26370,37290,45670,52740,58970
1005004,"living_income",47250,66820,81830,94490,105650
1005005,"mbm",21940,31030,38000,43880,49060
1005005,"living_income",40010,56580,69300,80020,89470
1005012,"mbm",25090,35490,43460,50180,56110
1005012,"living_income",45470,64310,78760,90950,101680
1005014,"mbm",25930,36680,44920,51870,57990
1005014,"living_income",46560,65850,80650,93130,104120
1005017,"mbm",25500,36060,44170,51000,57020
1005017,"living_income",46320,65500,80230,92640,103570
1005018,"mbm",26550,37540,45980,53090,59360
1005018,"living_income",47550,67240,82350,95090,106320
1005020,"mbm",22870,32340,39610,45740,51140
1005020,"living_income",41780,59080,72360,83560,93420
1005035,"mbm",22260,31480,38560,44520,49780
1005035,"living_income",40760,57650,70600,81520,91150
1006009,"mbm",25920,36650,44890,51830,57950
1006009,"living_income",46770,66140,81010,93540,104580
1006015,"mbm",21400,30260,37060,42790,47840
1006015,"living_income",39440,55780,68310,78880,88190
1006017,"mbm",26030,36810,45080,52050,58200
1006017,"living_income",46770,66140,81000,93540,104580
1006019,"mbm",25760,36440,44630,51530,57610
1006019,"living_income",46240,65390,80090,92480,103390
1006021,"mbm",26020,36790,45060,52030,58170
1006021,"living_income",46460,65700,80470,92910,103880
1006022,"mbm",26650,37690,46160,53300,59590
1006022,"living_income",47560,67260,82370,95120,106340
1007001,"mbm",23720,33550,41090,47450,53050
1007001,"living_income",42230,59720,73140,84450,94420
1007006,"mbm",23880,33770,41360,47760,53400
1007006,"living_income",42650,60320,73870,85300,95370
1007009,"mbm",27190,38450,47090,54380,60800
1007009,"living_income",47870,67700,82910,95740,107040
1007013,"mbm",27380,38720,47430,54760,61230
1007013,"living_income",48420,68480,83870,96850,108280
1007022,"mbm",26500,37480,45910,53010,59260
1007022,"living_income",46470,65710,80480,92930,103900
1007023,"mbm",26200,37050,45380,52400,58580
1007023,"living_income",46060,65130,79770,92110,102990
1007028,"mbm",23960,33890,41500,47920,53580
1007028,"living_income",42310,59830,73280,84610,94600
1007031,"mbm",23570,33340,40830,47150,52710
1007031,"living_income",42050,59460,72830,84090,94020
1007044,"mbm",26260,37140,45480,52520,58720
1007044,"living_income",46420,65640,80400,92840,103790
1007047,"mbm",26460,37420,45830,52920,59160
1007047,"living_income",46610,65910,80730,93220,104220
1007054,"mbm",23290,32940,40340,46580,52080
1007054,"living_income",41770,59080,72350,83550,93410
1007060,"mbm",24240,34280,41990,48480,54210
1007060,"living_income",43340,61290,75070,86680,96910
1008008,"mbm",22290,31520,38610,44580,49840
1008008,"living_income",40540,57340,70220,81090,90660
1008031,"mbm",22470,31770,38910,44930,50240
1008031,"living_income",40810,57710,70680,81610,91250
1008035,"mbm",24220,34250,41950,48430,54150
1008035,"living_income",43740,61860,75770,87490,97810
1008039,"mbm",22420,31710,38840,44850,50140
1008039,"living_income",40880,57810,70800,81760,91410
1008040,"mbm",21760,30770,37680,43510,48650
1008040,"living_income",39950,56500,69200,79910,89340
1008044,"mbm",25840,36540,44760,51680,57780
1008044,"living_income",46440,65680,80440,92890,103850
1008054,"mbm",22640,32020,39210,45280,50620
1008054,"living_income",41470,58650,71830,82940,92730
1008061,"mbm",24250,34300,42010,48510,54230
1008061,"living_income",43860,62020,75960,87710,98070
1008065,"mbm",21810,30840,37770,43610,48760
1008065,"living_income",39790,56280,68920,79590,88980
1008074,"mbm",21390,30250,37050,42780,47830
1008074,"living_income",39290,55560,68050,78580,87850
1008079,"mbm",23040,32580,39910,46080,51520
1008079,"living_income",42150,59610,73010,84300,94260
1008095,"mbm",21070,29800,36500,42140,47120
1008095,"living_income",39010,55170,67570,78020,87230
1008099,"mbm",22130,31300,38330,44260,49490
1008099,"living_income",40540,57330,70220,81080,90650
1009023,"mbm",21360,30210,37000,42720,47760
1009023,"living_income",39420,55750,68290,78850,88160
1009029,"mbm",23240,32860,40250,46480,51960
1009029,"living_income",42360,59900,73360,84710,94710
1010002,"mbm",20380,28820,35300,40760,45570
1010002,"living_income",37910,53610,65660,75820,84760
1010022,"mbm",21140,29900,36620,42280,47270
1010022,"living_income",39180,55400,67860,78350,87600
1010025,"mbm",23620,33400,40910,47240,52810
1010025,"living_income",43230,61140,74880,86470,96670
1010032,"mbm",21550,30480,37330,43100,48190
1010032,"living_income",40120,56740,69490,80240,89710
1010034,"mbm",21460,30350,37170,42920,47990
1010034,"living_income",39990,56550,69260,79980,89420
1011030,"mbm",21970,31070,38060,43940,49130
1011030,"living_income",40250,56920,69710,80500,90000
1011035,"mbm",20250,28640,35080,40510,45290
1011035,"living_income",37710,53340,65320,75430,84330
1101035,"mbm",24340,34430,42170,48690,54440
1101035,"living_income",38480,54420,66650,76960,86040
