"munic","pr","scoremat","scoresoc","scoremat_can","scoresoc_can","scoremat_pr","scoresoc_pr"
1001101,"10",0.0990377659308528,-0.143785186063167,5,1,5,1
1001105,"10",0.101257123912468,-0.0154274037240503,5,2,5,4
1001113,"10",0.0888643581663172,-0.0337927204749922,5,1,4,3
1001120,"10",0.114426471888903,-0.0711438304782573,5,1,5,1
1001124,"10",0.0118903028647462,-0.00369683579477786,3,3,1,5
1001126,"10",0.0382912533897686,-0.0148002725028197,4,2,2,4
1001131,"10",0.0338581683646975,-0.0314833596001294,4,1,2,3
1001136,"10",0.0455198284949646,0.00339471256925256,4,4,3,5
1001140,"10",0,0,2,3,1,5
1001144,"10",0,0,2,3,1,5
1001149,"10",0.0825363296906592,-0.0187405583245277,5,2,4,4
1001155,"10",0.0184134828031334,-0.0131894384778834,3,2,1,4
1001169,"10",0.0763058869310129,-0.0179873439265855,5,2,4,4
1001174,"10",0.068879087343472,-0.0420913824470398,5,1,4,2
1001178,"10",0.0273169112173799,-0.0317140504685104,4,1,2,3
1001181,"10",0.0371858009589757,-0.0175822283860815,4,2,2,4
1001186,"10",0.0954687143048482,-0.0976245009182241,5,1,5,1
1001192,"10",0.0570282854221008,-0.0612556857151128,4,1,3,2
1001197,"10",-0.00493629020661894,-0.0143065624341376,2,2,1,4
1001203,"10",0.0256715986592696,-0.00164696114945626,4,3,2,5
1001207,"10",0.0529608245997943,-0.0748632807286483,4,1,3,1
1001214,"10",0.0269921448241469,-0.0323578862601403,4,1,2,3
1001219,"10",0.116146442864565,-0.0369007529814272,5,1,5,2
1001225,"10",0.0826982950056791,-0.0443891344763596,5,1,4,2
1001228,"10",0.0503094677986184,-0.0344465450207245,4,1,3,3
1001234,"10",0.00621272117226245,-0.0158082764083323,3,2,1,4
1001240,"10",0.0179270357379977,-0.00673869368092492,3,3,1,5
1001254,"10",0.0638094627110299,-0.0176387145905543,5,2,3,4
1001259,"10",0.0324794794287157,-0.0441650486769917,4,1,2,2
1001263,"10",0.034465845161479,-0.00914828031072955,4,3,2,4
1001267,"10",0.051353363283455,-0.0464689192808136,4,1,3,2
1001270,"10",0.0339864723363143,-0.00839677474672857,4,3,2,4
