Name of Operating Agency,Housing/Shelter/Program Name,Ownership-Type,Housing-Type,Service/Support Model,Affordability Metric,Tenure-Model,Populations/Client Groups Served,# of beds,# of units,Studio,1-bed,2-bed,3-bed,4+-bed,County,Location (by community),CSD code,Referral Method
King's Square Non-Profit Housing Corp,Martha Place,Non-Profit,Affordable (Non-Market),Independent,Subsidized market rental,"Long-term, rental/tenancy",General population,,60,,,,,,Queens,Charlottetown,1102075,Self-referral
King's Square Non-Profit Housing Corp,Bills Lane Rentals,Non-Profit,Affordable (Non-Market),Independent,Subsidized market rental,"Long-term, rental/tenancy",General population,,30,,,,,,Queens,Charlottetown,1102075,Self-referral
King's Square Non-Profit Housing Corp,Martha Lane Rentals,Non-Profit,Affordable (Non-Market),Independent,Subsidized market rental,"Long-term, rental/tenancy",General population,,46,,,,,,Queens,Cornwall,1102085,Self-referral
Boys & Girls Club Prince County,Life House,Non-Profit,Affordable (Non-Market),,Rent Geared to Income (RGI),"Long-term, rental/tenancy",,,24,,6,15,3,,Prince,Summerside,1103025,
Boys & Girls Club Prince County,Life House,Non-Profit,Transitional,Supportive (on-site supports),Rent Geared to Income (RGI),"Short-term, rental/tenancy",,,10,,,8,2,,Prince,Summerside,1103025,
Boys & Girls Club Prince County,Life House,Non-Profit,Transitional,,Rent Geared to Income (RGI),"Short-term, rental/tenancy",,,1,,,1,,,Prince,Summerside,1103025,
Boys & Girls Club Prince County,Life House,Non-Profit,Emergency Shelter,,N/A (shelter - no cost),Short-term,,8,,,,,,,Prince,Summerside,1103025,
John Howard Society ,230 Richmond Street Supportive Housing,Provincial Government,Supportive,,,,,,8,,,,,,Queens,Charlottetown,1102075,
Department of Social Development & Seniors,Beach Grove Supportive Housing,Provincial Government,Supportive,,,,,,20,,,,,,Queens,Charlottetown,1102075,
Salvation Army,New Roots,Provincial Government,Transitional,Supportive (on-site supports),,"Short-term, program-specific",,18,,,,,,,Queens,Charlottetown,1102075,
Salvation Army,Bedford MacDonald House,Non-Profit,Emergency Shelter,,N/A (shelter - no cost),Short-term,Men + Male-Identifying (18+),10,,,,,,,Queens,Charlottetown,1102075,Self-referral
Equality Project,Weymouth Street Housing First Supportive Housing,Provincial Government,Supportive,,,,,,13,,,,,,Queens,Charlottetown,1102075,
Canadian Mental Health Association,CMHA Alberton,Non-Profit,Supportive,,Rent Geared to Income (RGI),,,,10,,,,,,Prince,Alberton,1103052,
Canadian Mental Health Association,CMHA 203 Fitzroy,Non-Profit,Supportive,,Rent Geared to Income (RGI),,,,28,,,,,,Queens,Charlottetown,1102075,
Canadian Mental Health Association,CMHA 40 Kent Street,Non-Profit,Supportive,,Rent Geared to Income (RGI),,,,30,,,,,,Queens,Charlottetown,1102075,
PEI Family Violence Prevention Services,Anderson House,Non-Profit,Emergency Shelter,Supportive (on-site supports),N/A (shelter - no cost),Short-term,Fleeing domestic violence,18,,,,,,,Queens,Charlottetown,1102075,Self-referral
PEI Family Violence Prevention Services,Anderson House,Non-Profit,Affordable (Non-Market),,Rent Geared to Income (RGI),"Long-term, rental/tenancy",Fleeing domestic violence,,9,,4,4,1,,Queens,Charlottetown,1102075,"Internal, program-based"
PEI Family Violence Prevention Services,Anderson House,Non-Profit,Transitional,Supportive (on-site supports),Rent Geared to Income (RGI),"Short-term, program-specific",Fleeing domestic violence,,7,,1,6,,,Queens,Charlottetown,1102075,"Internal, program-based"
PEI Family Violence Prevention Services,Anderson House,Provincial Government,Transitional,Supportive (on-site supports),Rent Geared to Income (RGI),"Short-term, program-specific",Fleeing domestic violence,,1,,,1,,,Kings,Montague,1101045,"Internal, program-based"
PEI Family Violence Prevention Services,Anderson House,Provincial Government,Transitional,Supportive (on-site supports),Rent Geared to Income (RGI),"Short-term, program-specific",Fleeing domestic violence,,1,,,,1,,Prince,Summerside,1103025,"Internal, program-based"
PEI Family Violence Prevention Services,Anderson House,Non-Profit,Transitional,Supportive (on-site supports),Subsidized market rental,"Short-term, program-specific",Fleeing domestic violence,,2,,,,2,,Prince,O’Leary,1103042,"Internal, program-based"
Blooming House Women's Shelter Inc.,Blooming House,Non-Profit,Emergency Shelter,Supportive (on-site supports),N/A (shelter - no cost),Short-term,Women + Female-Indentifying (18+),8,,,,,,,Queens,Charlottetown,1102075,Self-referral
Chief Mary Bernard Memorial Women's Shelter,Chief Mary Bernard Memorial Women's Shelter,Non-Profit,Emergency Shelter,Supportive (on-site supports),N/A (shelter - no cost),Short-term,Women & Children,5,,,,,,,Prince,Lennox Island,1103035,Self-referral
Native Council of PEI,Affordable Housing Initiative,First Nation/Indigenous Housing Provider*,Affordable (Non-Market),,Low-End of Market,"Long-term, rental/tenancy",,,,,1,,1,,Queens,Charlottetown,1102075,Self-referral
Native Council of PEI,Nanegkam Housing,First Nation/Indigenous Housing Provider*,Affordable (Non-Market),,Rent Geared to Income (RGI),"Long-term, rental/tenancy",,,56,,,,,,,,#N/A,
Native Council of PEI,Winter Street Men's Shelter,First Nation/Indigenous Housing Provider*,Emergency Shelter,Supportive (on-site supports),N/A (shelter - no cost),Short-term,Men + Male-Identifying (18+),,,,,,,,Prince,Summerside,1103025,Self-referral
