"ref_date","geo","dguid","building_type","total"
2018,"Abbotsford, City, British Columbia","5909052","Apartment",471
2018,"Abbotsford, City, British Columbia","5909052","Mobile",11
2018,"Abbotsford, City, British Columbia","5909052","Row",397
2018,"Abbotsford, City, British Columbia","5909052","Single",95
2018,"Abercorn, Village, Quebec","2446005","Single",0
2018,"Aberdeen No. 373, Rural municipality, Saskatchewan","4715018","Mobile",1
2018,"Aberdeen No. 373, Rural municipality, Saskatchewan","4715018","Single",5
2018,"Acton Vale, Ville, Quebec","2448028","Apartment",0
2018,"Acton Vale, Ville, Quebec","2448028","Duplex",0
2018,"Acton Vale, Ville, Quebec","2448028","Single",0
2018,"Addington Highlands, Township, Ontario","3511035","Cottage",3
2018,"Addington Highlands, Township, Ontario","3511035","Single",3
2018,"Adelaide-Metcalfe, Township, Ontario","3539047","Single",2
2018,"Adjala-Tosorontio, Township, Ontario","3543003","Apartment",0
2018,"Adjala-Tosorontio, Township, Ontario","3543003","Single",0
2018,"Admaston/Bromley, Township, Ontario","3547043","Single",8
2018,"Adstock, Municipalité, Quebec","2431056","Cottage",0
2018,"Adstock, Municipalité, Quebec","2431056","Single",0
2018,"Air Ronge, Northern village, Saskatchewan","4718042","Apartment",0
2018,"Air Ronge, Northern village, Saskatchewan","4718042","Single",0
2018,"Airdrie, City, Alberta","4806021","Apartment",107
2018,"Airdrie, City, Alberta","4806021","Row",149
2018,"Airdrie, City, Alberta","4806021","Single",450
2018,"Ajax, Town, Ontario","3518005","Apartment",293
2018,"Ajax, Town, Ontario","3518005","Duplex",14
2018,"Ajax, Town, Ontario","3518005","Row",224
2018,"Ajax, Town, Ontario","3518005","Single",71
2018,"Albanel, Municipalité, Quebec","2492030","Single",3
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","Apartment",0
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","Cottage",4
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","Mobile",3
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","Single",35
2018,"Alberta","48","Apartment",10379
2018,"Alberta","48","Cottage",49
2018,"Alberta","48","Duplex",2858
2018,"Alberta","48","Mobile",180
2018,"Alberta","48","Row",3867
2018,"Alberta","48","Single",11342
2018,"Alberta Beach, Village, Alberta","4813012","Row",1
2018,"Alberta Beach, Village, Alberta","4813012","Single",3
2018,"Alberton, Town, Prince Edward Island","1103052","Apartment",2
2018,"Alberton, Town, Prince Edward Island","1103052","Mobile",1
2018,"Alfred and Plantagenet, Township, Ontario","3502023","Cottage",0
2018,"Alfred and Plantagenet, Township, Ontario","3502023","Duplex",0
2018,"Alfred and Plantagenet, Township, Ontario","3502023","Single",0
2018,"Algonquin Highlands, Township, Ontario","3546018","Apartment",1
2018,"Algonquin Highlands, Township, Ontario","3546018","Cottage",8
2018,"Algonquin Highlands, Township, Ontario","3546018","Single",20
2018,"Alix, Village, Alberta","4808034","Apartment",1
2018,"Alix, Village, Alberta","4808034","Single",1
2018,"Allan, Town, Saskatchewan","4711072","Single",1
