"CSDUID","CDUID","PRUID","area_km2","precip_extrapolated","r20mm_2025","r20mm_2050","cdd_2025","cdd_2050","r1mm_2025","r1mm_2050","sdii_2025","sdii_2050","r95days_2025","r95days_2050","r99days_2025","r99days_2050","r20mm_2025_cd_mean","r20mm_2050_cd_mean","cdd_2025_cd_mean","cdd_2050_cd_mean","r1mm_2025_cd_mean","r1mm_2050_cd_mean","sdii_2025_cd_mean","sdii_2050_cd_mean","r95days_2025_cd_mean","r95days_2050_cd_mean","r99days_2025_cd_mean","r99days_2050_cd_mean","r20mm_2025_pr_mean","r20mm_2050_pr_mean","cdd_2025_pr_mean","cdd_2050_pr_mean","r1mm_2025_pr_mean","r1mm_2050_pr_mean","sdii_2025_pr_mean","sdii_2050_pr_mean","r95days_2025_pr_mean","r95days_2050_pr_mean","r99days_2025_pr_mean","r99days_2050_pr_mean","r20mm_2025_pctile_national","r20mm_2050_pctile_national","cdd_2025_pctile_national","cdd_2050_pctile_national","r1mm_2025_pctile_national","r1mm_2050_pctile_national","sdii_2025_pctile_national","sdii_2050_pctile_national","r95days_2025_pctile_national","r95days_2050_pctile_national","r99days_2025_pctile_national","r99days_2050_pctile_national"
"1001437","1001","10",27.624432233877,FALSE,13,14.6666666666667,10,9.66666666666667,172,168.333333333333,7.83667755126953,8.1079641977946,9,11,2.33333333333333,2.66666666666667,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,90.3,91.3,3.9,2.9,94.1,90.9,89.2,88.9,83.9,93.8,99.4,89.3
"1001456","1001","10",28.9255185011436,FALSE,13.75,15.25,9.75,9.75,173.25,168.5,7.96687078475952,8.31074166297913,9.25,11,2.5,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,91.4,92.5,1.3,3.2,95.2,91.3,90.3,90.5,89.5,93.8,99.8,96.5
"1001559","1001","10",41.8808798878236,FALSE,17,18,10.75,9.75,165.5,165,8.6888153553009,9.1104793548584,8.75,10.25,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,95.6,95.6,9.8,3.2,86.9,85.8,94.4,94.9,77.7,87.3,88.3,96.5
"1002013","1002","10",33.415166116863,FALSE,15.75,16.5,11,11.75,170.5,164.5,8.69917917251587,9.13587403297424,9,11,2,3,14.6402057534145,15.077862516189,10.4581833244233,10.411179656022,170.52346846836,166.318330551648,8.34441854803654,8.48423635127618,9.38258009016932,10.6496358970444,2.02877387969644,2.73435571402751,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,94.3,94.2,12,21.7,92.7,84.7,94.5,94.9,83.9,93.8,88.3,96.5
"1002014","1002","10",64.9065486340487,FALSE,15.8333333333333,15.8333333333333,10.3333333333333,11.3333333333333,171.833333333333,165.166666666667,8.47488832473755,8.97407786051432,9,10.1666666666667,2,3,14.6402057534145,15.077862516189,10.4581833244233,10.411179656022,170.52346846836,166.318330551648,8.34441854803654,8.48423635127618,9.38258009016932,10.6496358970444,2.02877387969644,2.73435571402751,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,94.4,93.2,7.6,17.7,93.9,86.2,93.5,94.3,83.9,86.1,88.3,96.5
"1001101","1001","10",1307.70556151968,FALSE,17.0645161290323,17,9.96774193548387,9.64516129032258,168.193548387097,165.41935483871,8.70736186735092,9.1313508864372,8.80645161290323,10.0645161290323,2,2.64516129032258,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,95.8,94.7,1.8,2.7,89.8,86.7,94.5,94.9,78.5,85,88.3,88.9
"1001105","1001","10",1.31714317242658,FALSE,17,17,10,10,165.5,164.5,8.74336767196655,9.17484474182129,8.5,10,2,2.5,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,95.6,94.7,3.9,5.1,86.9,84.7,94.7,95,74.5,82,88.3,86.8
"1001316","1001","10",28.0057688114116,FALSE,12.75,12.75,10,9,171.25,166.5,7.71889901161194,7.98885941505432,9.75,10.5,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,89.7,88.2,3.9,0.7,93.5,88.5,88.1,88,94.9,89.6,88.3,96.5
"1001113","1001","10",56.7489582370987,FALSE,16.75,17,10,9.25,166.75,163.75,8.62435221672058,9.13758587837219,9,10,2,2.5,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,95.3,94.7,3.9,1.5,88.1,83.6,94.2,94.9,83.9,82,88.3,86.8
"1001120","1001","10",1.23983737273885,FALSE,16,16.5,10,11,168,163,8.62019968032837,9.0223560333252,9,9.5,2,2.5,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,94.7,94.2,3.9,13.2,89.4,82.4,94.2,94.5,83.9,72.2,88.3,86.8
