"ref_date","geo","dguid","work_type","building_type","total"
2018,"Abbotsford, City, British Columbia","5909052","New construction","Apartment",174540800
2018,"Abbotsford, City, British Columbia","5909052","New construction","Duplex",1241700
2018,"Abbotsford, City, British Columbia","5909052","New construction","Mobile",4170300
2018,"Abbotsford, City, British Columbia","5909052","New construction","Row",82588800
2018,"Abbotsford, City, British Columbia","5909052","New construction","Single",98314600
2018,"Abercorn, Village, Quebec","2446005","New construction","Single",0
2018,"Aberdeen No. 373, Rural municipality, Saskatchewan","4715018","New construction","Mobile",994500
2018,"Aberdeen No. 373, Rural municipality, Saskatchewan","4715018","New construction","Single",2187600
2018,"Aberdeen, Town, Saskatchewan","4715019","New construction","Single",391600
2018,"Acme, Village, Alberta","4805044","New construction","Single",28100
2018,"Acton Vale, Ville, Quebec","2448028","New construction","Apartment",0
2018,"Acton Vale, Ville, Quebec","2448028","New construction","Duplex",0
2018,"Acton Vale, Ville, Quebec","2448028","New construction","Single",0
2018,"Addington Highlands, Township, Ontario","3511035","New construction","Cottage",812300
2018,"Addington Highlands, Township, Ontario","3511035","New construction","Duplex",49500
2018,"Addington Highlands, Township, Ontario","3511035","New construction","Single",1199500
2018,"Adelaide-Metcalfe, Township, Ontario","3539047","New construction","Single",1860200
2018,"Adjala-Tosorontio, Township, Ontario","3543003","New construction","Mobile",0
2018,"Adjala-Tosorontio, Township, Ontario","3543003","New construction","Single",0
2018,"Admaston/Bromley, Township, Ontario","3547043","New construction","Single",2769300
2018,"Adstock, Municipalité, Quebec","2431056","New construction","Cottage",0
2018,"Adstock, Municipalité, Quebec","2431056","New construction","Single",0
2018,"Air Ronge, Northern village, Saskatchewan","4718042","New construction","Single",0
2018,"Airdrie, City, Alberta","4806021","New construction","Apartment",32477400
2018,"Airdrie, City, Alberta","4806021","New construction","Duplex",7590800
2018,"Airdrie, City, Alberta","4806021","New construction","Row",37697100
2018,"Airdrie, City, Alberta","4806021","New construction","Single",134759500
2018,"Ajax, Town, Ontario","3518005","New construction","Apartment",28530800
2018,"Ajax, Town, Ontario","3518005","New construction","Duplex",9734100
2018,"Ajax, Town, Ontario","3518005","New construction","Row",58150300
2018,"Ajax, Town, Ontario","3518005","New construction","Single",63645100
2018,"Albanel, Municipalité, Quebec","2492030","New construction","Apartment",6400
2018,"Albanel, Municipalité, Quebec","2492030","New construction","Single",1014900
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","New construction","Apartment",93400
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","New construction","Cottage",424400
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","New construction","Duplex",28900
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","New construction","Mobile",1002100
2018,"Alberni-Clayoquot B, Regional district electoral area, British Columbia","5923033","New construction","Single",7857300
2018,"Alberta","48","New construction","Apartment",3025321700
2018,"Alberta","48","New construction","Cottage",10441500
2018,"Alberta","48","New construction","Duplex",650257900
2018,"Alberta","48","New construction","Mobile",48954400
2018,"Alberta","48","New construction","Row",947239700
2018,"Alberta","48","New construction","Single",4487946500
2018,"Alberta","48","Renovations","Apartment",2032894300
2018,"Alberta","48","Renovations","Cottage",7086400
2018,"Alberta","48","Renovations","Duplex",47089100
2018,"Alberta","48","Renovations","Mobile",1374000
2018,"Alberta","48","Renovations","Row",212968400
2018,"Alberta","48","Renovations","Single",3929875400
2018,"Alberta","48","Renovations","Small project",317858600
