"dguid","price","beds","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
11,"median","0",55000,64500,82500,78500,NA,295250,104950,79750,159000,83000
11,"median","1",127250,115500,92000,110000,140500,142000,206500,205000,239950,199000
11,"median","2",155000,155000,162000,173000,202000,255000,270000,253000,279000,270000
11,"median","3",180000,216500,226500,264450,310000,339000,399000,405000,395000,4e+05
11,"median","Total",170000,199000,215250,252000,295000,325000,372000,380000,375000,375000
1101,"median","2",142500,162500,143750,166500,231000,244500,262500,242500,269000,257705
1101,"median","3",174500,233000,205000,245000,293000,340000,385000,390000,399750,363000
1101,"median","Total",168000,226000,185000,226000,263000,320000,355000,369000,365000,315000
1101,"median","1",NA,142500,79000,85000,112000,109500,351000,NA,190000,188500
1101,"median","0",NA,NA,62500,NA,NA,NA,104950,NA,NA,NA
1102,"median","0",55000,85000,138500,78500,NA,325500,75000,NA,NA,NA
1102,"median","1",127250,115000,132500,134500,157500,179500,233250,245000,250000,238000
1102,"median","2",163500,170000,175000,222700,224500,279900,293900,282500,3e+05,305000
1102,"median","3",190000,225000,246000,290000,320000,359000,430000,429000,420000,425000
1102,"median","Total",180500,217900,239000,280000,315000,339000,405000,416100,399000,410850
1103,"median","2",117000,118000,105000,119500,175000,195250,250000,243500,259900,222250
1103,"median","3",146250,165000,164500,192500,254500,280000,336250,339444,350000,363000
1103,"median","Total",140000,155000,159000,182000,230000,267500,317500,309450,330500,333000
1103,"median","0",NA,64500,77500,NA,NA,265000,129900,79750,159000,83000
1103,"median","1",NA,80000,85000,89000,135000,118000,152500,157500,125000,168950
1101002,"median","1",NA,160000,NA,NA,NA,NA,NA,NA,NA,NA
1101002,"median","3",NA,179950,177950,NA,385000,407450,4e+05,279500,390000,252500
1101002,"median","Total",NA,179900,177950,NA,300450,332000,362500,250000,360000,252500
1101002,"median","2",NA,NA,NA,NA,215900,137500,320000,164000,267500,NA
1101003,"median","3",2e+05,321000,217350,169000,293000,293500,402500,420000,412750,390000
1101003,"median","Total",2e+05,321000,210000,169000,238500,287000,350000,420000,412750,3e+05
1101003,"median","2",NA,NA,176000,NA,203500,225000,280000,NA,NA,210000
1101003,"median","1",NA,NA,NA,NA,60000,NA,NA,NA,NA,NA
1101004,"median","3",77829,220000,151000,230000,250000,427500,344500,293750,287500,420000
1101004,"median","Total",77829,220000,151000,230000,250000,427500,344500,293750,287500,420000
1101005,"median","2",155000,NA,127500,150000,82500,221000,NA,282500,530000,287000
1101005,"median","3",234900,235000,171000,226000,270000,303500,310000,369000,303500,432500
1101005,"median","Total",194950,235000,154000,214000,257750,265000,310000,342000,332000,389500
1101005,"median","1",NA,NA,NA,59900,NA,155000,NA,NA,NA,NA
1101020,"median","2",NA,154900,NA,NA,NA,NA,NA,NA,332000,NA
1101020,"median","Total",NA,154900,NA,NA,NA,NA,480000,NA,332000,NA
1101020,"median","3",NA,NA,NA,NA,NA,NA,480000,NA,NA,NA
1101025,"median","3",NA,266250,251950,NA,NA,284500,NA,161500,NA,292950
1101025,"median","Total",NA,266250,259000,NA,NA,284500,NA,161500,NA,292950
1101025,"median","2",NA,NA,259000,NA,NA,NA,NA,NA,NA,NA
1101027,"median","2",NA,172000,87000,93000,295000,117250,NA,NA,NA,234000
1101027,"median","Total",NA,172000,198500,317000,272500,218000,282500,332500,220000,193950
1101027,"median","3",NA,NA,212000,348500,238000,565000,282500,332500,220000,179900
1101030,"median","3",NA,NA,337500,NA,467450,281250,280000,697500,438250,248000
1101030,"median","Total",NA,NA,337500,340000,467450,222500,280000,697500,438250,248000
1101030,"median","2",NA,NA,NA,340000,NA,NA,NA,NA,NA,280000
1101030,"median","1",NA,NA,NA,NA,NA,109000,NA,NA,NA,NA
1101033,"median","2",245000,160000,282000,132000,NA,NA,270000,240000,521000,550000
1101033,"median","3",83000,298750,236500,211250,235000,346750,395000,455000,460000,395250
1101033,"median","Total",164000,270000,241000,190000,235000,346750,341500,447500,490500,405500
1101035,"median","2",144750,NA,237000,222000,261000,219000,285000,432500,340000,NA
1101035,"median","3",257000,250500,223000,295500,321997.5,345500,439500,459500,409000,525000
1101035,"median","Total",207000,250500,229500,294950,320000,339000,432500,459500,409000,525000
1101036,"median","3",NA,259500,210500,277000,323250,569500,472500,391250,320000,240000
1101036,"median","Total",NA,259500,210500,248500,323250,569500,420000,391250,320000,230000
1101036,"median","1",NA,NA,NA,85000,NA,NA,NA,NA,NA,NA
1101036,"median","2",NA,NA,NA,191000,NA,363500,204000,NA,NA,220000
1101037,"median","2",145750,222900,NA,174500,110000,232250,NA,485000,265000,150000
1101037,"median","3",348750,184950,240000,340000,245000,255000,365000,280000,360000,531000
1101037,"median","Total",203500,195000,240000,275000,230000,255000,365000,382500,312500,445500
1101040,"median","3",277500,265000,231250,341000,390000,574000,495000,495000,530000,4e+05
1101040,"median","Total",277500,262000,227000,333000,380000,574000,473500,495000,517500,4e+05
1101040,"median","1",NA,170000,NA,NA,NA,NA,312000,NA,NA,NA
1101040,"median","2",NA,259000,165000,226000,240500,265000,220000,NA,322000,NA
1101043,"median","2",130000,165000,NA,NA,262500,263900,295000,NA,172000,257410
1101043,"median","Total",130000,183000,142000,166000,288650,271950,382500,270000,420000,275000
1101043,"median","1",NA,125000,NA,NA,NA,NA,NA,NA,NA,NA
1101043,"median","3",NA,198000,142000,166000,293075,280000,420000,270000,430000,330000
1101044,"median","2",NA,171000,NA,68000,NA,NA,70000,183000,299999,272000
1101044,"median","3",NA,120000,485000,NA,157500,237000,NA,295000,345000,210000
1101044,"median","Total",NA,120000,65000,68000,157500,210000,70000,239000,322499.5,241000
1101044,"median","0",NA,NA,65000,NA,NA,NA,NA,NA,NA,NA
1101044,"median","1",NA,NA,58000,NA,NA,93000,NA,NA,NA,NA
1101045,"median","2",120000,125000,122000,165000,212500,260500,261250,237000,237000,240000
1101045,"median","3",147000,204000,146500,210000,255500,340000,360000,352450,367500,310000
1101045,"median","Total",133500,197000,140000,187500,235750,313000,328000,325000,320000,300500
1101045,"median","1",NA,116000,1e+05,110000,126000,110000,390000,NA,190000,188500
1101045,"median","0",NA,NA,60000,NA,NA,NA,104950,NA,NA,NA
1101048,"median","3",NA,140000,125000,NA,249800,176000,165000,NA,NA,NA
1101048,"median","Total",NA,140000,125000,130000,249800,176000,167500,NA,255000,NA
1101048,"median","2",NA,NA,146450,130000,NA,NA,170000,NA,255000,NA
1101050,"median","3",NA,NA,161500,NA,NA,NA,NA,NA,NA,NA
1101050,"median","Total",NA,NA,161500,NA,NA,NA,NA,NA,NA,NA
1101052,"median","2",NA,152000,NA,153750,164400,249750,260000,125000,210000,310000
1101052,"median","3",NA,394950,195525,227500,331500,365000,317250,360000,527500,NA
1101052,"median","Total",NA,285000,195525,189250,292500,320000,273000,345000,480000,310000
1102002,"median","2",168000,176000,162000,61500,186500,185000,197500,2e+05,248000,175000
1102002,"median","3",210000,220000,239000,255000,315300,330950,360000,269500,380000,287500
1102002,"median","Total",168500,181875,226500,250000,315000,314725,3e+05,259000,310000,237500
1102002,"median","1",NA,NA,NA,NA,NA,NA,193000,NA,NA,350000
1102003,"median","3",NA,175000,179500,NA,320000,202500,369000,289500,535000,340000
1102003,"median","Total",NA,175000,179500,NA,320000,202500,369000,289500,535000,451000
1102003,"median","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,562000
1102005,"median","3",NA,NA,123500,NA,380000,NA,NA,NA,NA,499000
1102005,"median","Total",NA,NA,123500,NA,380000,NA,NA,NA,220000,499000
