"ref_date","geo","dguid","shelter_type","target","shelter","beds"
2016,"Abbotsford, British Columbia","5909052","Domestic violence shelter","General (women)",1,12
2016,"Abbotsford, British Columbia","5909052","Domestic violence shelter","Total",1,12
2016,"Abbotsford, British Columbia","5909052","Emergency shelter","Family",0,0
2016,"Abbotsford, British Columbia","5909052","Emergency shelter","General (all)",1,20
2016,"Abbotsford, British Columbia","5909052","Emergency shelter","General (men)",0,0
2016,"Abbotsford, British Columbia","5909052","Emergency shelter","General (women)",0,0
2016,"Abbotsford, British Columbia","5909052","Emergency shelter","Total",2,34
2016,"Abbotsford, British Columbia","5909052","Emergency shelter","Youth",1,14
2016,"Abbotsford, British Columbia","5909052","Transitional housing","Family",0,0
2016,"Abbotsford, British Columbia","5909052","Transitional housing","General (all)",0,0
2016,"Abbotsford, British Columbia","5909052","Transitional housing","General (men)",0,0
2016,"Abbotsford, British Columbia","5909052","Transitional housing","General (women)",0,0
2016,"Abbotsford, British Columbia","5909052","Transitional housing","Total",1,0
2016,"Abbotsford, British Columbia","5909052","Transitional housing","Youth",1,0
2016,"Ajax, Ontario","3518005","Domestic violence shelter","General (women)",1,30
2016,"Ajax, Ontario","3518005","Domestic violence shelter","Total",1,30
2016,"Ajax, Ontario","3518005","Emergency shelter","Family",0,0
2016,"Ajax, Ontario","3518005","Emergency shelter","General (all)",0,0
2016,"Ajax, Ontario","3518005","Emergency shelter","General (men)",0,0
2016,"Ajax, Ontario","3518005","Emergency shelter","General (women)",0,0
2016,"Ajax, Ontario","3518005","Emergency shelter","Total",1,13
2016,"Ajax, Ontario","3518005","Emergency shelter","Youth",1,13
2016,"Ajax, Ontario","3518005","Transitional housing","Family",0,0
2016,"Ajax, Ontario","3518005","Transitional housing","General (all)",0,0
2016,"Ajax, Ontario","3518005","Transitional housing","General (men)",0,0
2016,"Ajax, Ontario","3518005","Transitional housing","General (women)",0,0
2016,"Ajax, Ontario","3518005","Transitional housing","Total",0,0
2016,"Ajax, Ontario","3518005","Transitional housing","Youth",0,0
2016,"Alberta","48","Domestic violence shelter","General (women)",43,924
2016,"Alberta","48","Domestic violence shelter","Total",43,924
2016,"Alberta","48","Emergency shelter","Family",1,60
2016,"Alberta","48","Emergency shelter","General (all)",17,2416
2016,"Alberta","48","Emergency shelter","General (men)",4,389
2016,"Alberta","48","Emergency shelter","General (women)",4,134
2016,"Alberta","48","Emergency shelter","Total",36,3182
2016,"Alberta","48","Emergency shelter","Youth",10,183
2016,"Alberta","48","Transitional housing","Family",2,101
2016,"Alberta","48","Transitional housing","General (all)",12,525
2016,"Alberta","48","Transitional housing","General (men)",3,315
2016,"Alberta","48","Transitional housing","General (women)",6,182
