"geoname","dguid","units","2017","2018","2019","2020","2022","2023","2024","2025","2021"
"Abram-Village","1103027","str",1,1,1,1,2,2,1,1,NA
"Alberton","1103052","str",NA,1,2,1,NA,NA,1,NA,NA
"Alberton","1103064","str",24,38,41,28,32,41,51,49,25
"Alexandra","1102013","str",3,5,18,15,10,10,11,10,7
"Annandale - Little Pond - Howe Bay","1101030","str",9,14,15,12,19,22,26,24,14
"Bedeque and Area","1103015","str",7,8,7,7,3,5,3,2,7
"Belfast","1102002","str",72,108,112,96,88,92,88,81,78
"Borden","1103002","str",36,61,80,70,38,43,52,55,40
"Borden-Carleton","1103005","str",6,9,8,5,9,7,7,11,5
"Brackley","1102055","str",4,2,1,NA,NA,NA,NA,NA,1
"Breadalbane","1102051","str",1,3,2,2,2,2,1,1,2
"Central Kings","1101025","str",NA,NA,1,1,NA,NA,NA,NA,NA
"Central Kings","1101027","str",1,3,3,3,3,2,2,2,3
"Central Prince","1103043","str",9,6,4,4,6,6,5,4,5
"Charlottetown","1102075","str",546,746,814,607,561,648,643,560,486
"Clyde River","1102037","str",4,5,3,2,6,8,8,8,6
"Cornwall","1102085","str",17,25,41,21,41,72,67,55,21
"Crapaud","1102034","str",2,2,2,2,2,1,1,1,1
"Crapaud, Part 1","1102018","str",32,49,67,59,63,74,69,72,58
"Crapaud, Part 2","1103004","str",26,33,35,33,33,38,48,46,38
"Crossroads","1102010","str",12,20,22,20,13,14,12,17,11
"East River, Part 1","1102064","str",59,78,75,74,67,77,84,87,65
"East River, Part 2","1101052","str",3,7,10,6,4,4,6,7,3
"Eastern Kings","1101040","str",47,60,58,56,51,64,50,48,52
"Greenmount-Montrose","1103055","str",NA,1,1,NA,NA,NA,NA,NA,NA
"Hampshire","1102021","str",NA,3,5,2,1,1,1,1,3
"Hazelbrook","1102011","str",1,2,2,1,1,NA,NA,NA,1
"Hunter River","1102043","str",NA,2,7,5,4,7,10,13,3
"Johnstons River","1102015","str",1,5,3,NA,3,5,4,5,3
"Kensington","1103014","str",11,15,19,11,4,9,10,12,10
"Kensington, Part 1","1103067","str",12,31,46,42,51,54,63,69,38
"Kensington, Part 2","1102066","str",14,22,27,27,23,28,23,22,22
"Kingston","1102022","str",1,2,3,2,7,6,9,10,5
"Kinkora","1103003","str",40,59,69,55,61,67,69,76,54
"Kinkora","1103008","str",2,1,3,2,1,1,1,4,3
"Linkletter","1103023","str",NA,3,6,NA,NA,4,5,4,1
"Lot 11 and Area","1103039","str",3,1,2,3,9,11,9,8,2
"Malpeque Bay","1103007","str",101,138,162,150,130,151,165,178,128
"Miltonvale Park","1102040","str",5,6,17,16,19,23,14,11,12
"Miminegash","1103063","str",8,7,14,15,15,17,18,16,13
"Miscouche","1103024","str",NA,NA,7,3,12,18,17,15,6
"Miscouche","1103040","str",13,20,20,13,14,15,18,20,12
"Montague","1102005","str",2,1,6,5,2,2,NA,NA,3
"Morell","1101043","str",39,44,55,54,58,57,67,64,47
"Morell","1101048","str",2,2,4,1,1,1,1,1,NA
"Mount Stewart","1102059","str",1,1,3,3,3,6,6,6,2
"Murray Harbour","1101002","str",11,6,9,6,9,12,12,12,3
"Murray Harbour","1101003","str",24,32,42,33,30,36,36,40,31
"Murray River","1101004","str",2,3,9,8,11,12,13,13,11
"Murray River, Part 1","1101005","str",15,19,18,16,14,16,12,14,15
"Murray River, Part 2","1102003","str",2,2,2,2,2,2,2,2,1
"New Glasgow","1102017","str",161,266,332,307,323,313,307,297,270
"New London","1102071","str",131,197,249,219,193,240,254,284,201
"North River","1102072","str",2,3,3,3,6,8,6,7,4
"North Rustico","1102019","str",17,55,59,56,30,33,33,31,32
"North Rustico","1102046","str",38,46,49,44,43,46,49,51,39
"North Shore","1102067","str",115,160,211,196,158,178,221,219,168
"North Shore","1102073","str",7,7,15,9,6,8,11,15,7
"North Wiltshire","1102020","str",NA,NA,1,NA,2,1,1,NA,1
"Northport","1103050","str",NA,NA,1,1,2,1,NA,1,1
"O'Leary","1103042","str",1,3,3,1,1,NA,NA,1,1
"O'Leary","1103065","str",16,24,31,23,21,25,27,33,20
"Sherbrooke","1103018","str",5,5,5,4,5,4,4,5,4
"Souris","1101035","str",43,57,54,46,45,47,51,50,41
"Souris","1101036","str",5,9,9,10,12,15,13,14,9
"Souris West","1101033","str",7,14,15,13,11,13,19,19,10
"St. Felix","1103053","str",1,1,2,2,1,5,4,3,1
"St. Nicholas","1103022","str",7,13,12,12,13,13,13,12,10
"St. Peters","1101037","str",20,28,41,34,32,31,38,31,28
"St. Peters Bay","1101044","str",1,5,3,3,6,8,11,9,2
"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico","1102045","str",56,114,243,190,182,277,282,283,169
"Stratford","1102080","str",115,168,176,103,118,140,123,128,84
"Summerside","1103025","str",24,51,76,77,50,78,91,76,44
"Three Rivers","1101045","str",97,127,163,152,144,142,171,181,137
"Tignish","1103059","str",NA,5,5,4,NA,NA,2,2,1
"Tignish","1103061","str",3,5,10,6,9,16,21,27,4
"Tignish Shore","1103060","str",2,2,1,1,2,3,3,4,2
"Tyne Valley","1103021","str",3,6,10,11,14,20,21,20,9
"Union Road","1102050","str",1,1,NA,NA,NA,4,2,1,NA
"Vernon River","1102016","str",20,33,25,24,25,32,27,31,19
"Victoria","1102032","str",7,8,13,8,1,5,10,9,7
"Victoria","1103068","str",2,2,2,2,4,4,4,3,4
"Warren Grove","1102070","str",4,3,NA,NA,NA,1,3,2,NA
"Wellington","1103020","str",20,29,38,33,27,29,34,42,28
"Wellington","1103029","str",NA,NA,2,7,NA,NA,1,1,NA
"West Point","1103066","str",2,3,2,2,3,3,7,6,2
"West River","1102068","str",51,97,112,94,103,122,128,113,86
"Winsloe North","1102069","str",4,4,2,1,1,1,2,1,1
"York","1102061","str",1,3,4,5,1,2,2,1,1
"county","1101","str",326,430,509,454,450,482,528,529,406
"county","1102","str",1509,2254,2726,2220,2110,2489,2514,2435,1880
"county","1103","str",385,582,727,629,572,690,775,806,518
"province","11","str",2220,3266,3962,3303,3132,3661,3817,3770,2804
"Abram-Village","1103027","pltd",1,1,1,1,1,1,0,0,NA
"Alberton","1103052","pltd",NA,0,0,0,NA,NA,0,NA,NA
"Alberton","1103064","pltd",11,13,15,9,7,10,13,11,6
"Alexandra","1102013","pltd",0,0,2,1,1,1,1,1,0
"Annandale - Little Pond - Howe Bay","1101030","pltd",3,8,5,3,9,11,10,11,5
"Bedeque and Area","1103015","pltd",0,0,0,0,0,1,2,2,0
"Belfast","1102002","pltd",20,32,24,24,21,19,23,24,20
"Borden","1103002","pltd",18,22,24,20,16,21,27,30,18
"Borden-Carleton","1103005","pltd",4,4,2,3,1,1,1,3,1
"Brackley","1102055","pltd",0,0,0,NA,NA,NA,NA,NA,0
"Breadalbane","1102051","pltd",1,2,1,1,2,0,1,1,2
"Central Kings","1101025","pltd",NA,NA,0,0,NA,NA,NA,NA,NA
"Central Kings","1101027","pltd",0,0,1,1,1,1,1,0,1
"Central Prince","1103043","pltd",2,2,2,3,3,3,3,2,2
"Charlottetown","1102075","pltd",253,382,421,333,325,349,356,318,274
"Clyde River","1102037","pltd",0,1,0,0,1,1,1,1,1
"Cornwall","1102085","pltd",10,12,14,10,13,27,26,24,8
"Crapaud","1102034","pltd",1,1,1,1,1,1,1,1,1
"Crapaud, Part 1","1102018","pltd",3,10,13,13,9,12,16,15,11
"Crapaud, Part 2","1103004","pltd",3,6,6,7,7,9,14,13,7
"Crossroads","1102010","pltd",4,5,6,6,5,5,6,10,5
"East River, Part 1","1102064","pltd",12,19,23,19,22,23,21,18,17
"East River, Part 2","1101052","pltd",0,3,2,2,1,0,0,1,1
"Eastern Kings","1101040","pltd",13,19,18,21,20,22,19,19,21
"Greenmount-Montrose","1103055","pltd",NA,0,0,NA,NA,NA,NA,NA,NA
"Hampshire","1102021","pltd",NA,0,0,0,0,0,0,1,0
"Hazelbrook","1102011","pltd",1,1,1,1,1,NA,NA,NA,1
"Hunter River","1102043","pltd",NA,1,2,2,1,1,2,6,1
"Johnstons River","1102015","pltd",0,1,1,NA,1,0,0,2,0
"Kensington","1103014","pltd",1,3,1,2,1,1,1,1,1
"Kensington, Part 1","1103067","pltd",3,8,9,10,12,13,20,29,6
"Kensington, Part 2","1102066","pltd",5,6,6,6,3,6,7,7,3
"Kingston","1102022","pltd",1,0,0,1,5,4,4,6,2
"Kinkora","1103003","pltd",5,11,11,9,7,9,16,23,8
"Kinkora","1103008","pltd",1,1,2,1,1,1,0,3,1
"Linkletter","1103023","pltd",NA,0,1,NA,NA,3,5,4,0
"Lot 11 and Area","1103039","pltd",0,0,0,0,0,1,1,0,0
"Malpeque Bay","1103007","pltd",22,40,33,37,31,40,51,56,35
"Miltonvale Park","1102040","pltd",3,4,3,3,5,8,6,4,3
"Miminegash","1103063","pltd",4,4,5,4,4,6,6,5,5
"Miscouche","1103024","pltd",NA,NA,1,0,1,1,1,3,1
"Miscouche","1103040","pltd",5,5,4,5,6,7,7,9,5
"Montague","1102005","pltd",0,0,3,3,2,2,NA,NA,3
"Morell","1101043","pltd",5,7,7,7,10,14,19,17,6
"Morell","1101048","pltd",1,1,1,0,1,1,1,1,NA
"Mount Stewart","1102059","pltd",0,0,0,1,1,2,1,2,1
"Murray Harbour","1101002","pltd",7,6,8,4,5,5,5,5,3
"Murray Harbour","1101003","pltd",6,9,8,10,8,8,12,13,8
"Murray River","1101004","pltd",1,3,4,4,1,1,1,2,2
"Murray River, Part 1","1101005","pltd",3,6,6,4,3,6,6,6,3
"Murray River, Part 2","1102003","pltd",0,1,1,1,0,0,0,0,0
"New Glasgow","1102017","pltd",28,48,46,46,51,72,83,88,43
"New London","1102071","pltd",42,70,77,64,60,82,99,104,65
"North River","1102072","pltd",0,2,2,2,4,6,4,3,3
"North Rustico","1102019","pltd",5,20,17,16,13,15,14,13,11
"North Rustico","1102046","pltd",21,30,27,25,24,28,30,31,23
"North Shore","1102067","pltd",20,37,45,38,34,53,71,78,36
"North Shore","1102073","pltd",0,2,7,3,4,5,5,8,3
"North Wiltshire","1102020","pltd",NA,NA,0,NA,0,0,1,NA,0
"Northport","1103050","pltd",NA,NA,0,1,0,0,NA,0,1
"O'Leary","1103042","pltd",1,2,0,1,0,NA,NA,0,0
"O'Leary","1103065","pltd",7,9,11,7,4,5,8,11,8
"Sherbrooke","1103018","pltd",1,2,0,0,0,0,1,2,0
"Souris","1101035","pltd",8,21,17,14,8,8,16,18,8
"Souris","1101036","pltd",0,0,0,0,4,4,4,4,1
