"CSDUID","CDUID","PRUID","area_km2","temp_historical","temp_2025","temp_2050","temp_change_hist_2025","temp_change_hist_2050","temp_change_2025_2050","temp_extrapolated","temp_historical_cd_mean","temp_2025_cd_mean","temp_2050_cd_mean","temp_change_hist_2025_cd_mean","temp_change_hist_2050_cd_mean","temp_change_2025_2050_cd_mean","temp_historical_pr_mean","temp_2025_pr_mean","temp_2050_pr_mean","temp_change_hist_2025_pr_mean","temp_change_hist_2050_pr_mean","temp_change_2025_2050_pr_mean","temp_historical_pctile_national","temp_2025_pctile_national","temp_2050_pctile_national","temp_change_hist_2025_pctile_national","temp_change_hist_2050_pctile_national","temp_change_2025_2050_pctile_national","temp_historical_diff_cd","temp_2025_diff_cd","temp_2050_diff_cd","temp_change_hist_2025_diff_cd","temp_change_hist_2050_diff_cd","temp_change_2025_2050_diff_cd","temp_historical_diff_pr","temp_2025_diff_pr","temp_2050_diff_pr","temp_change_hist_2025_diff_pr","temp_change_hist_2050_diff_pr","temp_change_2025_2050_diff_pr","temp_historical_diff_national","temp_2025_diff_national","temp_2050_diff_national","temp_change_hist_2025_diff_national","temp_change_hist_2050_diff_national","temp_change_2025_2050_diff_national"
"1001437","1001","10",27.624432233877,19.0277404785156,21.3837178548177,22.0743713378906,2.36,3.05,0.69,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,12.9,14.1,13.4,86.5,44,10.2,1.54,1.64,1.65,0.1,0.12,0.01,3.28,3.41,3.33,0.13,0.05,-0.08,5.61,6.26,6.06,0.65,0.45,-0.2
"1001456","1001","10",28.9255185011436,18.7834625244141,21.0784378051758,21.777717590332,2.29,2.99,0.7,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,11.7,12.5,11.8,81.6,35.8,10.8,1.3,1.33,1.36,0.03,0.06,0.02,3.04,3.1,3.03,0.06,-0.01,-0.07,5.37,5.95,5.76,0.58,0.39,-0.19
"1001559","1001","10",41.8808798878236,18.3955001831055,20.8280410766602,21.3574600219727,2.43,2.96,0.53,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,9.7,10.8,9.5,90.3,31.3,5.6,0.91,1.08,0.94,0.17,0.03,-0.15,2.65,2.85,2.61,0.2,-0.04,-0.24,4.98,5.7,5.34,0.72,0.36,-0.36
"1002013","1002","10",33.415166116863,16.4531478881836,18.6359252929688,19.6300582885742,2.18,3.18,0.99,FALSE,17.2596029124733,19.3807238081357,20.2877111154611,2.12180986477944,3.0287940161787,0.908827428305998,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,3.8,4.1,4.5,73.8,59.6,28.9,-0.81,-0.74,-0.66,0.06,0.15,0.08,0.71,0.66,0.88,-0.05,0.18,0.22,3.04,3.51,3.62,0.47,0.58,0.1
"1002014","1002","10",64.9065486340487,16.4864298502604,18.6631622314453,19.6234639485677,2.18,3.14,0.96,FALSE,17.2596029124733,19.3807238081357,20.2877111154611,2.12180986477944,3.0287940161787,0.908827428305998,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,4,4.2,4.5,73.8,55.2,26.1,-0.77,-0.72,-0.66,0.06,0.11,0.05,0.74,0.69,0.87,-0.05,0.14,0.19,3.07,3.54,3.61,0.47,0.54,0.07
"1001101","1001","10",1307.70556151968,15.8089304277974,18.0034032021799,18.6617845104587,2.19,2.85,0.66,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,2.8,3.2,3.1,74.7,21,8.6,-1.68,-1.74,-1.76,-0.07,-0.08,-0.02,0.06,0.03,-0.09,-0.04,-0.15,-0.11,2.39,2.88,2.65,0.48,0.25,-0.23
"1001105","1001","10",1.31714317242658,15.6725921630859,17.8782958984375,18.5202789306641,2.21,2.85,0.64,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,2.7,3,2.8,75.9,21,7.9,-1.81,-1.87,-1.9,-0.05,-0.08,-0.04,-0.07,-0.1,-0.23,-0.02,-0.15,-0.13,2.26,2.75,2.51,0.5,0.25,-0.25
"1001316","1001","10",28.0057688114116,18.5500411987305,20.9790191650391,21.6530685424805,2.43,3.1,0.67,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,10.5,11.7,11.2,90.3,50.2,9,1.06,1.23,1.23,0.17,0.17,-0.01,2.8,3,2.9,0.2,0.1,-0.1,5.13,5.86,5.64,0.72,0.5,-0.22
"1001113","1001","10",56.7489582370987,15.8684921264648,18.0341186523438,18.694091796875,2.17,2.83,0.66,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,3,3.2,3.1,72.8,19.3,8.6,-1.62,-1.71,-1.73,-0.09,-0.1,-0.02,0.12,0.06,-0.05,-0.06,-0.17,-0.11,2.45,2.91,2.68,0.46,0.23,-0.23
"1001120","1001","10",1.23983737273885,15.3646850585938,17.5359497070312,18.220703125,2.17,2.86,0.68,FALSE,17.4862788845226,19.7464141156402,20.4220012838608,2.25954124743204,2.93466345476322,0.676019734766063,15.7473943694324,17.97637458373,18.7487114112149,2.22917331513611,3.0020208416991,0.774073603246117,2.1,2.6,2.4,72.8,21.7,9.5,-2.12,-2.21,-2.2,-0.09,-0.07,0,-0.38,-0.44,-0.53,-0.06,-0.14,-0.09,1.95,2.41,2.21,0.46,0.26,-0.21
