"geo","dguid","distance","demo","value"
"Canada","1","400m from all","Total population",67.6
"Canada","1","400m from all","0 to 14 years",64.9
"Canada","1","400m from all","15 to 64 years",68.3
"Canada","1","400m from all","15 to 19 years",64.8
"Canada","1","400m from all","20 to 24 years",71.5
"Canada","1","400m from all","Total households",70.1
"Canada","1","400m from all","Low income",77.4
"Canada","1","400m from all","Owner",62
"Canada","1","400m from all","Renter",85.1
"Canada","1","400m from all","Indigenous identity",66.1
"Canada","1","400m from all","Immigrants",75.8
"Canada","1","400m from all","Unemployed",71.7
"Canada","1","400m from all","No school",68.3
"Canada","1","400m from all","High school",67
"Canada","1","400m from low","Total population",67.6
"Canada","1","400m from low","0 to 14 years",64.9
"Canada","1","400m from low","15 to 64 years",68.3
"Canada","1","400m from low","15 to 19 years",64.8
"Canada","1","400m from low","20 to 24 years",71.5
"Canada","1","400m from low","Total households",70.1
"Canada","1","400m from low","Low income",77.3
"Canada","1","400m from low","Owner",61.9
"Canada","1","400m from low","Renter",85.1
"Canada","1","400m from low","Indigenous identity",66
"Canada","1","400m from low","Immigrants",75.8
"Canada","1","400m from low","Unemployed",71.7
"Canada","1","400m from low","No school",68.3
"Canada","1","400m from low","High school",67
"Canada","1","500m from all","Total population",74.6
"Canada","1","500m from all","0 to 14 years",72.5
"Canada","1","500m from all","15 to 64 years",75.3
"Canada","1","500m from all","15 to 19 years",72.7
"Canada","1","500m from all","20 to 24 years",78.5
"Canada","1","500m from all","Total households",76.4
"Canada","1","500m from all","Low income",82.4
"Canada","1","500m from all","Owner",69.6
"Canada","1","500m from all","Renter",89
"Canada","1","500m from all","Indigenous identity",71.9
"Canada","1","500m from all","Immigrants",83.6
"Canada","1","500m from all","Unemployed",78.6
"Canada","1","500m from all","No school",74.9
"Canada","1","500m from all","High school",74
"Canada","1","500m from low","Total population",74.6
"Canada","1","500m from low","0 to 14 years",72.4
"Canada","1","500m from low","15 to 64 years",75.3
"Canada","1","500m from low","15 to 19 years",72.7
"Canada","1","500m from low","20 to 24 years",78.5
"Canada","1","500m from low","Total households",76.4
"Canada","1","500m from low","Low income",82.4
"Canada","1","500m from low","Owner",69.6
"Canada","1","500m from low","Renter",89
"Canada","1","500m from low","Indigenous identity",71.8
"Canada","1","500m from low","Immigrants",83.6
"Canada","1","500m from low","Unemployed",78.6
"Canada","1","500m from low","No school",74.9
"Canada","1","500m from low","High school",74
"Canada","1","800m from high","Total population",6.4
"Canada","1","800m from high","0 to 14 years",4.5
"Canada","1","800m from high","15 to 64 years",7.1
"Canada","1","800m from high","15 to 19 years",4.3
"Canada","1","800m from high","20 to 24 years",8.1
"Canada","1","800m from high","Total households",8
"Canada","1","800m from high","Low income",10.4
"Canada","1","800m from high","Owner",4.8
"Canada","1","800m from high","Renter",13.8
"Canada","1","800m from high","Indigenous identity",2.9
"Canada","1","800m from high","Immigrants",9
"Canada","1","800m from high","Unemployed",7.7
"Canada","1","800m from high","No school",4.7
"Canada","1","800m from high","High school",5.1
"Canada","1","1000m from high","Total population",8.4
"Canada","1","1000m from high","0 to 14 years",6.2
"Canada","1","1000m from high","15 to 64 years",9.3
"Canada","1","1000m from high","15 to 19 years",5.9
"Canada","1","1000m from high","20 to 24 years",10.4
"Canada","1","1000m from high","Total households",10.3
"Canada","1","1000m from high","Low income",13.3
"Canada","1","1000m from high","Owner",6.4
"Canada","1","1000m from high","Renter",17.5
"Canada","1","1000m from high","Indigenous identity",4.1
"Canada","1","1000m from high","Immigrants",11.8
"Canada","1","1000m from high","Unemployed",10.2
"Canada","1","1000m from high","No school",6.6
"Canada","1","1000m from high","High school",6.9
"Canada","1","2000m from high","Total population",19.3
"Canada","1","2000m from high","0 to 14 years",16.2
"Canada","1","2000m from high","15 to 64 years",20.5
"Canada","1","2000m from high","15 to 19 years",15.8
"Canada","1","2000m from high","20 to 24 years",21.8
"Canada","1","2000m from high","Total households",21.8
"Canada","1","2000m from high","Low income",26.5
"Canada","1","2000m from high","Owner",15.7
"Canada","1","2000m from high","Renter",33.1
"Canada","1","2000m from high","Indigenous identity",10.3
"Canada","1","2000m from high","Immigrants",26.5
"Canada","1","2000m from high","Unemployed",22.5
"Canada","1","2000m from high","No school",17.3
"Canada","1","2000m from high","High school",17
"Newfoundland and Labrador","10","400m from all","Total population",49.1
"Newfoundland and Labrador","10","400m from all","0 to 14 years",41.1
"Newfoundland and Labrador","10","400m from all","15 to 64 years",49
"Newfoundland and Labrador","10","400m from all","15 to 19 years",43.6
"Newfoundland and Labrador","10","400m from all","20 to 24 years",56.7
"Newfoundland and Labrador","10","400m from all","Total households",52.8
"Newfoundland and Labrador","10","400m from all","Low income",65.7
"Newfoundland and Labrador","10","400m from all","Owner",44.9
"Newfoundland and Labrador","10","400m from all","Renter",70.6
"Newfoundland and Labrador","10","400m from all","Indigenous identity",46.9
"Newfoundland and Labrador","10","400m from all","Immigrants",65.5
"Newfoundland and Labrador","10","400m from all","Unemployed",50.2
"Newfoundland and Labrador","10","400m from all","No school",51.2
"Newfoundland and Labrador","10","400m from all","High school",52.8
"Newfoundland and Labrador","10","400m from low","Total population",49.1
"Newfoundland and Labrador","10","400m from low","0 to 14 years",41.1
"Newfoundland and Labrador","10","400m from low","15 to 64 years",49
"Newfoundland and Labrador","10","400m from low","15 to 19 years",43.6
"Newfoundland and Labrador","10","400m from low","20 to 24 years",56.7
"Newfoundland and Labrador","10","400m from low","Total households",52.8
"Newfoundland and Labrador","10","400m from low","Low income",65.7
"Newfoundland and Labrador","10","400m from low","Owner",44.9
"Newfoundland and Labrador","10","400m from low","Renter",70.6
"Newfoundland and Labrador","10","400m from low","Indigenous identity",46.9
"Newfoundland and Labrador","10","400m from low","Immigrants",65.5
"Newfoundland and Labrador","10","400m from low","Unemployed",50.2
"Newfoundland and Labrador","10","400m from low","No school",51.2
"Newfoundland and Labrador","10","400m from low","High school",52.8
"Newfoundland and Labrador","10","500m from all","Total population",54.4
"Newfoundland and Labrador","10","500m from all","0 to 14 years",46.4
