"ref_date","geo","dguid","field","value"
"2016/2017","Canada","1","Total, field of study",6375
"2016/2017","Canada","1","Education",4571
"2016/2017","Canada","1","Visual and performing arts, and communications technologies",5680
"2016/2017","Canada","1","Humanities",5460
"2016/2017","Canada","1","Social and behavioural sciences, and legal studies",5573
"2016/2017","Canada","1","Law",13115
"2016/2017","Canada","1","Business management and public administration",6810
"2016/2017","Canada","1","Physical and life sciences and technologies",6022
"2016/2017","Canada","1","Mathematics, computer and information sciences",6911
"2016/2017","Canada","1","Engineering",7827
"2016/2017","Canada","1","Architecture",6810
"2016/2017","Canada","1","Agriculture, natural resources and conservation",5438
"2016/2017","Canada","1","Dentistry",21464
"2016/2017","Canada","1","Medicine",13911
"2016/2017","Canada","1","Nursing",5507
"2016/2017","Canada","1","Pharmacy",9962
"2016/2017","Canada","1","Veterinary medicine",7450
"2016/2017","Canada","1","Other health, parks, recreation and fitness",6085
"2016/2017","Canada","1","Personal, protective and transportation services",5989
"2016/2017","Newfoundland and Labrador","10","Total, field of study",2752
"2016/2017","Newfoundland and Labrador","10","Education",2805
"2016/2017","Newfoundland and Labrador","10","Visual and performing arts, and communications technologies",2550
"2016/2017","Newfoundland and Labrador","10","Humanities",2550
"2016/2017","Newfoundland and Labrador","10","Social and behavioural sciences, and legal studies",2550
"2016/2017","Newfoundland and Labrador","10","Business management and public administration",2805
"2016/2017","Newfoundland and Labrador","10","Physical and life sciences and technologies",2550
"2016/2017","Newfoundland and Labrador","10","Mathematics, computer and information sciences",2550
"2016/2017","Newfoundland and Labrador","10","Engineering",2805
"2016/2017","Newfoundland and Labrador","10","Medicine",6250
"2016/2017","Newfoundland and Labrador","10","Nursing",2550
"2016/2017","Newfoundland and Labrador","10","Pharmacy",2805
"2016/2017","Newfoundland and Labrador","10","Other health, parks, recreation and fitness",2550
"2016/2017","Newfoundland and Labrador","10","Personal, protective and transportation services",2550
"2016/2017","St. John's","001","Total, field of study",2752
"2016/2017","St. John's","001","Education",2805
"2016/2017","St. John's","001","Visual and performing arts, and communications technologies",2550
"2016/2017","St. John's","001","Humanities",2550
"2016/2017","St. John's","001","Social and behavioural sciences, and legal studies",2550
"2016/2017","St. John's","001","Business management and public administration",2805
"2016/2017","St. John's","001","Physical and life sciences and technologies",2550
"2016/2017","St. John's","001","Mathematics, computer and information sciences",2550
"2016/2017","St. John's","001","Engineering",2805
"2016/2017","St. John's","001","Medicine",6250
"2016/2017","St. John's","001","Nursing",2550
"2016/2017","St. John's","001","Pharmacy",2805
"2016/2017","St. John's","001","Other health, parks, recreation and fitness",2550
"2016/2017","St. John's","001","Personal, protective and transportation services",2550
"2016/2017","Prince Edward Island","11","Total, field of study",6310
"2016/2017","Prince Edward Island","11","Education",7673
"2016/2017","Prince Edward Island","11","Visual and performing arts, and communications technologies",5860
"2016/2017","Prince Edward Island","11","Humanities",5860
"2016/2017","Prince Edward Island","11","Social and behavioural sciences, and legal studies",5860
"2016/2017","Prince Edward Island","11","Business management and public administration",5860
"2016/2017","Prince Edward Island","11","Physical and life sciences and technologies",5860
"2016/2017","Prince Edward Island","11","Mathematics, computer and information sciences",5860
"2016/2017","Prince Edward Island","11","Engineering",5860
