"CSDUID","CDUID","PRUID","area_km2","tx30_2025","tx30_2050","tx30_change","tx30_extrapolated","tx30_2025_cd_mean","tx30_2050_cd_mean","tx30_change_cd_mean","tx30_2025_pr_mean","tx30_2050_pr_mean","tx30_change_pr_mean","tx30_2025_pctile_national","tx30_2050_pctile_national","tx30_change_pctile_national","tx30_2025_diff_cd","tx30_2050_diff_cd","tx30_change_diff_cd","tx30_2025_diff_pr","tx30_2050_diff_pr","tx30_change_diff_pr","tx30_2025_diff_national","tx30_2050_diff_national","tx30_change_diff_national"
"1001437","1001","10",27.624432233877,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001456","1001","10",28.9255185011436,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001559","1001","10",41.8808798878236,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1002013","1002","10",33.415166116863,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1002014","1002","10",64.9065486340487,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001101","1001","10",1307.70556151968,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001105","1001","10",1.31714317242658,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001316","1001","10",28.0057688114116,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001113","1001","10",56.7489582370987,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001120","1001","10",1.23983737273885,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001140","1001","10",9.69737620032275,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001186","1001","10",25.4069102950759,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001192","1001","10",30.647274902286,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001197","1001","10",63.1950285481983,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1003020","1003","10",14.6814313562125,0,0,0,FALSE,0,0.0806619419909137,0.0753514188264702,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,-0.1,-0.1,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1004018","1004","10",31.9109939390536,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001203","1001","10",701.399111214123,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
"1001434","1001","10",8.00631412092204,0,0,0,FALSE,0,0,0,0.408135862249372,0.827083300047433,0.421643549422629,4.8,3.9,4.7,0,0,0,-0.4,-0.8,-0.4,-2.4,-3.8,-1.3
