"year","geo","dguid","employee","value"
2001,"Canada","1","total",657.02
2001,"Canada","1","salary",872.44
2001,"Canada","1","wage",507.14
2001,"Newfoundland and Labrador","10","total",592.62
2001,"Newfoundland and Labrador","10","salary",766.13
2001,"Newfoundland and Labrador","10","wage",460.37
2001,"Prince Edward Island","11","total",531.5
2001,"Prince Edward Island","11","salary",736.16
2001,"Prince Edward Island","11","wage",387.16
2001,"Nova Scotia","12","total",576.14
2001,"Nova Scotia","12","salary",762.3
2001,"Nova Scotia","12","wage",441.6
2001,"New Brunswick","13","total",588.7
2001,"New Brunswick","13","salary",799.06
2001,"New Brunswick","13","wage",452.79
2001,"Quebec","24","total",623.49
2001,"Quebec","24","salary",827.31
2001,"Quebec","24","wage",482.3
2001,"Ontario","35","total",695.85
2001,"Ontario","35","salary",919.79
2001,"Ontario","35","wage",539.39
2001,"Manitoba","46","total",585.04
2001,"Manitoba","46","salary",785.21
2001,"Manitoba","46","wage",441.22
2001,"Saskatchewan","47","total",596.75
2001,"Saskatchewan","47","salary",799.92
2001,"Saskatchewan","47","wage",447.82
2001,"Alberta","48","total",674.26
2001,"Alberta","48","salary",899.05
2001,"Alberta","48","wage",521.32
2001,"British Columbia","59","total",657.51
2001,"British Columbia","59","salary",879.84
2001,"British Columbia","59","wage",505.95
2001,"Yukon","60","total",719.05
2001,"Yukon","60","salary",936.86
2001,"Yukon","60","wage",495.89
2001,"Northwest Territories","61","total",885.68
2001,"Northwest Territories","61","salary",1145.8
2001,"Northwest Territories","61","wage",660.36
2001,"Nunavut","62","total",872.2
2001,"Nunavut","62","salary",1052.67
2001,"Nunavut","62","wage",626.11
2002,"Canada","1","total",672.81
2002,"Canada","1","salary",892.88
2002,"Canada","1","wage",512.43
2002,"Newfoundland and Labrador","10","total",608.92
2002,"Newfoundland and Labrador","10","salary",779.07
2002,"Newfoundland and Labrador","10","wage",472.22
2002,"Prince Edward Island","11","total",557.19
2002,"Prince Edward Island","11","salary",781.44
2002,"Prince Edward Island","11","wage",401.4
2002,"Nova Scotia","12","total",596.68
2002,"Nova Scotia","12","salary",790.89
2002,"Nova Scotia","12","wage",449.45
2002,"New Brunswick","13","total",603.53
2002,"New Brunswick","13","salary",827.09
2002,"New Brunswick","13","wage",461.28
2002,"Quebec","24","total",639.01
2002,"Quebec","24","salary",847.44
2002,"Quebec","24","wage",488.85
2002,"Ontario","35","total",711.02
2002,"Ontario","35","salary",937.3
2002,"Ontario","35","wage",542.38
2002,"Manitoba","46","total",604.6
2002,"Manitoba","46","salary",808.67
2002,"Manitoba","46","wage",451.63
2002,"Saskatchewan","47","total",610.67
2002,"Saskatchewan","47","salary",823.59
2002,"Saskatchewan","47","wage",450.37
2002,"Alberta","48","total",691.56
2002,"Alberta","48","salary",922.3
2002,"Alberta","48","wage",529.83
2002,"British Columbia","59","total",671.07
2002,"British Columbia","59","salary",901.26
2002,"British Columbia","59","wage",509.73
2002,"Yukon","60","total",747.55
2002,"Yukon","60","salary",980.41
2002,"Yukon","60","wage",520.75
2002,"Northwest Territories","61","total",916.35
2002,"Northwest Territories","61","salary",1183.18
2002,"Northwest Territories","61","wage",701.18
2002,"Nunavut","62","total",893.83
2002,"Nunavut","62","salary",1071.05
2002,"Nunavut","62","wage",636.87
