"CSDUID","CDUID","PRUID","fwi","dc","fwi_cd_mean","fwi_pr_mean","dc_cd_mean","dc_pr_mean","fwi_ratio_cd","fwi_ratio_pr","fwi_ratio_national","fwi_diff_cd","fwi_diff_pr","fwi_diff_national","fwi_pctile_national","dc_ratio_cd","dc_ratio_pr","dc_ratio_national","dc_diff_cd","dc_diff_pr","dc_diff_national","dc_pctile_national"
"1001437","1001","10",4.73172044754028,188.708602905273,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.512,1.696,0.768,1.6,1.94,-1.43,17.6,1.147,1.181,0.59,24.21,28.96,-131.35,14.4
"1001456","1001","10",3.78409945964813,180.917608261108,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.209,1.357,0.615,0.65,0.99,-2.37,9.7,1.1,1.132,0.565,16.42,21.17,-139.14,10.9
"1001559","1001","10",4.68724012374878,188.392110188802,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.497,1.68,0.761,1.56,1.9,-1.47,17.1,1.145,1.179,0.589,23.9,28.64,-131.66,14.3
"1002013","1002","10",2.68899190425873,133.569488525391,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.123,0.964,0.437,0.29,-0.1,-3.47,3.1,0.923,0.836,0.417,-11.08,-26.18,-186.48,0.4
"1002014","1002","10",2.44056290738723,132.774574279785,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.019,0.875,0.396,0.05,-0.35,-3.72,2.1,0.918,0.831,0.415,-11.87,-26.98,-187.28,0.3
"1001101","1001","10",2.48165165413828,142.492204666138,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.793,0.89,0.403,-0.65,-0.31,-3.68,2.2,0.866,0.892,0.445,-22,-17.26,-177.56,1.1
"1001105","1001","10",3.09016120433807,139.474731445312,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.987,1.108,0.502,-0.04,0.3,-3.07,5.1,0.848,0.873,0.436,-25.02,-20.28,-180.58,0.8
"1001316","1001","10",3.96010760466258,182.854120890299,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.265,1.42,0.643,0.83,1.17,-2.2,11.2,1.112,1.145,0.571,18.36,23.1,-137.2,11.5
"1001113","1001","10",2.87895700931549,143.057202148438,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.92,1.032,0.468,-0.25,0.09,-3.28,4,0.87,0.895,0.447,-21.44,-16.7,-177,1.2
"1001120","1001","10",2.87935495376587,147.736557006836,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.92,1.032,0.468,-0.25,0.09,-3.28,4,0.898,0.925,0.462,-16.76,-12.02,-172.32,1.9
"1001140","1001","10",3.78344082832336,162.990325927734,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.209,1.356,0.614,0.65,0.99,-2.37,9.7,0.991,1.02,0.509,-1.51,3.24,-157.06,5
"1001186","1001","10",2.78020158410072,154.974599838257,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.888,0.997,0.452,-0.35,-0.01,-3.38,3.5,0.942,0.97,0.484,-9.52,-4.78,-165.08,2.9
"1001192","1001","10",2.42959681153297,156.029975891113,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.776,0.871,0.395,-0.7,-0.36,-3.73,2.1,0.949,0.977,0.488,-8.47,-3.72,-164.02,3.2
"1001197","1001","10",2.72472347532,163.195162091936,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.87,0.977,0.443,-0.41,-0.06,-3.43,3.3,0.992,1.022,0.51,-1.3,3.44,-156.86,5
"1003020","1003","10",2.64921148618062,152.848388671875,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,1.501,0.95,0.43,0.88,-0.14,-3.51,2.9,1.119,0.957,0.478,16.21,-6.9,-167.21,2.6
"1004018","1004","10",3.87283331155777,143.822713851929,2.35198340836106,2.78939384473745,142.525832386543,159.752544477437,1.647,1.388,0.629,1.52,1.08,-2.28,10.6,1.009,0.9,0.449,1.3,-15.93,-176.23,1.3
"1001203","1001","10",2.62416199886281,159.979183694591,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.838,0.941,0.426,-0.51,-0.17,-3.53,2.8,0.973,1.001,0.5,-4.52,0.23,-160.07,4
"1001434","1001","10",4.62136189142863,187.646957397461,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.476,1.657,0.751,1.49,1.83,-1.54,16.5,1.141,1.175,0.586,23.15,27.89,-132.41,13.8
"1003021","1003","10",1.49304527487074,129.615428488595,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,0.846,0.535,0.242,-0.27,-1.3,-4.66,0.2,0.949,0.811,0.405,-7.02,-30.14,-190.44,0.2
"1002041","1002","10",2.02966204711369,142.574345179967,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,0.848,0.728,0.33,-0.36,-0.76,-4.13,1.2,0.986,0.892,0.445,-2.07,-17.18,-177.48,1.1
"1004017","1004","10",3.22096329927444,154.198654174805,2.35198340836106,2.78939384473745,142.525832386543,159.752544477437,1.369,1.155,0.523,0.87,0.43,-2.94,5.6,1.082,0.965,0.482,11.67,-5.55,-165.86,2.9
"1001207","1001","10",2.93384408950806,159.75403213501,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.937,1.052,0.476,-0.2,0.14,-3.22,4.2,0.971,1,0.499,-4.74,0,-160.3,3.9
"1001308","1001","10",3.56059744622972,179.699761284722,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.138,1.276,0.578,0.43,0.77,-2.6,7.5,1.092,1.125,0.561,15.2,19.95,-140.35,10.2
"1001343","1001","10",4.45693548520406,181.007347106934,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.424,1.598,0.724,1.33,1.67,-1.7,15,1.1,1.133,0.566,16.51,21.25,-139.05,11
"1001214","1001","10",1.90125416759896,144.299333690542,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.607,0.682,0.309,-1.23,-0.89,-4.26,0.9,0.877,0.903,0.451,-20.2,-15.45,-175.75,1.4
"1001254","1001","10",2.08596767981847,143.432795206706,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.666,0.748,0.339,-1.04,-0.7,-4.07,1.4,0.872,0.898,0.448,-21.06,-16.32,-176.62,1.2
"1001259","1001","10",2.64596415162086,162.480170313517,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.845,0.949,0.43,-0.48,-0.14,-3.51,2.9,0.988,1.017,0.508,-2.02,2.73,-157.57,4.7
"1001409","1001","10",4.23154119650523,184.717562357585,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.352,1.517,0.687,1.1,1.44,-1.93,13.1,1.123,1.156,0.577,20.22,24.97,-135.34,12.4
"1001131","1001","10",3.01356453895569,149.352687072754,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.963,1.08,0.489,-0.12,0.22,-3.14,4.6,0.908,0.935,0.467,-15.14,-10.4,-170.7,2.2
